区分,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
千代田区／件数(件),161,159,211,239,121,179,154,118,179,128,115,250,2014
千代田区／面積(千m2),5,5,10,6,5,6,4,2,11,4,4,11,73
中央区／件数(件),308,345,522,740,388,330,381,311,366,312,399,443,4845
中央区／面積(千m2),6,7,15,13,15,8,7,6,8,6,7,10,108
港区／件数(件),375,398,708,562,471,482,586,425,464,479,462,650,6062
港区／面積(千m2),15,13,37,25,18,19,19,15,16,19,14,19,229
新宿区／件数(件),487,594,768,600,515,609,559,537,633,650,661,710,7323
新宿区／面積(千m2),33,19,36,22,20,24,21,24,27,19,27,27,299
文京区／件数(件),296,287,568,335,287,386,441,611,320,336,388,339,4594
文京区／面積(千m2),12,10,23,11,15,15,13,14,13,12,15,15,168
台東区／件数(件),324,385,573,429,324,433,415,333,465,411,512,517,5121
台東区／面積(千m2),8,10,18,13,11,13,10,11,14,11,15,11,145
墨田区／件数(件),382,467,587,411,389,576,499,460,575,591,586,507,6030
墨田区／面積(千m2),14,17,30,15,21,22,16,15,19,17,19,18,223
江東区／件数(件),600,604,864,901,763,819,714,624,748,841,692,872,9042
江東区／面積(千m2),18,27,39,29,27,20,21,32,28,20,25,28,314
品川区／件数(件),433,590,784,669,571,578,596,583,594,515,500,725,7138
品川区／面積(千m2),16,18,46,29,25,31,21,25,23,23,20,26,303
目黒区／件数(件),252,311,469,300,386,320,326,285,335,309,335,336,3964
目黒区／面積(千m2),14,24,34,16,22,19,19,20,28,21,22,30,269
大田区／件数(件),712,1026,1534,1002,880,1018,1010,959,909,944,890,965,11849
大田区／面積(千m2),41,61,90,52,55,50,41,50,62,50,47,52,651
世田谷区／件数(件),757,880,1432,1045,824,967,845,811,894,1059,839,1122,11475
世田谷区／面積(千m2),64,82,143,113,65,79,72,65,78,84,61,101,1007
渋谷区／件数(件),272,303,567,418,325,380,350,325,388,372,401,388,4489
渋谷区／面積(千m2),11,15,35,20,26,17,16,17,22,12,19,20,230
中野区／件数(件),301,330,561,437,344,373,378,423,475,393,385,499,4899
中野区／面積(千m2),22,17,55,27,16,21,20,22,26,23,24,29,302
杉並区／件数(件),503,612,833,762,586,688,554,582,705,562,601,719,7707
杉並区／面積(千m2),39,43,80,52,44,53,49,37,52,38,53,56,596
豊島区／件数(件),331,397,531,417,350,383,382,313,359,440,350,530,4783
豊島区／面積(千m2),13,14,23,18,14,17,13,14,19,19,16,22,202
北区／件数(件),298,427,625,516,343,445,472,420,444,439,501,756,5686
北区／面積(千m2),13,16,36,22,12,24,24,26,22,23,24,30,272
荒川区／件数(件),199,269,396,450,247,355,245,212,299,230,252,338,3492
荒川区／面積(千m2),9,13,38,17,12,15,13,8,23,12,13,16,189
板橋区／件数(件),509,693,1001,806,710,745,714,684,668,802,659,815,8806
板橋区／面積(千m2),33,34,54,41,34,148,42,33,41,39,38,36,573
練馬区／件数(件),657,801,1206,803,720,879,913,793,853,818,601,839,9883
練馬区／面積(千m2),42,63,89,62,59,58,73,61,79,60,45,68,759
足立区／件数(件),487,733,1267,797,708,851,834,751,717,715,728,932,9520
足立区／面積(千m2),35,50,91,52,49,56,59,58,55,45,57,65,672
葛飾区／件数(件),334,497,682,562,515,456,555,488,518,715,581,635,6538
葛飾区／面積(千m2),20,35,54,39,33,32,37,31,35,35,33,36,420
江戸川区／件数(件),382,470,641,667,433,436,486,431,454,528,469,553,5950
江戸川区／面積(千m2),28,33,63,50,33,36,34,37,39,41,38,49,481
