区市町村名,合計面積（千m2）,住宅地区／面積（千m2）,住宅地区／構成比（％）,商業地区／面積（千m2）,商業地区／構成比（％）,工業地区／面積（千m2）,工業地区／構成比（％）,その他／面積（千m2）,その他／構成比（％）
区部／千代田区,3661,488,13.3,3172,86.7,0,0.0,0,0.0
区部／中央区,3929,1334,34.0,2474,63.0,121,3.1,0,0.0
区部／港区,9301,6104,65.6,2985,32.1,213,2.3,0,0.0
区部／新宿区,9886,8597,87.0,1197,12.1,91,0.9,0,0.0
区部／文京区,5882,5098,86.7,734,12.5,50,0.8,0,0.0
区部／台東区,4535,2036,44.9,2500,55.1,0,0.0,0,0.0
区部／墨田区,6851,5215,76.1,459,6.7,1177,17.2,0,0.0
区部／江東区,14956,10073,67.4,685,4.6,4198,28.1,0,0.0
区部／品川区,11537,9392,81.4,799,6.9,1346,11.7,0,0.0
区部／目黒区,9108,8777,96.4,331,3.6,0,0.0,0,0.0
区部／大田区,25036,22418,89.5,315,1.3,2303,9.2,0,0.0
区部／世田谷区,34820,34603,99.4,217,0.6,0,0.0,0,0.0
区部／渋谷区,8118,6859,84.5,1259,15.5,0,0.0,0,0.0
区部／中野区,10074,9897,98.2,177,1.8,0,0.0,0,0.0
区部／杉並区,21618,21436,99.2,183,0.8,0,0.0,0,0.0
区部／豊島区,7808,6860,87.9,947,12.1,0,0.0,0,0.0
区部／北区,9570,8773,91.7,203,2.1,594,6.2,0,0.0
区部／荒川区,5398,4521,83.7,161,3.0,717,13.3,0,0.0
区部／板橋区,18079,16600,91.8,158,0.9,1320,7.3,0,0.0
区部／練馬区,28444,28373,99.8,71,0.2,0,0.0,0,0.0
区部／足立区,27313,25044,91.7,354,1.3,1916,7.0,0,0.0
区部／葛飾区,16584,15624,94.2,410,2.5,550,3.3,0,0.0
区部／江戸川区,23337,21937,94.0,334,1.4,1066,4.6,0,0.0
区部計,315844,280057,88.7,20124,6.4,15662,5.0,0,0.0
市部／八王子市,38114,31722,83.2,593,1.6,1452,3.8,4347,11.4
市部／立川市,10802,8994,83.3,710,6.6,1097,10.2,0,0.0
市部／武蔵野市,6313,5523,87.5,613,9.7,177,2.8,0,0.0
市部／三鷹市,8645,8034,92.9,308,3.6,296,3.4,7,0.1
市部／青梅市,12597,10130,80.4,183,1.4,1206,9.6,1078,8.6
市部／府中市,12951,10584,81.7,299,2.3,2068,16.0,0,0.0
市部／昭島市,7577,5851,77.2,501,6.6,1225,16.2,0,0.0
市部／調布市,10218,9676,94.7,297,2.9,245,2.4,1,0.0
市部／町田市,28272,26305,93.0,683,2.4,578,2.0,706,2.5
市部／小金井市,5731,5552,96.9,172,3.0,6,0.1,0,0.0
市部／小平市,10257,9302,90.7,256,2.5,698,6.8,0,0.0
市部／日野市,11241,9318,82.9,115,1.0,1808,16.1,0,0.0
市部／東村山市,7689,7042,91.6,191,2.5,456,5.9,0,0.0
市部／国分寺市,6381,6016,94.3,124,2.0,241,3.8,0,0.0
市部／国立市,4136,3764,91.0,175,4.2,197,4.8,1,0.0
市部／福生市,3619,3320,91.7,185,5.1,115,3.2,0,0.0
市部／狛江市,3419,3149,92.1,162,4.7,108,3.2,0,0.0
市部／東大和市,5162,4799,93.0,149,2.9,214,4.2,0,0.0
市部／清瀬市,3618,3406,94.1,123,3.4,88,2.4,0,0.0
市部／東久留米市,6687,6158,92.1,263,3.9,210,3.1,55,0.9
市部／武蔵村山市,5418,4305,79.5,333,6.2,780,14.4,0,0.0
市部／多摩市,8117,6947,85.6,1170,14.4,0,0.0,0,0.0
市部／稲城市,4880,4579,93.8,180,3.7,105,2.1,17,0.3
市部／羽村市,5440,3542,65.1,189,3.5,1701,31.3,8,0.1
市部／あきる野市,8309,6923,83.3,109,1.3,394,4.7,883,10.6
市部／西東京市,8838,8414,95.2,260,2.9,164,1.9,0,0.0
市部計,244430,213353,87.3,8343,3.4,15631,6.4,7103,2.9
西多摩郡／瑞穂町,4944,2385,48.2,130,2.6,1860,37.6,569,11.5
西多摩郡／日の出町,2461,1343,54.6,110,4.5,189,7.7,818,33.3
西多摩郡／檜原村,428,0,0.0,0,0.0,0,0.0,428,100.0
西多摩郡／奥多摩町,861,131,15.2,0,0.0,0,0.0,730,84.8
西多摩郡計,8693,3859,44.4,240,2.8,2049,23.6,2545,29.3
多摩地域計,253123,217212,85.8,8583,3.4,17680,7.0,9648,3.8
区部･多摩計,568967,497269,87.4,28708,5.0,33342,5.9,9648,1.7
