区分,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,,,,,
千代田区／件数(件）,199,168,348,205,188,180,173,166,260,219,177,296,2579,,,,,
千代田区／面積（千m2）,5,5,13,7,5,6,8,6,9,6,4,9,85,,,,,
中央区／件数(件）,372,610,766,515,416,411,401,414,461,482,336,427,5611,,,,,
中央区／面積（千m2）,10,9,18,10,11,10,8,9,12,7,7,12,125,,,,,
港区／件数(件）,505,508,776,641,604,577,594,541,721,554,708,526,7255,,,,,
港区／面積（千m2）,21,47,39,51,22,18,19,19,27,18,18,18,315,,,,,
新宿区／件数(件）,597,686,976,686,768,894,663,656,828,700,701,830,8985,,,,,
新宿区／面積（千m2）,32,25,44,22,23,31,31,21,31,23,24,29,336,,,,,
文京区／件数(件）,253,352,543,390,399,374,399,396,443,396,437,505,4887,,,,,
文京区／面積（千m2）,8,12,25,13,11,12,15,15,14,10,19,21,176,,,,,
台東区／件数(件）,412,419,660,485,427,432,395,315,396,394,473,576,5384,,,,,
台東区／面積（千m2）,12,14,24,14,17,13,17,11,17,13,13,18,183,,,,,
墨田区／件数(件）,394,373,625,427,506,612,446,424,505,488,558,608,5966,,,,,
墨田区／面積（千m2）,14,17,24,13,17,18,18,17,19,17,17,28,219,,,,,
江東区／件数(件）,550,717,1110,726,811,798,772,824,760,665,650,725,9108,,,,,
江東区／面積（千m2）,20,25,42,31,26,22,35,23,29,22,30,39,344,,,,,
品川区／件数(件）,749,753,960,654,513,507,498,474,565,535,648,1017,7873,,,,,
品川区／面積（千m2）,21,25,54,22,24,27,22,18,28,18,24,40,322,,,,,
目黒区／件数(件）,302,330,519,307,392,342,392,376,363,331,391,637,4682,,,,,
目黒区／面積（千m2）,20,23,30,15,27,35,23,19,24,17,19,34,285,,,,,
大田区／件数(件）,710,778,1325,903,827,972,989,1073,963,1010,942,1135,11627,,,,,
大田区／面積（千m2）,44,54,84,48,51,56,65,53,59,66,49,77,704,,,,,
世田谷区／件数(件）,764,982,1609,1033,903,1006,1008,1015,983,934,1039,1240,12516,,,,,
世田谷区／面積（千m2）,60,74,139,96,71,79,77,86,81,68,69,106,1006,,,,,
渋谷区／件数(件）,362,361,539,345,361,377,383,503,511,386,407,525,5060,,,,,
渋谷区／面積（千m2）,16,21,33,19,15,19,18,27,33,22,17,20,261,,,,,
中野区／件数(件）,348,337,557,377,405,420,386,413,537,426,460,603,5269,,,,,
中野区／面積（千m2）,36,22,37,21,23,24,23,23,28,25,25,34,320,,,,,
杉並区／件数(件）,474,534,928,621,681,693,673,593,645,618,619,697,7776,,,,,
杉並区／面積（千m2）,40,41,78,45,46,48,47,40,52,45,44,54,580,,,,,
豊島区／件数(件）,319,391,577,489,402,443,468,415,453,421,407,481,5266,,,,,
豊島区／面積（千m2）,16,14,27,18,19,22,18,16,25,16,17,20,228,,,,,
北区／件数(件）,293,328,656,586,394,473,429,372,448,732,464,536,5711,,,,,
北区／面積（千m2）,17,26,49,27,28,31,33,24,31,33,20,45,363,,,,,
荒川区／件数(件）,240,231,335,223,249,276,266,277,260,259,261,366,3243,,,,,
荒川区／面積（千m2）,14,10,21,12,15,18,14,18,15,12,14,20,183,,,,,
板橋区／件数(件）,585,763,973,742,606,538,599,614,601,595,592,860,8068,,,,,
板橋区／面積（千m2）,31,48,52,39,36,32,36,41,33,34,39,52,474,,,,,
練馬区／件数(件）,542,785,986,796,821,813,812,793,814,852,933,855,9802,,,,,
練馬区／面積（千m2）,46,55,118,58,64,78,62,59,79,56,82,55,812,,,,,
足立区／件数(件）,750,724,1274,842,689,701,753,682,690,653,690,769,9217,,,,,
足立区／面積（千m2）,52,59,107,52,53,53,88,62,64,49,69,72,780,,,,,
葛飾区／件数(件）,472,452,698,481,518,555,535,436,414,498,496,499,6054,,,,,
葛飾区／面積（千m2）,33,31,51,31,30,36,43,29,38,37,34,40,431,,,,,
江戸川区／件数(件）,350,516,692,440,485,511,495,459,511,473,521,477,5930,,,,,
江戸川区／面積（千m2）,34,38,62,38,38,42,41,45,52,41,51,51,534,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
