区分,平成８年中（法人）,平成９年中（法人）,平成10年中（法人）,平成11年中（法人）,平成12年中（法人）,平成13年中（法人）,平成14年中（法人）,平成15年中（法人）,平成16年中（法人）,平成17年中（法人）,平成18年中（法人）,平成19年中（法人）,平成20年中（法人）,平成21年中（法人）,平成22年中（法人）,平成23年中（法人）,平成24年中（法人）,平成25年中（法人）,平成26年中（法人）,平成27年中（法人）,平成28年中（法人）,昭和58年1.1～平成29年1.1（法人）
100m2未満,50,65,-239,-139,-161,-78,-195,-12,37,462,155,135,-31,-251,197,244,427,168,137,457,698,5843
200m2未満,-26,52,-110,-199,-152,-162,-237,-237,92,104,212,201,-141,-286,173,-25,386,254,382,675,778,6996
300m2未満,55,53,-133,-69,-34,-26,-168,-40,-28,18,112,128,-26,-221,6,30,161,70,277,290,289,3508
500m2未満,-32,60,-63,-173,-12,-170,-172,-100,-113,115,168,41,-33,-191,-91,1,169,62,781,292,329,3678
1000m2未満,-64,-21,-80,-149,-1,-163,-90,-149,13,81,41,211,-175,-220,-342,56,29,86,1361,174,232,3120
2000m2未満,22,29,-78,-77,-123,-74,-129,-148,-71,164,-20,51,-19,-102,-255,2,38,-9,984,63,98,1461
5000m2未満,-16,-27,-36,-25,-32,-9,-91,-13,-63,158,-14,-30,-9,-54,-210,-5,-17,-3,685,-14,2,585
10000m2未満,-18,-13,0,-22,7,-40,-10,-6,-15,44,10,8,-40,-46,-19,4,-7,8,172,-18,-19,90
10000m2以上,-11,-6,-9,2,-26,6,21,9,22,-37,-9,18,-1,-19,-6,-11,2,-2,-57,-6,-3,-116
計,-40,192,-748,-851,-534,-716,-1071,-696,-126,1109,655,763,-475,-1390,-547,296,1188,634,4722,1913,2404,25165
