区名,平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2),令和3年／件数(件),令和3年／面積(m2),令和4年／件数(件),令和4年／面積(m2)
千代田区,830,92200,876,101531,851,99767,914,116595,1037,94465,934,106329,838,83097,735,62972,737,76266,755,79802
中央区,1227,128347,1181,113000,1642,141174,1420,118764,1389,108830,1453,99947,1360,119437,1318,113349,1261,98511,1215,138051
港区,2049,336115,2239,309300,2295,314819,2209,392246,1987,287354,2011,286815,1844,201124,1817,336745,1540,236358,1690,228697
新宿区,2884,262687,3244,317764,2808,269072,3152,292253,3080,306822,3205,293090,3207,261031,2755,243818,2980,237411,3212,268777
文京区,2173,151136,1935,143775,2033,146802,1910,144977,2105,160658,1898,135074,1905,132682,1874,124577,1591,120715,2024,144341
台東区,1639,121848,1600,115337,1753,131813,1801,135541,1959,143720,2181,161808,2050,152935,1817,136125,1875,146359,2069,159017
墨田区,2271,180450,2398,188667,2535,199977,2255,164081,2574,189290,2249,174981,2598,184762,2503,200092,2471,186650,2728,217614
江東区,2306,409672,2178,289911,2486,358751,2330,434698,2480,310089,2847,313339,2762,377929,2394,364266,2433,297311,2726,344236
品川区,3151,292827,3302,310604,2952,236045,3176,252143,3473,285301,3420,266240,3577,280334,3346,249635,3173,264660,3071,248624
目黒区,2839,242215,2440,268188,2740,236555,2717,237763,2656,232083,2675,234593,2876,267302,2570,212589,2635,226777,2490,248814
大田区,6050,566815,6165,593096,6844,716974,6881,656023,7291,635779,6636,599049,7042,597498,6255,537255,6863,580418,6077,611579
世田谷区,10500,937549,9847,973788,10079,916462,9779,872246,9856,921170,9534,867422,9936,913454,9116,839203,9297,894587,8958,867430
渋谷区,2915,246931,2679,247549,2440,259397,2543,259136,2929,294620,2407,224167,2637,245826,1957,177540,2186,199188,2269,202998
中野区,3299,262718,3365,272843,3842,337292,3274,237079,3625,302833,3209,262264,3697,283141,3525,249827,3493,280785,3600,293461
杉並区,7238,673463,6365,557558,7392,680861,6613,553605,6513,554060,6449,536026,6779,592715,6531,512501,6449,535824,6124,528175
豊島区,2796,207100,2779,191369,2784,205791,2993,213789,3108,227369,2876,192430,3166,210216,2681,194475,2632,185262,2707,195653
北区,2512,206281,2617,319664,3195,249882,3179,228256,2900,249606,3210,297451,3272,277619,3032,204115,3078,212054,3279,241094
荒川区,2103,128528,1737,135891,1855,130577,2017,152709,2022,141783,2250,153572,2327,141371,2225,136061,2478,173766,2246,155018
板橋区,4577,430947,4578,402267,4799,415561,4604,406028,4439,403592,4519,413728,4839,413925,4435,362292,4609,577195,5157,479156
練馬区,8645,734746,8359,733983,8686,729383,8998,813923,8335,728923,8370,763387,8500,704255,8156,687787,8868,726905,8262,710890
足立区,9263,727986,8922,716422,8585,756061,7609,668910,8900,697243,8009,734913,8437,660021,8057,609784,8374,625844,8813,694136
葛飾区,5658,410017,4969,356968,5532,390008,4999,397938,5837,412123,5632,415745,5739,401208,5039,367437,5327,371689,5635,413035
江戸川区,6959,521646,6182,500351,6477,537036,6045,506943,6605,579614,6531,739739,6318,489459,6383,472618,6196,475652,6227,529987
区部計,93884,8272224,89957,8159826,94605,8460060,91418,8255646,95100,8267327,92505,8272109,95706,7991341,88521,7395063,90546,7730187,91334,8000585
