区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,"13,373","13,782","13,694","13,227","23,664","25,655","24,063","25,389","24,219","24,812"
50m2未満／面積（m2）,"270,162","272,242","267,608","259,152","386,691","472,150","433,056","443,280","425,458","431,227"
50m2以上100m2未満／件数（件）,"13,252","14,563","15,069","14,669","12,408","13,804","12,571","12,552","11,599","11,320"
50m2以上100m2未満／面積（m2）,"967,767","1,065,081","1,106,762","1,080,352","887,337","974,740","891,591","892,591","823,252","805,215"
100m2以上150m2未満／件数（件）,"5,340","6,382","5,982","5,732","3,774","4,610","4,219","4,450","4,168","3,982"
100m2以上150m2未満／面積（m2）,"630,382","747,585","701,445","672,236","441,529","535,892","491,384","517,582","486,753","465,390"
150m2以上200m2未満／件数（件）,"1,708","1,786","1,715","1,699","1,016","1,167","1,127","1,117","1,136","1,019"
150m2以上200m2未満／面積（m2）,"291,892","306,096","293,951","291,086","174,341","199,782","192,756","189,906","194,501","174,407"
200m2以上300m2未満／件数（件）,"1,150","1,058","1,153","1,382",561,732,684,650,670,658
200m2以上300m2未満／面積（m2）,"276,759","254,174","275,013","332,366","134,411","173,180","163,951","154,497","160,195","156,358"
300m2以上500m2未満／件数（件）,688,576,581,540,250,309,294,330,292,314
300m2以上500m2未満／面積（m2）,"260,080","211,713","218,822","201,640","92,377","113,822","108,473","122,752","107,005","113,904"
500m2以上1000m2未満／件数（件）,230,218,219,220,71,63,86,82,83,80
500m2以上1000m2未満／面積（m2）,"154,760","150,120","139,722","143,431","45,403","40,599","55,268","53,587","54,416","52,045"
1000m2以上2000m2未満／件数（件）,78,42,51,62,10,9,9,12,9,10
1000m2以上2000m2未満／面積（m2）,"103,839","49,065","63,289","80,222","12,297","12,109","11,405","14,073","10,604","13,820"
2000m2以上5000m2未満／件数（件）,36,10,50,25,1,2,2,2,0,1
2000m2以上5000m2未満／面積（m2）,"135,158","33,620","147,364","95,877","2,005","6,730","4,358","6,087",0,"2,032"
5000m2以上10000m2未満／件数（件）,10,97,9,11,0,0,0,0,0,1
5000m2以上10000m2未満／面積（m2）,"70,507","626,831","65,077","82,912",0,0,0,0,0,"6,341"
10000m2以上／件数（件）,0,29,3,7,0,0,0,0,0,0
10000m2以上／面積（m2）,0,"414,392","40,250","167,698",0,0,0,0,0,0
合計／件数（件）,"35,865","38,543","38,526","37,574","41,755","46,351","43,055","44,584","42,176","42,197"
合計／面積（m2）,"3,161,306","4,130,918","3,319,302","3,406,974","2,176,392","2,529,004","2,352,242","2,394,355","2,262,184","2,220,739"
