区市町村名　/　用途,住 宅 地,商 業 地,工 業 地,全用途平均
千代田区,2688.6,682.9,,633.7
中央区,1252,9534.5,,8219.8
港区,189.4,4554,,3612
新宿区,751.1,475.9,,3263.8
文京区,929.8,145.1,,1181.5
台東区,863.8,144.3,,1376.3
墨田区,415.5,736.6,,589.5
江東区,454.7,823.5,435.3,583.7
品川区,82.9,1584.4,383,116.6
目黒区,913.3,1696.9,,1195.4
大田区,51.3,85,365.2,627.7
世田谷区,614.8,951.4,,69.2
渋谷区,1232,6599.7,,4234.3
中野区,571.7,113.6,,812.5
杉並区,521.9,893.8,,617
豊島区,587.2,266,,1447.6
北区,492.8,887.4,,657.8
荒川区,466.8,82.2,,65.6
板橋区,411.8,667.7,271,475.2
練馬区,382,725.6,,435.1
足立区,297.8,547,225,367.7
葛飾区,311.3,493.9,,362.6
江戸川区,348.3,612.4,31.8,392.7
区部,61.3,31,327.1,1619.2
八王子市,116.2,45.9,13.5,154
立川市,245.8,1291.4,157,452.7
武蔵野市,55.9,1792.5,,991.5
三鷹市,45,798.5,,514.8
青梅市,95.4,192.6,,16.9
府中市,289,54.8,186,332.1
昭島市,185,312,152,2.1
調布市,331.2,733.1,,391
町田市,156.4,716.2,,244.6
小金井市,327.3,662.6,,397.2
小平市,227.5,32.6,,244.9
日野市,19.1,414.5,148,216.6
東村山市,185.9,33.1,149,217.7
国分寺市,285.2,593.6,,379
国立市,335.6,62.7,188,382.8
福生市,163.9,293.4,,24.4
狛江市,32.7,467,,326.1
東大和市,168.9,197.7,149,171.4
清瀬市,184.6,35.5,142,2.7
東久留米市,213.7,283.8,195,223.4
武蔵村山市,121.9,149,14,123.8
多摩市,184.1,397.2,,212.9
稲城市,219.8,249.7,,222.9
羽村市,14,179,78.4,138
あきる野市,98.9,171,74,99.7
西東京市,284.2,415.6,,311.1
瑞穂町,93,121,68,89.1
日の出町,88.6,92.5,87.6,89
檜原村,,,,
奥多摩町,,,,
多摩地域,211.6,6,132.3,274.4
大島町,9.7,44.4,,21.3
新島村,6.6,9.3,,7.5
神津島村,7.1,9.5,,7.9
三宅村,9,11,,9.6
八丈町,9.1,31.1,,16.4
小笠原村,4.8,75,,52.2
島しょ,13.7,3.1,,19.1
東京都,415.2,2512.6,237.2,196.4
