区市名,平成5年（千m2）,平成6年（千m2）,平成7年（千m2）,平成8年（千m2）,平成9年（千m2）,平成10年（千m2）,平成11年（千m2）,平成12年（千m2）,平成13年（千m2）,平成14年（千m2）,平成15年（千m2）,平成16年（千m2）,平成17年（千m2）,平成18年（千m2）,平成19年（千m2）,平成20年（千m2）,平成21年（千m2）,平成22年（千m2）,平成23年（千m2）,平成24年（千m2）,平成25年（千m2）,平成26年（千m2）,平成27年（千m2）,平成28年（千m2）,平成29年（千m2）
目黒区,19,17,16,16,18,15,14,13,12,11,11,11,10,10,8,10,10,9,4,4,3,2,2,2,2
大田区,65,50,46,43,41,40,36,35,32,31,29,29,29,26,26,22,20,19,16,13,13,12,9,8,8
世田谷区,940,761,695,710,655,635,575,559,513,442,405,356,341,323,305,282,273,258,243,221,197,182,170,163,153
中野区,55,46,42,38,35,36,34,32,30,31,31,29,28,25,24,22,22,23,20,19,19,18,16,16,15
杉並区,253,210,174,166,155,149,155,137,131,127,110,101,95,90,85,83,77,72,70,69,60,51,50,44,39
北区,3,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
板橋区,392,337,320,301,282,254,212,202,179,169,157,154,149,142,137,123,119,107,101,96,89,86,76,70,69
練馬区,2087,1737,1556,1392,1277,1166,1086,1025,948,854,803,733,697,645,606,556,548,492,443,408,383,348,332,305,284
足立区,2491,2293,1937,1715,1655,1585,1472,1435,1048,748,720,675,647,615,581,548,531,500,321,301,287,257,246,230,207
葛飾区,492,383,345,322,293,277,267,255,228,213,197,183,177,172,161,150,142,132,129,122,113,104,93,88,83
江戸川区,1100,958,896,836,780,745,718,691,641,379,356,330,295,282,266,243,229,206,189,174,160,148,140,131,120
区部計,7899,6794,6030,5541,5194,4904,4570,4387,3764,3007,2818,2602,2467,2329,2198,2040,1971,1818,1536,1427,1324,1208,1133,1056,979
1_八王子市,4142,3709,3403,3212,3033,2888,2783,2645,2550,2448,2322,2223,2142,1918,1853,1808,1734,1687,1639,1595,1546,1502,1455,1425,1370
2_立川市,1049,922,865,803,750,701,669,637,623,595,520,475,464,432,409,388,376,365,350,342,335,334,309,308,312
3_武蔵野市,88,75,68,62,58,58,56,54,48,44,36,34,29,27,26,24,24,23,21,20,19,17,17,15,15
4_三鷹市,434,367,326,306,284,267,248,240,234,242,226,223,207,199,194,187,180,181,178,171,163,152,152,143,137
5_青梅市,1314,1177,1092,1022,949,906,869,821,797,781,787,745,719,702,700,673,667,650,613,598,582,567,551,530,522
6_府中市,950,823,765,727,694,679,640,621,590,560,549,521,499,479,448,421,399,386,372,344,323,313,289,273,255
7_昭島市,594,494,432,414,392,370,361,348,333,319,304,291,268,253,244,236,219,225,210,205,191,183,164,157,149
8_調布市,686,614,577,525,494,473,449,428,407,405,377,359,336,319,289,279,276,257,240,231,215,205,202,191,186
9_町田市,3142,2759,2572,2411,2267,2192,2091,1882,1787,1710,1533,1381,1305,1212,1125,1078,1052,1025,986,939,907,864,815,775,744
10_小金井市,390,317,258,248,231,215,206,189,184,174,163,153,149,141,131,127,133,122,120,111,99,88,82,77,74
11_小平市,529,448,403,366,346,340,322,313,293,288,276,252,234,221,215,220,213,214,189,185,178,165,165,155,152
12_日野市,1603,1444,1350,1295,1257,1209,1154,1088,1030,988,816,764,709,673,636,588,560,544,512,478,455,436,409,391,374
13_東村山市,794,713,679,642,575,547,510,489,472,432,419,383,362,350,340,322,298,294,282,274,263,251,245,234,230
14_国分寺市,673,628,596,547,524,510,488,471,453,436,420,369,343,328,308,293,278,272,249,245,226,222,211,189,191
15_国立市,453,405,365,346,326,320,301,297,284,262,245,215,196,187,175,167,153,144,135,123,114,110,98,94,91
16_福生市,223,177,163,156,140,132,120,119,110,105,101,99,93,84,80,72,70,69,66,60,59,59,57,53,52
17_狛江市,235,205,182,168,149,141,135,129,122,121,120,118,110,108,106,103,100,96,89,86,78,82,81,71,67
18_東大和市,585,516,473,446,422,422,405,374,359,351,332,292,278,256,240,237,227,221,207,205,204,190,185,178,164
19_清瀬市,491,444,395,371,355,338,326,322,308,287,285,277,257,258,253,239,241,230,220,214,209,204,194,182,181
20_東久留米市,462,385,345,324,299,289,280,268,243,230,222,213,202,193,190,190,181,177,176,165,159,158,153,150,148
21_武蔵村山市,1005,906,854,813,770,741,710,692,663,629,601,523,503,473,451,437,416,409,393,378,357,343,327,310,292
22_多摩市,471,433,390,366,343,327,319,305,275,263,246,231,220,186,177,175,170,164,158,148,142,133,128,122,116
23_稲城市,470,391,376,350,344,386,377,368,357,344,332,318,271,263,250,238,228,218,219,208,202,193,184,180,174
24_羽村市,365,286,266,247,230,218,210,201,194,186,178,169,161,137,126,120,112,107,102,99,95,93,88,84,77
25_あきる野市,1134,998,922,1486,1029,967,895,847,784,735,689,662,625,580,552,533,512,492,479,456,444,425,406,527,509
26_西東京市,666,564,496,449,426,406,377,357,334,328,312,302,266,247,236,229,223,219,208,197,190,185,172,175,161
市部計,22950,20200,18613,18101,16686,16042,15301,14507,13834,13264,12412,11590,10949,10228,9754,9383,9043,8791,8416,8077,7753,7474,7140,6989,6743
区部・市部計,30849,26995,24643,23642,21880,20946,19872,18894,17598,16271,15230,14192,13416,12557,11953,11423,11014,10609,9952,9504,9077,8682,8274,8045,7722
