区分,区部都心部（件）,区部南西部（件）,区部北東部（件）,多摩地域（件）,合計（件）,,,,,
平成１１年,5,2,2,0,9,,,,,
平成１２年,17,6,4,3,30,,,,,
平成１３年,28,7,13,4,52,,,,,
平成１４年,29,16,4,8,57,,,,,
平成１５年,40,18,22,12,92,,,,,
平成１６年,53,30,12,15,110,,,,,
平成１７年,58,21,24,18,121,,,,,
平成１８年,66,22,14,14,116,,,,,
平成１９年,53,22,24,20,119,,,,,
平成２０年,31,14,17,11,73,,,,,
平成２１年,17,5,6,4,32,,,,,
平成２２年,22,3,10,3,38,,,,,
平成２３年,25,11,13,8,57,,,,,
平成２４年,28,11,10,18,67,,,,,
平成２５年,36,23,8,16,83,,,,,
平成２６年,38,20,15,14,87,,,,,
平成２７年,36,23,13,13,85,,,,,
平成２８年,32,13,21,4,70,,,,,
平成２９年,32,18,21,16,87,,,,,
