区市町村名,平成２０年度／全体（戸数）,平成２０年度／二次的住宅（戸数）,平成２０年度／賃貸用の住宅（戸数）,平成２０年度／売却用の住宅（戸数）,平成２０年度／その他の住宅（戸数）,平成２５年度／全体（戸数）,平成２５年度／二次的住宅（戸数）,平成２５年度／賃貸用の住宅（戸数）,平成２５年度／売却用の住宅（戸数）,平成２５年度／その他の住宅（戸数）,空き家総数Ｈ25-Ｈ20（戸数）
区部／千代田区,8380,640,6230,300,1220,4490,80,2890,660,860,-3890
区部／中央区,24230,1540,13220,270,9200,9800,1240,6040,1260,1250,-14430
区部／港区,13920,430,9800,1260,2430,17140,340,11580,1470,3760,3220
区部／新宿区,27210,1460,17550,1440,6760,28560,330,21590,1750,4890,1350
区部／文京区,11580,650,6240,330,4360,12950,430,8370,1620,2530,1370
区部／台東区,15200,130,7630,2450,4990,10900,230,7670,1160,1840,-4300
区部／墨田区,11430,290,5460,730,4940,15570,430,10320,650,4160,4140
区部／江東区,18320,290,7890,2520,7620,20080,20,15240,4120,700,1760
区部／品川区,24890,690,12690,6090,5420,25930,1230,18900,1580,4230,1040
区部／目黒区,27720,130,21860,3720,2020,15040,220,11250,540,3030,-12680
区部／大田区,43700,540,29620,2140,11410,61790,60,45750,10620,5360,18090
区部／世田谷区,34790,60,22320,1900,10520,52600,290,30870,1750,19690,17810
区部／渋谷区,20250,190,9620,1160,9280,17320,240,13590,610,2880,-2930
区部／中野区,17500,330,12220,380,4570,28920,220,23920,990,3790,11420
区部／杉並区,32690,890,22270,910,8620,35690,560,26680,900,7560,3000
区部／豊島区,21680,600,16680,680,3730,30370,360,25450,840,3720,8690
区部／北区,19110,40,12290,710,6080,20470,90,14480,860,5040,1360
区部／荒川区,13770,30,10080,3240,410,10900,100,7250,800,2750,-2870
区部／板橋区,32330,430,21370,1620,8900,34810,400,26920,1970,5520,2480
区部／練馬区,33280,600,23860,1470,7350,36150,390,26830,1430,7500,2870
区部／足立区,38730,790,28800,3270,5870,35150,290,24980,1910,7970,-3580
区部／葛飾区,24130,380,15670,1390,6680,24960,130,19020,1530,4270,830
区部／江戸川区,29920,210,21290,1520,6900,37730,350,25710,1710,9960,7810
区部／区部計,544800,11300,354700,39500,139300,587300,8000,425300,40700,113200,42500
市部／八王子市,27960,240,20280,2420,5020,28980,260,21350,1520,5850,1020
市部／立川市,8780,380,6090,870,1430,9010,40,6980,430,1550,230
市部／武蔵野市,6820,40,5330,180,1260,11670,360,8920,390,1990,4850
市部／三鷹市,11920,80,6890,450,4510,10860,40,7840,1270,1720,-1060
市部／青梅市,6160,460,2880,160,2660,7610,170,4830,1300,1300,1450
市部／府中市,13190,680,7170,860,4490,15460,170,13010,670,1600,2270
市部／昭島市,4820,210,3390,140,1070,6330,70,4320,450,1490,1510
市部／調布市,12010,290,7410,450,3870,14720,100,12100,690,1830,2710
市部／町田市,16120,560,12030,2460,1060,17360,340,13630,950,2440,1240
市部／小金井市,5820,330,4540,360,580,7610,60,6100,200,1250,1790
市部／小平市,10070,60,7730,740,1560,10830,140,8090,440,2150,760
市部／日野市,10170,60,7040,1360,1710,11520,40,9070,860,1550,1350
市部／東村山市,7150,100,4540,750,1760,7110,180,4740,430,1760,-40
市部／国分寺市,6080,100,4530,320,1130,8450,170,6890,130,1250,2370
市部／国立市,4950,230,3510,220,980,5300,50,4150,190,920,350
市部／福生市,4400,60,3270,200,870,3790,40,3000,50,700,-610
市部／狛江市,4160,10,3200,80,870,5130,60,4370,100,600,970
市部／東大和市,3840,60,2270,230,1280,4650,120,3690,190,650,810
市部／清瀬市,3330,120,2270,100,830,3620,10,2670,230,720,290
市部／東久留米市,5810,30,3040,160,2580,5040,70,3570,1290,110,-770
市部／武蔵村山市,3900,70,3130,50,650,3480,170,2370,130,800,-420
市部／多摩市,5370,70,3570,120,1600,7080,270,5590,730,490,1710
市部／稲城市,2760,20,2080,180,480,3320,40,2630,210,440,560
市部／羽村市,2800,230,1880,80,610,3080,100,2540,60,370,280
市部／あきる野市,3220,120,1950,190,960,3520,200,2030,170,1120,300
市部／西東京市,8590,150,5070,570,2810,9010,160,6960,250,1640,420
市部／市部計,200200,4800,135100,13700,46600,224600,3500,171500,13400,36300,24400
合計,745000,16100,489800,53200,185900,811900,11500,596800,54100,149500,66900
