区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件）,54,16,6,2,4,1,0,0,0,0,0,83
千代田区／面積（m2）,1096,1074,775,347,894,453,0,0,0,0,0,4639
中央区／件数(件）,184,45,8,5,2,0,0,0,0,0,0,244
中央区／面積（m2）,3591,3041,968,833,448,0,0,0,0,0,0,8881
港区／件数(件）,349,84,35,19,13,2,2,0,0,0,0,504
港区／面積（m2）,4292,5836,4299,3402,3131,710,1642,0,0,0,0,23312
新宿区／件数(件）,675,236,60,33,12,14,0,1,0,0,0,1031
新宿区／面積（m2）,10045,16505,7170,5734,2864,5052,0,1003,0,0,0,48373
文京区／件数(件）,582,159,44,14,12,7,1,0,0,0,0,819
文京区／面積（m2）,10919,10435,5376,2408,2973,2806,767,0,0,0,0,35684
台東区／件数(件）,317,151,21,15,6,2,2,0,0,0,0,514
台東区／面積（m2）,6669,10336,2554,2702,1418,724,1204,0,0,0,0,25607
墨田区／件数(件）,540,218,38,14,14,2,3,0,0,0,0,829
墨田区／面積（m2）,10813,14801,4390,2355,3429,726,2241,0,0,0,0,38755
江東区／件数(件）,796,252,44,20,16,8,1,2,0,0,0,1139
江東区／面積（m2）,14782,17200,5449,3368,3714,2778,536,3496,0,0,0,51323
品川区／件数(件）,1173,289,61,30,18,9,2,0,0,0,0,1582
品川区／面積（m2）,18267,19557,7317,5112,4366,3224,1231,0,0,0,0,59074
目黒区／件数(件）,802,304,93,34,24,11,3,0,0,0,0,1271
目黒区／面積（m2）,10941,21687,10985,5941,5569,4264,1583,0,0,0,0,60970
大田区／件数(件）,2055,843,231,87,54,30,7,1,0,0,0,3308
大田区／面積（m2）,37411,58232,27711,14755,12806,11798,4909,1203,0,0,0,168825
世田谷区／件数(件）,2554,1228,548,158,85,50,14,0,0,0,0,4637
世田谷区／面積（m2）,42904,88468,64337,27079,20383,18642,9171,0,0,0,0,270984
渋谷区／件数(件）,572,156,55,35,22,9,2,0,0,0,0,851
渋谷区／面積（m2）,8627,10564,6666,6068,5265,3424,1106,0,0,0,0,41720
中野区／件数(件）,778,354,109,36,15,8,3,0,0,0,0,1303
中野区／面積（m2）,12368,24974,12954,6218,3650,2863,1991,0,0,0,0,65018
杉並区／件数(件）,1918,900,310,81,65,17,5,0,0,0,0,3296
杉並区／面積（m2）,33249,65219,35986,13873,15495,6400,2830,0,0,0,0,173052
豊島区／件数(件）,836,267,68,20,12,9,3,0,0,0,0,1215
豊島区／面積（m2）,13809,18449,8124,3461,2804,3293,1891,0,0,0,0,51831
北区／件数(件）,936,338,69,26,9,5,1,0,0,0,0,1384
北区／面積（m2）,16484,22984,7969,4465,2117,1741,672,0,0,0,0,56432
荒川区／件数(件）,732,229,56,13,14,1,0,0,0,0,0,1045
荒川区／面積（m2）,13325,14884,6580,2123,3378,331,0,0,0,0,0,40621
板橋区／件数(件）,1340,620,169,48,27,8,4,0,0,0,0,2216
板橋区／面積（m2）,21410,44136,19887,8284,6769,2681,2625,0,0,0,0,105792
練馬区／件数(件）,2159,1138,644,85,53,23,8,1,0,0,0,4111
練馬区／面積（m2）,36316,80350,72720,14477,12666,8820,5596,1359,0,0,0,232304
足立区／件数(件）,2038,1145,304,72,40,29,13,1,0,0,0,3642
足立区／面積（m2）,33337,85054,35078,12319,9682,10460,8256,1087,0,0,0,195273
葛飾区／件数(件）,1480,812,185,45,34,12,5,0,0,0,0,2573
葛飾区／面積（m2）,26641,57729,21480,7593,8286,4249,3008,0,0,0,0,128986
江戸川区／件数(件）,1622,988,189,65,23,24,6,1,0,0,0,2918
江戸川区／面積（m2）,32381,72231,21808,10901,5324,9102,4039,1004,0,0,0,156790
合計／件数(件）,24492,10772,3347,957,574,281,85,7,0,0,0,40515
合計／面積（m2）,419677,763746,390583,163818,137431,104541,55298,9152,0,0,0,2044246
