区市町村名,住宅地,商業地,工業地,全用途平均
千代田区,"2,992.5","5,272.6",―,"4,987.6"
中央区,"1,216.3","5,955.6",―,"5,344.0"
港区,"1,976.0","5,381.1",575.0,"4,358.6"
新宿区,741.5,"4,748.2",―,"3,575.5"
文京区,945.1,"1,566.4",―,"1,324.8"
台東区,718.5,"1,584.6",―,"1,518.0"
墨田区,428.0,676.9,―,611.4
江東区,517.9,839.5,373.5,638.2
品川区,813.9,"1,175.1",―,"1,002.3"
目黒区,831.7,"1,649.9",―,"1,189.6"
大田区,465.8,771.4,397.5,580.8
世田谷区,610.9,"1,055.3",―,727.5
渋谷区,"1,178.5","5,587.2",―,"4,012.7"
中野区,580.8,"1,296.7",―,921.7
杉並区,572.8,973.1,―,716.5
豊島区,655.2,"2,474.7",―,"1,730.4"
北区,497.4,989.8,333.0,704.3
荒川区,556.3,789.6,―,689.6
板橋区,430.8,723.2,―,549.6
練馬区,374.9,713.9,―,458.0
足立区,330.0,560.8,260.0,427.5
葛飾区,315.2,552.8,222.0,377.5
江戸川区,351.9,663.2,357.0,443.1
区部,606.1,"2,593.1",365.4,"1,598.0"
八王子市,122.9,371.4,129.5,162.1
立川市,251.6,"1,697.0",―,664.6
武蔵野市,512.3,"2,153.9",―,"1,278.3"
三鷹市,392.9,"1,514.3",―,603.2
青梅市,86.0,170.0,85.8,101.3
府中市,293.6,545.1,―,361.3
昭島市,176.8,313.7,149.0,204.1
調布市,343.7,654.0,―,417.6
町田市,147.9,556.6,―,231.2
小金井市,341.3,"1,027.0",―,466.0
小平市,236.3,319.3,―,249.4
日野市,191.9,319.0,―,212.0
東村山市,187.8,354.7,―,221.1
国分寺市,269.8,"1,177.5",―,434.8
国立市,332.0,385.0,―,339.6
福生市,161.6,218.7,―,183.0
狛江市,328.8,409.0,―,342.2
東大和市,163.4,186.5,―,167.3
清瀬市,192.1,441.0,―,233.6
東久留米市,191.7,371.5,―,219.4
武蔵村山市,114.7,137.5,―,118.8
多摩市,174.6,371.2,―,233.6
稲城市,232.1,304.3,―,245.6
羽村市,140.4,227.5,94.3,156.4
あきる野市,82.4,130.5,―,89.8
西東京市,276.4,534.0,―,333.6
市部,204.2,649.9,112.3,295.4
瑞穂町,96.5,125.0,61.0,95.6
日の出町,59.1,―,―,59.1
檜原村,19.4,―,―,19.4
奥多摩町,25.5,31.9,―,28.7
西多摩郡,61.6,62.9,61.0,61.8
大島町,7.0,21.0,―,12.6
新島村,6.1,9.4,―,7.2
神津島村,6.9,9.7,―,7.8
三宅村,7.2,12.3,―,8.9
八丈町,8.9,19.7,―,14.3
小笠原村,20.3,62.0,―,27.2
島しょ,11.3,21.8,―,14.8
東　京　都,380.9,"2,113.5",251.5,"1,032.2"
