都市名/用途　平成・令和　年,住宅地　25,住宅地　26,住宅地　27,住宅地　28,住宅地　29,住宅地　30,住宅地　31,住宅地　2,住宅地　3,商業地　25,商業地　26,商業地　27,商業地　28,商業地　29,商業地　30,商業地　31,商業地　2,商業地　3
札幌市　*1*2,-1.2,1.2,0.7,2.0,2.0,2.3,4.0,7.1,4.3,-1.1,1.6,1.5,6.0,6.1,7.4,8.8,10.2,2.9
仙台市　*1*2,1.6,3.1,3.2,3.2,4.0,4.6,5.8,5.7,2.0,1.3,3.4,4.2,6.2,9.0,8.7,10.7,10.9,2.8
さいたま市　*1*2,-0.7,1.4,0.9,1.1,1.1,1.4,1.9,2.2,-0.7,-0.5,1.5,2.0,2.3,2.7,3.1,4.0,5.0,-1.0
千葉市　*1*2,-1.1,0.1,0.2,0.2,0.4,0.7,1.1,1.3,0.4,-1.9,-0.3,0.0,0.5,1.4,2.2,3.0,4.1,1.4
東京特別区　*1*2,-0.2,1.8,1.9,2.8,3.0,3.9,4.8,4.6,-0.5,-0.4,2.7,3.4,4.8,5.5,6.4,7.9,8.5,-2.1
横浜市　*1*2,0.2,1.7,1.5,1.2,0.9,1.0,1.0,1.1,-0.2,0.5,2.4,2.4,2.3,2.6,2.8,3.2,3.5,0.5
川崎市　*2,0.7,1.4,1.1,1.1,1.1,1.4,1.7,1.6,0.0,2.1,3.4,2.8,3.0,3.0,3.9,4.8,5.1,0.8
相模原市　*2,-0.3,0.6,0.3,0.4,0.6,0.8,1.2,1.4,-0.1,-0.5,0.3,0.4,0.9,1.1,1.5,2.2,2.5,-0.6
新潟市　*1*2,-1.6,-0.8,-0.7,-0.7,-0.4,0.1,0.7,0.7,0.0,-2.8,-1.4,-1.2,-1.0,-0.6,0.0,0.5,0.7,-0.4
静岡市　*1*2,-1.3,-0.2,-0.3,-0.6,-0.5,-0.6,-0.5,-0.6,-1.6,-1.3,0.0,0.4,0.2,1.3,1.2,1.3,1.0,-2.1
浜松市　*2,-0.9,-0.4,-0.3,-0.1,-0.2,0.0,0.0,0.1,-1.2,-0.5,0.1,0.0,0.2,0.1,0.5,0.8,0.9,-1.8
名古屋市　*1*2,0.4,2.6,1.7,1.6,1.2,1.3,2.3,2.0,-0.8,-0.3,3.7,2.9,5.5,4.8,6.2,8.9,7.7,-2.1
京都市　*1*2,-0.9,0.1,0.3,0.5,0.8,1.3,2.0,1.8,-0.4,0.2,2.2,2.3,5.0,6.5,9.1,13.4,11.2,-2.1
大阪市　*1*2,-0.6,0.1,0.3,0.5,0.5,0.6,0.8,1.2,-0.1,-0.1,3.6,3.5,7.8,9.0,8.8,10.6,13.3,-4.4
堺市　*2,-0.6,0.2,0.2,0.3,0.6,1.2,1.5,2.1,-0.3,-1.6,0.1,0.4,1.3,2.9,4.6,6.3,6.5,-1.6
神戸市　*1*2,-0.4,0.6,0.6,0.4,0.2,0.3,0.4,0.5,-0.3,-0.6,1.0,1.2,2.2,3.4,5.5,6.1,6.0,-1.8
