区分,"１m2当たり平均単価
（万円）","75m2当たり価格
（万円）",年収倍率
区部,108.3 ,8123,11.7 
多摩部,71.2 ,5340,7.7 
東京都,100.4 ,7530,10.8 
神奈川県,77.1 ,5783,8.3 
埼玉県,61.1 ,4583,6.6 
千葉県,57.0 ,4275,6.1 
