区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,2769,33,95,2,345,28,9,0,3114,32,104,1
八王子市／200m2未満,1749,21,256,5,169,14,25,0,1918,20,280,2
八王子市／300m2未満,1097,13,269,5,108,9,26,0,1205,12,295,2
八王子市／500m2未満,1049,12,404,7,156,13,62,1,1205,12,466,4
八王子市／1000m2未満,969,11,674,12,175,14,129,2,1144,12,802,6
八王子市／2000m2未満,516,6,723,13,103,8,140,2,619,6,863,7
八王子市／5000m2未満,219,3,659,12,75,6,226,3,294,3,884,7
八王子市／10000m2未満,46,1,301,6,24,2,160,2,70,1,461,4
八王子市／10000m2以上,50,1,2078,38,57,5,6311,89,107,1,8389,67
八王子市／計,8464,100,5459,100,1212,100,7086,100,9676,100,12545,100
立川市／100m2未満,279,85,3,10,80,82,1,0,359,84,4,1
立川市／200m2未満,17,5,3,8,2,2,0,0,19,4,3,1
立川市／300m2未満,14,4,3,10,1,1,0,0,15,4,4,1
立川市／500m2未満,9,3,3,10,2,2,1,0,11,3,4,1
立川市／1000m2未満,6,2,5,16,1,1,1,0,7,2,6,1
立川市／2000m2未満,1,0,1,4,2,2,3,1,3,1,4,1
立川市／5000m2未満,2,1,6,19,2,2,7,1,4,1,13,3
立川市／10000m2未満,1,0,8,24,0,0,0,0,1,0,8,2
立川市／10000m2以上,0,0,0,0,8,8,472,97,8,2,472,91
立川市／計,329,100,33,100,98,100,485,100,427,100,518,100
武蔵野市／100m2未満,129,89,3,14,8,38,0,0,137,83,3,2
武蔵野市／200m2未満,8,6,1,6,0,0,0,0,8,5,1,1
武蔵野市／300m2未満,2,1,1,3,1,5,0,0,3,2,1,0
武蔵野市／500m2未満,0,0,0,0,2,10,1,0,2,1,1,0
武蔵野市／1000m2未満,1,1,1,3,0,0,0,0,1,1,1,0
武蔵野市／2000m2未満,1,1,1,7,1,5,2,1,2,1,3,2
武蔵野市／5000m2未満,4,3,14,67,1,5,3,2,5,3,16,9
武蔵野市／10000m2未満,0,0,0,0,4,19,29,18,4,2,29,16
武蔵野市／10000m2以上,0,0,0,0,4,19,126,78,4,2,126,69
武蔵野市／計,145,100,20,100,21,100,161,100,166,100,181,100
三鷹市／100m2未満,73,65,2,12,9,60,0,0,82,64,2,2
三鷹市／200m2未満,18,16,2,14,0,0,0,0,18,14,2,2
三鷹市／300m2未満,8,7,2,11,0,0,0,0,8,6,2,2
三鷹市／500m2未満,8,7,3,17,2,13,1,1,10,8,4,3
三鷹市／1000m2未満,4,4,3,16,1,7,1,1,5,4,3,3
三鷹市／2000m2未満,1,1,2,11,0,0,0,0,1,1,2,2
