区分,令和4年／民有地面積A(千m2),令和4年／区分所有土地B(千m2),令和4年／非区分所有土地C(千m2),令和4年／B/A(%),令和3年／民有地面積D(千m2),令和3年／区分所有土地E(千m2),令和3年／非区分所有土地Ｆ(千m2),令和3年／E/D(%),令和4年－令和3年／民有地面積A－D(千m2),令和4年－令和3年／区分所有土地B－E(千m2),令和4年－令和3年／非区分所有土地C－F(千m2),令和4年－令和3年／B/A-E/D(%)
千代田区,4060,546,3514,13.4,4060,542,3519,13.3,0,4,-4,0.1
中央区,3950,891,3059,22.6,3945,889,3056,22.5,5,2,3,0
港区,9987,2116,7871,21.2,10017,2090,7927,20.9,-31,26,-56,0.3
新宿区,10165,1712,8453,16.8,10173,1695,8478,16.7,-8,17,-25,0.2
文京区,5950,974,4976,16.4,5944,951,4993,16,6,23,-17,0.4
台東区,4803,540,4262,11.3,4802,524,4278,10.9,0,16,-16,0.3
墨田区,7088,928,6160,13.1,7091,914,6177,12.9,-3,14,-17,0.2
江東区,15612,2662,12950,17.1,15606,2643,12963,16.9,5,19,-13,0.1
品川区,13608,1841,11767,13.5,13625,1822,11803,13.4,-17,18,-35,0.2
目黒区,9276,1102,8174,11.9,9278,1085,8193,11.7,-2,17,-19,0.2
大田区,25782,2602,23180,10.1,25780,2561,23220,9.9,2,41,-39,0.2
世田谷区,36753,3942,32811,10.7,36745,3903,32842,10.6,8,39,-31,0.1
渋谷区,8480,1480,7000,17.5,8483,1467,7016,17.3,-3,13,-16,0.2
中野区,10351,1002,9350,9.7,10357,994,9363,9.6,-6,8,-14,0.1
杉並区,22376,1678,20698,7.5,22378,1667,20710,7.5,-2,10,-12,0
豊島区,8162,836,7326,10.2,8170,832,7338,10.2,-7,4,-12,0.1
北区,10449,977,9472,9.3,10452,944,9509,9,-3,33,-36,0.3
荒川区,5858,686,5171,11.7,5867,673,5194,11.5,-9,13,-23,0.2
板橋区,18495,2327,16167,12.6,18484,2306,16178,12.5,11,22,-11,0.1
練馬区,30955,2117,28838,6.8,31018,2050,28968,6.6,-63,67,-130,0.2
足立区,28491,1823,26668,6.4,28486,1800,26687,6.3,4,23,-19,0.1
葛飾区,17400,1235,16165,7.1,17394,1198,16196,6.9,6,37,-31,0.2
江戸川区,24024,1706,22318,7.1,24034,1686,22348,7,-9,20,-29,0.1
区部計,332075,35723,296353,10.8,332192,35237,296955,10.6,-117,486,-602,0.1
