区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
八王子市／100m2未満,12069,10,831,1,518,13,21,0,12587,10,851,1
八王子市／200m2未満,65444,54,9694,15,590,15,89,0,66034,53,9784,11
八王子市／300m2未満,23058,19,5371,8,405,10,98,0,23463,19,5469,6
八王子市／500m2未満,8593,7,3231,5,591,15,230,1,9184,7,3462,4
八王子市／1000m2未満,5366,4,3713,6,673,17,486,2,6039,5,4198,5
八王子市／2000m2未満,2850,2,3905,6,460,11,645,2,3310,3,4550,5
八王子市／5000m2未満,2206,2,6900,11,370,9,1175,4,2576,2,8075,9
八王子市／10000m2未満,880,1,6104,10,168,4,1211,4,1048,1,7315,8
八王子市／10000m2以上,837,1,23445,37,279,7,23289,85,1116,1,46734,52
八王子市／計,121303,100,63194,99,4054,101,27244,98,125357,101,90438,101
立川市／100m2未満,6624,22,483,5,200,16,9,0,6824,21,492,4
立川市／200m2未満,17161,56,2237,21,288,22,42,1,17449,55,2279,16
立川市／300m2未満,2740,9,659,6,165,13,41,1,2905,9,700,5
立川市／500m2未満,1773,6,662,6,194,15,75,2,1967,6,737,5
立川市／1000m2未満,978,3,686,7,188,15,133,4,1166,4,819,6
立川市／2000m2未満,569,2,806,8,118,9,165,5,687,2,971,7
立川市／5000m2未満,397,1,1239,12,81,6,232,7,478,2,1471,11
立川市／10000m2未満,192,1,1394,13,20,2,140,4,212,1,1534,11
立川市／10000m2以上,143,0,2276,22,31,2,2618,76,174,1,4894,35
立川市／計,30577,100,10441,100,1285,100,3455,100,31862,101,13897,100
武蔵野市／100m2未満,5179,24,353,7,153,15,10,1,5332,23,363,5
武蔵野市／200m2未満,10297,47,1441,27,260,25,38,3,10557,46,1479,22
武蔵野市／300m2未満,3155,14,762,14,151,15,37,3,3306,14,799,12
武蔵野市／500m2未満,1972,9,740,14,189,18,73,5,2161,9,813,12
武蔵野市／1000m2未満,833,4,569,10,116,11,79,6,949,4,649,10
武蔵野市／2000m2未満,339,2,472,9,86,8,122,9,425,2,594,9
武蔵野市／5000m2未満,187,1,566,10,37,4,109,8,224,1,675,10
武蔵野市／10000m2未満,45,0,325,6,22,2,153,11,67,0,478,7
武蔵野市／10000m2以上,14,0,199,4,19,2,731,54,33,0,930,14
武蔵野市／計,22021,101,5426,101,1033,100,1353,100,23054,99,6779,101
三鷹市／100m2未満,7903,25,567,6,144,14,8,1,8047,24,575,6
三鷹市／200m2未満,17072,53,2219,25,264,25,38,2,17336,52,2257,22
三鷹市／300m2未満,3085,10,740,8,131,13,32,2,3216,10,772,7
三鷹市／500m2未満,1773,6,670,8,146,14,58,4,1919,6,728,7
三鷹市／1000m2未満,1041,3,732,8,156,15,108,7,1197,4,841,8
三鷹市／2000m2未満,573,2,807,9,84,8,117,8,657,2,924,9
三鷹市／5000m2未満,460,1,1421,16,68,7,225,15,528,2,1646,16
三鷹市／10000m2未満,162,1,1088,12,23,2,154,10,185,1,1242,12
三鷹市／10000m2以上,35,0,520,6,22,2,805,52,57,0,1325,13
三鷹市／計,32104,101,8763,98,1038,100,1545,101,33142,101,10309,100
青梅市／100m2未満,3830,11,268,1,116,10,5,0,3946,11,273,0
青梅市／200m2未満,17154,48,2404,6,152,12,23,0,17306,47,2427,4
青梅市／300m2未満,4496,13,1091,3,92,8,23,0,4588,12,1114,2
青梅市／500m2未満,3494,10,1331,3,150,12,59,0,3644,10,1390,2
青梅市／1000m2未満,2620,7,1825,4,192,16,135,1,2812,8,1960,3
青梅市／2000m2未満,1607,4,2246,5,151,12,218,1,1758,5,2464,4
青梅市／5000m2未満,1234,3,3911,9,123,10,401,2,1357,4,4312,7
青梅市／10000m2未満,598,2,4210,10,74,6,526,3,672,2,4736,8
青梅市／10000m2以上,738,2,24197,58,170,14,17489,93,908,2,41686,69
青梅市／計,35771,100,41483,99,1220,100,18880,100,36991,101,60362,99
府中市／100m2未満,12539,28,835,7,307,22,13,0,12846,28,848,6
府中市／200m2未満,21882,49,2866,26,278,20,40,1,22160,48,2906,19
府中市／300m2未満,4505,10,1069,10,138,10,34,1,4643,10,1103,7
府中市／500m2未満,2301,5,866,8,204,14,80,2,2505,5,946,6
府中市／1000m2未満,1571,4,1108,10,206,14,147,4,1777,4,1255,8
府中市／2000m2未満,868,2,1217,11,117,8,165,4,985,2,1382,9
府中市／5000m2未満,650,1,1994,18,90,6,265,7,740,2,2258,15
府中市／10000m2未満,110,0,735,7,36,3,256,6,146,0,991,7
府中市／10000m2以上,23,0,441,4,47,3,3001,75,70,0,3443,23
府中市／計,44449,99,11130,101,1423,100,4001,100,45872,99,15131,100
昭島市／100m2未満,3856,18,273,5,141,17,6,0,3997,18,279,3
昭島市／200m2未満,11727,56,1543,26,136,16,20,1,11863,54,1562,17
昭島市／300m2未満,2192,10,529,9,84,10,21,1,2276,10,550,6
昭島市／500m2未満,1461,7,551,9,119,14,46,1,1580,7,597,7
昭島市／1000m2未満,894,4,622,11,131,16,94,3,1025,5,716,8
昭島市／2000m2未満,468,2,654,11,93,11,131,4,561,3,784,9
昭島市／5000m2未満,281,1,854,15,58,7,177,5,339,2,1031,11
昭島市／10000m2未満,76,0,487,8,26,3,183,6,102,0,671,7
昭島市／10000m2以上,18,0,365,6,52,6,2551,79,70,0,2916,32
昭島市／計,20973,98,5878,100,840,100,3229,100,21813,99,9107,100
調布市／100m2未満,9742,26,706,7,228,17,14,1,9970,26,719,6
調布市／200m2未満,19022,51,2475,25,299,23,44,2,19321,50,2520,21
調布市／300m2未満,3722,10,891,9,159,12,39,2,3881,10,929,8
調布市／500m2未満,1924,5,722,7,180,14,70,3,2104,5,791,7
調布市／1000m2未満,1285,3,894,9,171,13,122,6,1456,4,1015,8
調布市／2000m2未満,808,2,1133,11,142,11,197,9,950,2,1331,11
調布市／5000m2未満,543,1,1612,16,87,7,265,12,630,2,1877,16
調布市／10000m2未満,138,0,907,9,23,2,159,7,161,0,1066,9
調布市／10000m2以上,30,0,548,6,32,2,1215,57,62,0,1763,15
調布市／計,37214,98,9889,99,1321,101,2124,99,38535,99,12012,101
町田市／100m2未満,8733,9,570,2,518,18,17,0,9251,9,588,1
町田市／200m2未満,59930,60,8772,25,489,17,74,1,60419,59,8846,21
町田市／300m2未満,15721,16,3684,11,347,12,84,1,16068,16,3769,9
町田市／500m2未満,6753,7,2524,7,345,12,135,2,7098,7,2659,6
町田市／1000m2未満,4134,4,2894,8,435,15,314,4,4569,4,3208,8
町田市／2000m2未満,2532,3,3548,10,321,11,453,6,2853,3,4000,10
町田市／5000m2未満,1744,2,5371,16,234,8,734,10,1978,2,6106,15
町田市／10000m2未満,507,1,3416,10,86,3,608,8,593,1,4023,10
町田市／10000m2以上,193,0,3648,11,93,3,5089,68,286,0,8737,21
町田市／計,100247,102,34427,100,2868,99,7508,100,103115,101,41934,101
小金井市／100m2未満,5034,21,363,6,121,16,6,1,5155,21,370,6
