区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
千代田区／50m2未満,1146,24,42,8,273,8,9,0,1419,18,51,2
千代田区／100m2未満,1853,39,134,24,679,20,51,2,2532,31,185,6
千代田区／150m2未満,765,16,93,17,529,16,65,3,1294,16,158,5
千代田区／200m2未満,358,8,62,11,368,11,64,2,726,9,126,4
千代田区／300m2未満,293,6,71,13,410,12,101,4,703,9,172,6
千代田区／500m2未満,197,4,74,13,418,12,161,6,615,8,235,8
千代田区／1000m2未満,91,2,60,11,317,9,221,9,408,5,281,9
千代田区／2000m2未満,9,0,12,2,197,6,282,11,206,3,294,9
千代田区／5000m2未満,1,0,5,1,119,4,354,14,120,1,358,12
千代田区／10000m2未満,0,0,0,0,45,1,312,12,45,1,312,10
千代田区／10000m2以上,0,0,0,0,37,1,938,37,37,0,938,30
千代田区／計,4713,100,553,100,3392,100,2558,100,8105,100,3110,100
中央区／50m2未満,2963,40,105,16,448,10,15,1,3411,29,120,4
中央区／100m2未満,2725,37,193,29,967,22,72,3,3692,31,265,9
中央区／150m2未満,888,12,107,16,702,16,85,4,1590,13,192,6
中央区／200m2未満,343,5,59,9,441,10,76,3,784,7,135,4
中央区／300m2未満,295,4,70,10,563,13,137,6,858,7,208,7
中央区／500m2未満,124,2,46,7,523,12,198,8,647,5,244,8
中央区／1000m2未満,59,1,38,6,390,9,274,12,449,4,311,10
中央区／2000m2未満,11,0,14,2,196,4,267,11,207,2,281,9
中央区／5000m2未満,2,0,6,1,99,2,295,12,101,1,301,10
中央区／10000m2未満,0,0,0,0,34,1,235,10,34,0,235,8
中央区／10000m2以上,3,0,33,5,29,1,722,30,32,0,755,25
中央区／計,7413,100,672,100,4392,100,2376,100,11805,100,3048,100
港区／50m2未満,1945,15,71,4,378,7,11,0,2323,13,82,1
港区／100m2未満,4536,36,330,18,864,16,66,1,5400,30,396,5
港区／150m2未満,2520,20,307,17,766,14,95,2,3286,18,401,6
港区／200m2未満,1387,11,239,13,592,11,104,2,1979,11,342,5
港区／300m2未満,1175,9,283,15,710,13,175,3,1885,10,458,6
港区／500m2未満,755,6,285,15,740,14,285,5,1495,8,570,8
港区／1000m2未満,249,2,166,9,639,12,449,8,888,5,615,9
港区／2000m2未満,71,1,93,5,334,6,463,9,405,2,556,8
港区／5000m2未満,10,0,31,2,219,4,665,12,229,1,696,10
港区／10000m2未満,2,0,16,1,102,2,724,13,104,1,740,10
港区／10000m2以上,1,0,23,1,75,1,2337,43,76,0,2361,33
港区／計,12651,100,1845,100,5419,100,5374,100,18070,100,7219,100
新宿区／50m2未満,4758,15,171,4,523,9,15,0,5281,14,186,2
新宿区／100m2未満,12258,38,892,19,1009,17,77,2,13267,34,968,12
新宿区／150m2未満,6258,19,761,16,901,15,111,3,7159,19,873,11
新宿区／200m2未満,3618,11,624,13,645,11,112,3,4263,11,736,9
新宿区／300m2未満,3021,9,731,16,827,14,201,6,3848,10,932,11
新宿区／500m2未満,1890,6,705,15,818,14,315,9,2708,7,1021,12
新宿区／1000m2未満,638,2,421,9,604,10,418,12,1242,3,839,10
新宿区／2000m2未満,131,0,171,4,294,5,407,12,425,1,578,7
新宿区／5000m2未満,39,0,117,3,167,3,485,14,206,1,602,7
新宿区／10000m2未満,8,0,52,1,41,1,284,8,49,0,336,4
新宿区／10000m2以上,1,0,13,0,39,1,1093,31,40,0,1105,14
新宿区／計,32620,100,4658,100,5868,100,3517,100,38488,100,8175,100
文京区／50m2未満,4638,18,171,5,299,10,9,1,4937,17,180,4
文京区／100m2未満,10311,40,743,23,499,17,38,2,10810,37,781,16
文京区／150m2未満,4830,19,586,18,460,15,56,3,5290,18,642,13
