摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1198588,99.3,172453,84.1,95908,94.3,30439,33.1
区部／2000m2以上,8237,0.7,32642,15.9,5814,5.7,61421,66.9
区部／計,1206825,100,205095,100,101722,100,91860,100
市部／2000m2未満,898065,97.9,180290,55.6,872091,99,165584,82.5
市部／2000m2以上,19118,2.1,144217,44.4,8533,1,35139,17.5
市部／計,917183,100,324507,100,880624,100,200724,100
区市計／2000m2未満,2096653,98.7,352743,66.6,967999,98.5,196024,67
区市計／2000m2以上,27355,1.3,176859,33.4,14347,1.5,96561,33
区市計／計,2124008,100,529602,100,982346,100,292584,100
