区名,100m2未満（千m2）,200m2未満（千m2）,300m2未満（千m2）,500m2未満（千m2）,1000m2未満（千m2）,2000m2未満（千m2）,5000m2未満（千m2）,10000m2未満（千m2）,10000m2以上（千m2）,計（千m2）,増減率（%）
千代田区,-110,-110,-84,-110,-141,-108,-53,-23,0,-739,-55.0
中央区,-152,-130,-77,-100,-114,-74,-47,-16,-1,-710,-49.7
港区,-104,-217,-185,-361,-491,-377,-240,-102,-65,-2142,-52.7
新宿区,130,-119,-183,-380,-587,-419,-383,-158,-181,-2279,-32.1
文京区,172,14,-119,-265,-356,-301,-132,-82,-20,-1089,-24.8
台東区,106,-38,-99,-168,-217,-159,-127,-72,-8,-780,-24.3
墨田区,363,125,-28,-147,-287,-303,-414,-299,-137,-1128,-22.3
江東区,413,147,11,-77,-232,-319,-539,-299,-547,-1442,-26.9
品川区,555,151,-37,-270,-393,-466,-578,-312,-293,-1643,-22.0
目黒区,538,536,58,-279,-401,-326,-586,-309,-498,-1267,-17.1
大田区,1586,1251,296,-222,-731,-766,-1361,-1355,-1815,-3118,-16.5
世田谷区,1839,2766,468,-515,-1069,-833,-1508,-1642,-1790,-2284,-8.3
渋谷区,140,-24,-130,-322,-549,-396,-333,-297,-177,-2086,-34.9
中野区,608,494,10,-174,-281,-270,-299,-618,-570,-1101,-12.7
杉並区,1175,1988,312,-489,-709,-455,-784,-911,-1650,-1522,-8.1
豊島区,431,210,-28,-197,-321,-357,-499,-436,-260,-1456,-21.6
北区,563,317,41,-92,-198,-279,-540,-492,-437,-1118,-15.7
荒川区,398,155,12,-56,-210,-197,-421,-224,-321,-864,-19.9
板橋区,888,640,100,-15,-206,-241,-913,-1006,-1203,-1955,-14.4
練馬区,1008,2681,78,-263,-180,-262,-610,-857,-1154,442,1.9
足立区,1729,1612,336,290,195,-209,-624,-1283,-1516,529,2.7
葛飾区,1340,708,169,60,-139,-252,-742,-1151,-1251,-1259,-9.0
江戸川区,1736,931,226,105,-155,-410,-1082,-897,-1230,-777,-4.4
区部計,15353,14089,1148,-4046,-7773,-7780,-12816,-12840,-15122,-29788,-12.8
