区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,12014,10,828,1,555,13,23,0,12569,10,851,1
八王子市／200m2未満,67882,55,10039,16,674,16,102,0,68556,54,10140,11
八王子市／300m2未満,23116,19,5385,9,449,10,110,0,23565,18,5495,6
八王子市／500m2未満,8503,7,3194,5,640,15,250,1,9143,7,3444,4
八王子市／1000m2未満,5322,4,3676,6,694,16,498,2,6016,5,4174,5
八王子市／2000m2未満,2853,2,3918,6,464,11,647,2,3317,3,4565,5
八王子市／5000m2未満,2183,2,6808,11,394,9,1248,5,2577,2,8056,9
八王子市／10000m2未満,864,1,6024,10,181,4,1312,5,1045,1,7336,8
八王子市／10000m2以上,816,1,23024,37,276,6,23380,85,1092,1,46404,51
八王子市／計,123553,100,62896,100,4327,100,27569,100,127880,100,90465,100
立川市／100m2未満,6771,21,494,5,219,16,11,0,6990,21,505,4
立川市／200m2未満,18139,57,2352,23,337,24,49,1,18476,56,2401,17
立川市／300m2未満,2730,9,656,6,178,13,44,1,2908,9,700,5
立川市／500m2未満,1763,6,657,6,196,14,76,2,1959,6,732,5
立川市／1000m2未満,950,3,665,6,203,15,146,4,1153,3,812,6
立川市／2000m2未満,559,2,785,8,124,9,172,5,683,2,958,7
立川市／5000m2未満,411,1,1282,12,79,6,232,7,490,1,1514,11
立川市／10000m2未満,178,1,1298,12,20,1,139,4,198,1,1437,10
立川市／10000m2以上,140,0,2205,21,32,2,2644,75,172,1,4848,35
立川市／計,31641,100,10394,100,1388,100,3512,100,33029,100,13906,100
武蔵野市／100m2未満,5197,23,354,7,156,14,10,1,5353,23,364,5
武蔵野市／200m2未満,10681,48,1490,28,272,25,40,3,10953,47,1530,23
武蔵野市／300m2未満,3119,14,753,14,164,15,40,3,3283,14,793,12
武蔵野市／500m2未満,1918,9,719,13,186,17,72,5,2104,9,791,12
武蔵野市／1000m2未満,824,4,559,10,143,13,98,7,967,4,657,10
