区市町村名,全建物（%）,住宅・アパート（%）,事務所・店舗等（%）,工場・倉庫（%）,その他（%）
区部／千代田区,99.4,97.6,99.8,97.0,99.7
区部／中央区,98.5,96.0,99.8,98.1,98.4
区部／港区,97.7,94.7,99.8,99.0,99.5
区部／新宿区,89.6,82.3,99.6,96.9,98.6
区部／文京区,84.0,78.9,99.4,95.6,96.4
区部／台東区,88.8,84.5,98.9,90.0,95.3
区部／墨田区,83.5,79.5,98.8,90.7,94.0
区部／江東区,92.5,87.7,99.4,99.3,98.0
区部／品川区,83.0,73.6,99.5,98.2,97.7
区部／目黒区,71.2,66.5,98.0,91.6,96.4
区部／大田区,73.2,63.5,98.4,98.0,97.4
区部／世田谷区,62.5,59.1,96.8,94.6,90.7
区部／渋谷区,90.6,84.3,99.6,97.2,99.0
区部／中野区,65.7,61.5,97.6,89.0,93.9
区部／杉並区,55.5,51.7,95.6,94.0,90.8
区部／豊島区,79.9,71.9,99.3,91.0,97.7
区部／北区,70.8,65.5,97.5,95.8,95.0
区部／荒川区,73.1,69.5,96.1,88.7,89.5
区部／板橋区,72.7,68.0,97.2,96.3,94.2
区部／練馬区,55.5,51.8,95.3,91.0,85.1
区部／足立区,63.5,56.7,95.2,93.0,90.9
区部／葛飾区,59.2,54.2,94.5,89.1,87.2
区部／江戸川区,64.9,59.3,96.5,96.2,90.1
区部／区部,77.3,68.2,99.1,96.3,96.3
市部／八王子市,56.8,45.3,96.2,95.5,80.1
市部／立川市,66.6,51.6,97.9,96.3,90.9
市部／武蔵野市,67.2,58.0,98.8,96.5,90.7
市部／三鷹市,54.3,46.6,96.5,94.2,91.5
市部／青梅市,44.7,30.3,95.4,95.0,53.4
市部／府中市,64.7,52.4,98.3,98.2,91.5
市部／昭島市,62.4,46.5,96.8,98.5,87.2
市部／調布市,61.3,53.4,96.8,95.6,95.5
市部／町田市,48.2,38.5,95.5,97.3,75.0
市部／小金井市,47.7,42.2,95.5,85.4,87.7
市部／小平市,48.1,40.2,94.8,95.7,64.3
市部／日野市,56.2,44.5,97.0,98.8,81.6
市部／東村山市,47.0,39.3,93.9,95.4,73.1
市部／国分寺市,49.8,41.9,97.1,94.8,83.5
市部／国立市,61.0,52.5,96.7,97.3,93.5
市部／福生市,53.0,44.9,92.9,90.3,74.5
市部／狛江市,48.8,44.8,95.2,88.9,49.9
市部／東大和市,49.4,40.0,94.5,97.5,61.9
市部／清瀬市,45.3,39.7,96.1,82.2,70.9
市部／東久留米市,47.9,37.6,93.3,92.0,85.5
市部／武蔵村山市,44.3,22.4,94.9,98.1,57.9
市部／多摩市,77.6,69.1,99.4,98.8,96.3
市部／稲城市,63.7,57.4,95.0,95.4,67.0
市部／羽村市,60.5,39.3,95.7,99.4,55.6
市部／あきる野市,27.6,16.2,90.2,85.8,41.0
市部／西東京市,52.7,46.2,97.1,91.7,90.7
市部／市部,55.4,44.9,96.6,96.3,79.9
西多摩郡／瑞穂町,58.1,17.0,96.2,98.9,69.9
西多摩郡／日の出町,40.6,12.7,96.5,90.9,57.1
西多摩郡／檜原村,8.9,2.4,25.6,63.3,11.0
西多摩郡／奥多摩町,18.0,7.2,63.6,77.6,34.1
西多摩郡／西多摩郡,47.3,13.5,94.1,96.7,53.8
多摩地域,55.2,44.4,96.5,96.3,78.7
区部・多摩計,71.4,61.2,98.7,96.3,91.0
島しょ／大島町,25.8,16.6,72.5,61.5,38.9
島しょ／利島村,40.0,20.4,83.6,66.0,80.7
島しょ／新島村,55.4,46.8,81.9,85.1,67.0
島しょ／神津島村,30.5,14.7,47.9,56.2,73.5
島しょ／三宅村,17.0,6.6,77.1,59.0,19.7
島しょ／御蔵島村,15.6,4.3,69.4,61.6,0.0
島しょ／八丈町,37.9,24.0,78.9,69.9,66.5
島しょ／青ヶ島村,60.9,35.3,96.6,96.4,76.8
島しょ／小笠原村,74.2,69.9,82.0,96.8,64.4
島しょ／島しょ計,35.5,23.8,76.6,69.9,52.2
合計,71.3,61.1,98.7,96.2,90.6
