年(昭和・平成・令和),供給戸数／区部(戸),供給戸数／多摩(戸),供給戸数／都(戸),1戸当たり平均住戸専有面積／区部(m2),1戸当たり平均住戸専有面積／多摩(m2),1戸当たり平均住戸専有面積／都(m2),1戸当たり平均住戸価格／区部(万円),1戸当たり平均住戸価格／多摩(万円),1戸当たり平均住戸価格／都(万円)
58,22505,4307,26812,50,59,51,2647,2585,2637
59,18314,3413,21727,54,62,55,2744,2518,2709
60,13743,3317,17060,56,62,57,3016,2545,2924
61,10021,2285,12306,59,64,60,3313,2713,3201
62,9277,2769,12046,54,63,56,4791,3378,4466
63,5824,2377,8201,57,78,63,7183,5219,6613
元,6794,2426,9220,57,60,57,8125,5140,7340
2,7225,3154,10379,56,59,57,8481,6150,7773
3,4748,2183,6931,56,62,58,8667,6088,7855
4,5657,1982,7639,56,60,57,6941,4852,6399
5,8204,3201,11405,57,61,58,5344,4721,5169
6,20304,7234,27538,61,63,61,5200,4629,5050
7,23466,10032,33498,63,67,64,4665,4389,4583
8,25902,8803,34705,66,71,67,4888,4384,4760
9,22877,7862,30739,66,71,67,5133,4288,4917
10,22035,6968,29003,67,72,68,4815,4180,4662
11,31321,9034,40355,68,73,69,4723,4125,4589
12,35318,10274,45592,70,78,72,4632,3966,4482
13,31843,9638,41481,72,80,74,4723,3835,4517
14,31574,10913,42487,73,82,76,4666,3878,4464
15,36340,10548,46888,68,80,71,4599,3786,4416
16,39147,8321,47468,70,78,71,4663,3820,4515
17,31025,8962,39987,72,77,73,4920,3834,4677
18,23650,7004,30654,72,77,73,5149,3932,4871
19,16563,7728,24291,71,76,73,6120,4263,5529
20,15602,4355,19957,70,75,71,5932,4668,5656
21,16387,3310,19697,65,74,67,5190,4335,5047
22,20393,3447,23840,66,75,68,5497,4474,5349
23,19410,4262,23672,66,75,67,5339,4152,5125
24,19398,4863,24261,66,74,68,5283,4318,5090
25,28340,4436,32776,68,73,68,5853,4238,5634
26,20774,4425,25199,69,73,69,5994,4726,5772
27,18472,5427,23899,68,73,69,6732,4564,6240
28,14764,4069,18833,66,72,67,6629,4985,6274
29,16017,4016,20033,65,71,67,7089,5054,6681
30,15957,3666,19623,63,70,64,7142,5235,6785
31,13737,2537,16274,65,69,66,7286,5487,7006
2,10911,3242,14153,62,68,63,7712,5460,7196
3,13290,2921,16211,65,68,65,8293,5061,7711
4,10797,2360,13157,64,66,64,8236,5233,7698
