場所・用途,昭和40年（%）,昭和60年（%）,平成2年（%）,平成7年（%）,平成12年（%）,平成17年（%）,平成18年（%）,平成19年（%）,平成20年（%）,平成21年（%）,平成22年（%）,平成23年（%）,平成24年（%）,平成25年（%）,平成26年（%）,平成27年（%）,平成28年（%）,平成29年（%）,平成30年（%）
区部／全建物,23.7,56.5,63.5,69.0,72.1,74.2,74.8,75.2,75.6,75.9,76.1,76.3,76.5,76.6,76.8,76.9,77.1,77.1,77.3
区部／住宅・アパート,7.0,41.8,49.5,55.2,59.6,63.0,63.9,64.5,65.2,65.7,66.1,66.4,66.7,66.9,67.2,67.4,67.7,67.9,68.2
市部／全建物,17.0,41.4,46.9,51.8,54.0,54.8,55.0,55.1,55.4,55.5,55.6,55.6,55.7,55.7,55.8,55.7,55.7,55.8,55.4
市部／住宅・アパート,9.6,28.2,34.2,38.2,41.3,43.2,43.5,43.7,44.0,44.1,44.3,44.3,44.7,44.8,45.0,45.1,45.1,45.2,44.9
区部多摩合計／全建物,22.5,52.8,59.3,64.5,67.4,69.1,69.5,69.8,70.2,70.5,70.6,70.8,70.9,71.0,71.1,71.2,71.3,71.4,71.4
区部多摩合計／住宅・アパート,7.5,38.2,45.3,50.4,54.4,57.3,58.0,58.5,59.0,59.4,59.7,59.9,59.9,60.3,60.6,60.7,61.0,61.2,61.2
