摘要,全地目／所有者数（人）,全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数（人）,宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1173136,99.3,174657 ,83.4,1173523,99.4,174903 ,85.7
区部／2000m2以上,8410,0.7,34851 ,16.6,7656,0.6,29212 ,14.3
区部／計,1181546,100,209508 ,100,1181179,100,204114 ,100
市部／2000m2未満,870509,97.7,176198 ,53.9,835447,98.9,161618 ,81.4
市部／2000m2以上,20238,2.3,150708 ,46.1,8986,1.1,36918 ,18.6
市部／計,890747,100,326907 ,100,844433,100,198536 ,100
区市計／2000m2未満,2043645,98.6,350855 ,65.4,2008970,99.2,336520 ,83.6
区市計／2000m2以上,28648,1.4,185560 ,34.6,16642,0.8,66130 ,16.4
区市計／計,2072293,100,536415 ,100,2025612,100,402650 ,100
