区市名,所有者数／個人（人）,所有者数／法人（人）,所有者数／計（人）,面積／個人（千ｍ2）,面積／法人（千ｍ2）,面積／計（千ｍ2）,所有者数構成比／個人（％）,所有者数構成比／法人（％）,面積構成比／個人（％）,面積構成比／法人（％）
区部／千代田区,5045,3347,8392,599,2977,3576,60.1,39.9,16.8,83.2
区部／中央区,8026,4310,12336,713,2412,3125,65.1,34.9,22.8,77.2
区部／港区,13223,5041,18264,1916,6098,8013,72.4,27.6,23.9,76.1
区部／新宿区,32955,5262,38217,4819,3741,8560,86.2,13.8,56.3,43.7
区部／文京区,25783,2734,28517,3292,1756,5048,90.4,9.6,65.2,34.8
区部／台東区,22509,4453,26962,2431,1889,4320,83.5,16.5,56.3,43.7
区部／墨田区,29558,3221,32779,3919,2302,6222,90.2,9.8,63.0,37.0
区部／江東区,30030,3995,34025,3908,9219,13126,88.3,11.7,29.8,70.2
区部／品川区,41635,3595,45230,5811,6152,11964,92.1,7.9,48.6,51.4
区部／目黒区,36466,2838,39304,6174,2057,8231,92.8,7.2,75.0,25.0
区部／大田区,90121,6411,96532,15791,7527,23318,93.4,6.6,67.7,32.3
区部／世田谷区,131237,6463,137700,26447,6617,33064,95.3,4.7,80.0,20.0
区部／渋谷区,24095,4394,28489,3888,3205,7093,84.6,15.4,54.8,45.2
区部／中野区,47936,3132,51068,7575,1853,9428,93.9,6.1,80.3,19.7
区部／杉並区,93840,4251,98091,17707,3054,20761,95.7,4.3,85.3,14.7
区部／豊島区,35413,3373,38786,5270,2106,7376,91.3,8.7,71.4,28.6
区部／北区,40213,2527,42740,6002,3627,9629,94.1,5.9,62.3,37.7
区部／荒川区,24207,1926,26133,3480,1761,5241,92.6,7.4,66.4,33.6
区部／板橋区,64131,3869,68000,11768,4508,16276,94.3,5.7,72.3,27.7
区部／練馬区,121553,4059,125612,25574,3517,29091,96.8,3.2,87.9,12.1
区部／足立区,102449,4776,107225,20902,5864,26766,95.5,4.5,78.1,21.9
区部／葛飾区,71978,3358,75336,13018,3235,16253,95.5,4.5,80.1,19.9
区部／江戸川区,96149,4457,100606,17553,4888,22442,95.6,4.4,78.2,21.8
区部／区部計,1188552,91792,1280344,208557,90364,298921,92.8,7.2,69.8,30.2
市部／八王子市,121303,4054,125357,63194,27244,90438,96.8,3.2,69.9,30.1
市部／立川市,30577,1285,31862,10441,3455,13897,96.0,4.0,75.1,24.9
市部／武蔵野市,22021,1033,23054,5426,1353,6779,95.5,4.5,80.0,20.0
市部／三鷹市,32104,1038,33142,8763,1545,10309,96.9,3.1,85.0,15.0
市部／青梅市,35771,1220,36991,41483,18880,60362,96.7,3.3,68.7,31.3
市部／府中市,44449,1423,45872,11130,4001,15131,96.9,3.1,73.6,26.4
市部／昭島市,20973,840,21813,5878,3229,9107,96.1,3.9,64.5,35.5
市部／調布市,37214,1321,38535,9889,2124,12012,96.6,3.4,82.3,17.7
市部／町田市,100247,2868,103115,34427,7508,41934,97.2,2.8,82.1,17.9
市部／小金井市,23462,742,24204,5793,880,6672,96.9,3.1,86.8,13.2
市部／小平市,47938,1646,49584,10466,2675,13141,96.7,3.3,79.6,20.4
市部／日野市,47204,1657,48861,11170,3274,14444,96.6,3.4,77.3,22.7
市部／東村山市,32754,844,33598,8594,1343,9936,97.5,2.5,86.5,13.5
市部／国分寺市,26678,950,27628,6750,1323,8073,96.6,3.4,83.6,16.4
市部／国立市,13225,605,13830,3944,838,4782,95.6,4.4,82.5,17.5
市部／福生市,10684,400,11084,3264,632,3896,96.4,3.6,83.8,16.2
市部／狛江市,17836,628,18464,3571,405,3976,96.6,3.4,89.8,10.2
市部／東大和市,18057,498,18555,5248,803,6051,97.3,2.7,86.7,13.3
市部／清瀬市,14118,311,14429,5107,792,5899,97.8,2.2,86.6,13.4
市部／東久留米市,36623,992,37615,7200,1262,8463,97.4,2.6,85.1,14.9
市部／武蔵村山市,19231,580,19811,7269,1623,8893,97.1,2.9,81.7,18.3
市部／多摩市,40129,860,40989,6714,3414,10127,97.9,2.1,66.3,33.7
市部／稲城市,13858,487,14345,5943,3430,9373,96.6,3.4,63.4,36.6
市部／羽村市,12700,378,13078,4162,1916,6078,97.1,2.9,68.5,31.5
市部／あきる野市,27312,703,28015,31168,6603,37771,97.5,2.5,82.5,17.5
市部／西東京市,55370,3502,58872,9086,1348,10434,94.1,5.9,87.1,12.9
市部／市部計,901838,30865,932703,326079,101899,427978,96.7,3.3,76.2,23.8
区部・市部計,2090390,122657,2213047,534636,192263,726900,94.5,5.5,73.6,26.4
