区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件）,108,33,14,6,4,1,0,0,0,0,0,166
千代田区／面積（m2）,2214,2147,1709,991,950,494,0,0,0,0,0,8505
中央区／件数(件）,222,38,9,3,3,1,0,0,0,0,0,276
中央区／面積（m2）,4637,2615,1071,516,636,390,0,0,0,0,0,9865
港区／件数(件）,259,90,34,14,7,12,3,1,0,0,0,420
港区／面積（m2）,4324,6515,4114,2486,1631,4613,1606,1046,0,0,0,26335
新宿区／件数(件）,650,241,67,25,13,11,2,0,0,0,0,1009
新宿区／面積（m2）,10539,16391,7960,4330,3075,3915,1385,0,0,0,0,47595
文京区／件数(件）,556,187,58,17,15,3,1,0,0,0,0,837
文京区／面積（m2）,9216,12967,6909,2942,3601,1028,718,0,0,0,0,37381
台東区／件数(件）,372,134,33,11,4,0,0,0,0,0,0,554
台東区／面積（m2）,8472,8851,4043,1955,1048,0,0,0,0,0,0,24369
墨田区／件数(件）,668,246,53,13,8,3,1,0,0,0,0,992
墨田区／面積（m2）,12462,16710,6242,2315,1944,1097,855,0,0,0,0,41625
江東区／件数(件）,664,232,35,15,15,9,7,0,0,0,0,977
江東区／面積（m2）,12759,16027,4126,2571,3517,3182,4671,0,0,0,0,46853
品川区／件数(件）,1195,306,80,27,18,5,0,0,0,0,0,1631
品川区／面積（m2）,19076,20566,9443,4678,4266,1719,0,0,0,0,0,59748
目黒区／件数(件）,837,293,116,44,31,17,1,0,0,0,0,1339
目黒区／面積（m2）,11328,21312,13968,7430,7533,6482,529,0,0,0,0,68582
大田区／件数(件）,2074,896,297,100,73,35,11,1,0,1,0,3488
大田区／面積（m2）,38637,62244,35411,17172,17219,12743,6865,1931,0,6341,0,198563
世田谷区／件数(件）,2601,1311,646,161,102,45,6,0,0,0,0,4872
世田谷区／面積（m2）,46105,93148,76435,27304,24361,15876,3581,0,0,0,0,286810
渋谷区／件数(件）,607,184,77,44,25,10,3,0,0,0,0,950
渋谷区／面積（m2）,9338,12870,9284,7504,5905,3396,1826,0,0,0,0,50123
中野区／件数(件）,968,422,144,49,31,9,2,0,0,0,0,1625
中野区／面積（m2）,16559,29993,17290,8361,7454,3424,1232,0,0,0,0,84313
杉並区／件数(件）,1954,870,387,92,64,29,4,0,0,0,0,3400
杉並区／面積（m2）,33665,63831,44769,15587,15077,10475,2603,0,0,0,0,186007
豊島区／件数(件）,958,311,87,31,20,10,0,0,0,0,0,1417
豊島区／面積（m2）,16863,21334,10669,5351,4766,3463,0,0,0,0,0,62446
北区／件数(件）,933,359,73,32,9,6,2,0,0,0,0,1414
北区／面積（m2）,17385,24676,8692,5410,2196,2110,1210,0,0,0,0,61679
荒川区／件数(件）,593,216,45,16,10,4,2,0,0,0,0,886
荒川区／面積（m2）,11184,14255,5397,2697,2480,1479,1079,0,0,0,0,38571
板橋区／件数(件）,1285,626,185,53,36,14,3,1,0,0,0,2203
板橋区／面積（m2）,20430,44727,21625,9236,8504,4907,1560,1286,0,0,0,112275
練馬区／件数(件）,2131,1163,717,85,53,14,4,2,0,0,0,4169
練馬区／面積（m2）,33737,82281,81356,14449,12470,5162,2825,2765,0,0,0,235045
足立区／件数(件）,2143,1307,405,74,53,43,12,1,0,0,0,4038
足立区／面積（m2）,35969,97289,46337,12567,12765,15751,7939,1720,0,0,0,230337
葛飾区／件数(件）,1384,875,211,55,31,10,5,2,0,0,0,2573
葛飾区／面積（m2）,24941,63321,24421,9577,7188,3883,3591,2557,0,0,0,139479
江戸川区／件数(件）,1650,980,209,52,33,23,11,2,1,0,0,2961
江戸川区／面積（m2）,31387,71145,24119,8978,7772,8315,7970,2515,2032,0,0,164233
合計／件数(件）,24812,11320,3982,1019,658,314,80,10,1,1,0,42197
合計／面積（m2）,431227,805215,465390,174407,156358,113904,52045,13820,2032,6341,0,2220739
