区市町村名,合計／平成29年（千ｍ2）,合計／平成28年（千ｍ2）,合計／増減（千ｍ2）,宅地／平成29年（千ｍ2）,宅地／平成28年（千ｍ2）,宅地／増減（千ｍ2）,農地／平成29年（千ｍ2）,農地／平成28年（千ｍ2）,農地／増減（千ｍ2）,山林／平成29年（千ｍ2）,山林／平成28年（千ｍ2）,山林／増減（千ｍ2）,その他／平成29年（千ｍ2）,その他／平成28年（千ｍ2）,その他／増減（千ｍ2）
区部／千代田区,4012,4004,8,3648,3640,8,0,0,0,0 ,0 ,0,364,364,0
区部／中央区,3970,3998,-28,3963,3991,-28,0,0,0,0 ,0 ,0,7,7,0
区部／港区,9970,9904,66,9264,9198,66,0,0,0,0 ,0 ,0,706,706,0
区部／新宿区,10046,10049,-3,9742,9745,-3,0,0,0,0 ,0 ,0,304,305,0
区部／文京区,5954,5957,-3,5883,5886,-3,0,0,0,0 ,0 ,0,70,70,0
区部／台東区,4804,4805,-1,4537,4537,-1,0,0,0,0 ,0 ,0,268,267,0
区部／墨田区,7096,7097,-2,6855,6856,-2,0,0,0,0 ,0 ,0,241,241,0
区部／江東区,15970,16106,-136,14876,15016,-140,0,0,0,0 ,0 ,0,1094,1089,4
区部／品川区,13238,13054,183,11528,11351,177,0,0,0,0 ,0 ,0,1709,1703,6
区部／目黒区,9276,9276,0,9111,9111,0,26,26,0,5 ,5 ,0,134,134,0
区部／大田区,25785,25793,-8,25027,25036,-9,34,34,0,10 ,10 ,0,714,713,1
区部／世田谷区,36873,36875,-2,34823,34795,28,"1,033","1,054",-21,57 ,58 ,-2,960,968,-7
区部／渋谷区,8470,8468,3,8107,8090,16,0,0,0,0 ,0 ,0,364,377,-14
区部／中野区,10367,10366,1,10065,10066,-2,40,40,0,1 ,2 ,0,260,258,2
区部／杉並区,22401,22426,-26,21608,21621,-12,383,393,-10,16 ,16 ,0,393,397,-4
区部／豊島区,8200,8214,-14,7824,7838,-14,0,0,0,0 ,0 ,0,376,376,0
区部／北区,10480,10485,-4,9574,9578,-4,3,3,0,7 ,7 ,0,896,896,0
区部／荒川区,5896,5911,-14,5403,5418,-15,0,0,0,0 ,0 ,0,494,493,1
区部／板橋区,18507,18494,13,18047,18029,18,171,177,-6,25 ,26 ,-1,264,262,2
区部／練馬区,31126,31162,-36,28417,28393,24,"2,105","2,168",-63,35 ,35 ,0,569,567,2
区部／足立区,28715,28797,-81,27487,27535,-47,535,565,-30,0 ,0 ,0,692,696,-4
区部／葛飾区,17416,17411,5,16580,16562,18,343,359,-15,0 ,0 ,0,493,491,2
区部／江戸川区,24127,24132,-5,23339,23328,10,472,485,-13,0 ,0 ,0,316,319,-3
区部計,332698,332784,-86,315705,315621,84,5146,5304,-158,158 ,160 ,-2,11690,11700,-10
市部／八王子市,90405,90520,-115,37923,37760,163,8241,8318,-77,31683 ,31710 ,-27,12559,12733,-174
市部／立川市,13912,13918,-6,10793,10772,21,2593,2616,-23,26 ,26 ,0,500,504,-4
市部／武蔵野市,6776,6778,-2,6301,6291,10,296,308,-12,0 ,0 ,0,178,178,0
市部／三鷹市,10306,10316,-10,8614,8591,23,1490,1518,-29,79 ,79 ,0,123,128,-5
市部／青梅市,60350,60372,-22,12555,12543,11,4621,4656,-35,34250 ,34255 ,-5,8925,8918,7
市部／府中市,15136,15138,-2,12927,12901,26,1278,1306,-29,0 ,0 ,0,931,931,0
市部／昭島市,9108,9100,8,7573,7536,37,632,654,-22,185 ,190 ,-5,718,720,-2
市部／調布市,12029,12038,-9,10182,10146,36,1415,1440,-25,27 ,30 ,-3,405,422,-17
市部／町田市,41930,41964,-34,28124,28018,106,5343,5444,-101,5633 ,5686 ,-53,2830,2817,13
市部／小金井市,6663,6664,-1,5711,5699,12,688,697,-9,40 ,43 ,-3,225,225,0
市部／小平市,13155,13166,-11,10237,10208,29,1858,1896,-38,16 ,17 ,0,1043,1045,-2
市部／日野市,14460,14486,-26,11167,11089,78,1538,1624,-86,565 ,569 ,-4,1191,1205,-14
市部／東村山市,9941,9930,11,7666,7628,37,1549,1583,-33,114 ,118 ,-4,612,601,11
市部／国分寺市,8080,8071,8,6348,6318,30,1438,1462,-24,41 ,42 ,-1,253,250,3
市部／国立市,4787,4791,-4,4125,4113,12,544,559,-15,12 ,13 ,-1,106,106,-1
市部／福生市,3895,3892,3,3614,3609,6,121,126,-5,14 ,14 ,0,146,143,2
市部／狛江市,3975,3937,38,3410,3358,52,384,392,-8,10 ,10 ,0,171,178,-6
市部／東大和市,6057,6056,2,5145,5128,17,623,639,-16,189 ,191 ,-1,100,99,2
市部／清瀬市,5907,5911,-4,3576,3558,18,1928,1954,-26,82 ,88 ,-6,321,311,9
市部／東久留米市,8476,8473,3,6653,6613,40,1588,1620,-33,52 ,54 ,-1,182,185,-3
市部／武蔵村山市,8934,8974,-40,5416,5334,82,1856,1908,-52,471 ,487 ,-16,1192,1245,-54
市部／多摩市,10128,10132,-4,8106,8087,19,411,418,-7,307 ,311 ,-4,1303,1316,-12
市部／稲城市,9396,9371,25,4814,4795,19,1358,1373,-15,1159 ,1158 ,1,2065,2045,20
市部／羽村市,6080,6085,-6,5432,5427,6,404,413,-9,95 ,95 ,-1,148,151,-2
市部／あきる野市,37893,37905,-12,8267,8211,56,5410,5472,-62,18582 ,18587 ,-4,5634,5634,-1
市部／西東京市,10447,10467,-19,8804,8771,34,1350,1394,-44,7 ,7 ,0,285,294,-9
市部計,428226,428455,-229,243484,242501,982,48957,49791,-833,93641 ,93779 ,-139,42145,42383,-239
西多摩郡／瑞穂町,9352,9364,-12,4908,4876,32,2949,2982,-33,682 ,699 ,-17,813,806,7
西多摩郡／日の出町,16255,16259,-4,2434,2421,13,1636,1652,-15,9555 ,9560 ,-5,2630,2626,4
西多摩郡／檜原村,45877,45885,-9,442,449,-6,1990,1991,-1,39982 ,39984 ,-2,3462,3462,0
西多摩郡／奥多摩町,63460,64216,-756,903,907,-4,1474,1483,-9,60548 ,61291 ,-742,534,535,-1
西多摩郡計,134944,135725,-781,8687,8653,34,8050,8108,-58,110768 ,61291 ,49477,7439,7429,10
多摩地域計,563170,564179,-1010,252170,251154,1016,57007,57898,-891,204409 ,155070 ,49339,49584,49813,-229
区部・多摩計,895868,896964,-1096,567875,566775,1100,62153,63202,-1049,204566 ,155230 ,49337,61273,61512,-239
