区市町村名,合計／令和4年(千m2),合計／令和3年(千m2),合計／令和4年-令和3年(千m2),住宅地区／令和4年(千m2),住宅地区／令和3年(千m2),住宅地区／令和4年-令和3年(千m2),商業地区／令和4年(千m2),商業地区／令和3年(千m2),商業地区／令和4年-令和3年(千m2),工業地区／令和4年(千m2),工業地区／令和3年(千m2),工業地区／令和4年-令和3年(千m2),その他／令和4年(千m2),その他／令和3年(千m2),その他／令和4年-令和3年(千m2)
区部／千代田区,3652,3652,0,480,482,-1,3172,3171,1,0,0,0,0,0,0
区部／中央区,3942,3938,5,1373,1360,13,2477,2476,1,92,101,-9,0,0,0
区部／港区,9343,9309,34,6069,6084,-15,3065,3017,49,209,209,0,0,0,0
区部／新宿区,9862,9870,-8,8659,8667,-8,1196,1196,0,7,7,0,0,0,0
区部／文京区,5879,5873,6,5115,5112,2,716,714,2,48,46,2,0,0,0
区部／台東区,4534,4534,0,2034,2034,0,2500,2500,0,0,0,0,0,0,0
区部／墨田区,6840,6845,-5,5608,5614,-6,475,474,1,758,758,0,0,0,0
区部／江東区,14946,14941,5,10418,10415,4,784,784,0,3744,3743,1,0,0,0
区部／品川区,11502,11520,-17,9353,9360,-6,785,795,-10,1364,1365,-1,0,0,0
区部／目黒区,9113,9114,-1,8796,8797,-1,317,317,0,0,0,0,0,0,0
区部／大田区,25015,25018,-3,22413,22416,-3,316,315,1,2285,2286,-1,0,0,0
区部／世田谷区,35086,35066,20,34857,34836,21,229,230,-1,0,0,0,0,0,0
区部／渋谷区,8122,8124,-2,6857,6856,0,1266,1267,-2,0,0,0,0,0,0
区部／中野区,10068,10072,-4,9892,9896,-4,176,176,0,0,0,0,0,0,0
区部／杉並区,21647,21648,-1,21472,21473,-1,175,175,0,0,0,0,0,0,0
区部／豊島区,7787,7794,-7,6868,6877,-9,919,917,2,0,0,0,0,0,0
区部／北区,9545,9549,-3,8821,8821,0,202,203,-1,523,525,-2,0,0,0
区部／荒川区,5367,5374,-7,4496,4502,-6,161,161,0,710,711,-2,0,0,0
区部／板橋区,18087,18071,15,16615,16599,17,152,152,0,1319,1320,-2,0,0,0
区部／練馬区,28660,28528,132,28589,28457,132,71,71,0,0,0,0,0,0,0
区部／足立区,27352,27343,9,25528,25510,18,351,352,-1,1474,1482,-8,0,0,0
区部／葛飾区,16584,16573,11,15655,15646,9,383,381,2,546,546,0,0,0,0
区部／江戸川区,23302,23325,-23,21886,21902,-16,335,341,-6,1082,1082,0,0,0,0
区部計,316236,316080,156,281854,281715,139,20221,20185,37,14161,14181,-20,0,0,0
市部／八王子市,38691,38635,56,32204,32130,74,596,596,0,1479,1479,0,4412,4430,-18
市部／立川市,10905,10893,12,9091,9091,0,705,704,1,1097,1097,0,12,0,12
市部／武蔵野市,6333,6330,2,5576,5572,4,579,581,-1,177,177,0,0,0,0
市部／三鷹市,8627,8702,-75,8013,8089,-76,311,311,0,295,295,0,8,7,0
市部／青梅市,12441,12699,-258,10291,10247,44,182,182,0,901,1196,-295,1066,1073,-7
市部／府中市,13061,13036,25,10681,10659,23,299,298,1,2081,2080,2,0,0,0
市部／昭島市,7688,7689,-1,5938,5935,3,536,539,-3,1214,1215,-1,0,0,0
市部／調布市,10324,10303,20,9769,9749,20,322,322,0,233,233,0,0,0,0
市部／町田市,28629,28540,89,26677,26594,83,676,667,9,578,579,0,698,700,-2
市部／小金井市,5801,5778,23,5607,5583,24,187,188,-1,6,6,0,0,0,0
市部／小平市,10414,10323,91,9464,9369,95,252,256,-4,697,698,-1,0,0,0
市部／日野市,11399,11370,29,9492,9457,35,107,107,0,1798,1804,-6,2,2,0
市部／東村山市,7817,7796,21,7167,7147,20,190,190,-1,461,459,2,0,0,0
市部／国分寺市,6501,6458,43,6136,6093,43,125,125,0,240,241,-1,0,0,0
市部／国立市,4147,4139,8,3721,3716,5,175,175,0,249,247,2,2,1,1
市部／福生市,3642,3635,6,3340,3335,5,187,185,1,115,115,0,0,0,0
市部／狛江市,3470,3350,120,3295,3174,120,175,176,-1,0,0,0,0,0,0
市部／東大和市,5231,5217,14,4869,4855,14,149,149,0,213,213,0,0,0,0
市部／清瀬市,3731,3707,23,3520,3498,23,124,124,0,85,84,1,1,1,0
