区分,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
千代田区／件数(件),95,100,231,167,211,143,196,131,260,163,205,367,2269
千代田区／面積(千m2),6,3,13,19,4,5,5,4,6,4,5,18,92
中央区／件数(件),317,307,407,386,302,319,357,327,349,486,317,430,4304
中央区／面積(千m2),6,23,30,9,5,7,6,9,8,9,6,10,128
港区／件数(件),664,671,684,591,530,522,489,512,536,507,479,595,6780
港区／面積(千m2),16,20,36,22,16,14,18,19,23,17,15,26,242
新宿区／件数(件),459,541,909,722,528,704,598,572,668,563,618,663,7545
新宿区／面積(千m2),20,23,39,22,25,27,22,20,31,21,25,24,299
文京区／件数(件),277,334,438,300,297,383,317,279,375,323,311,401,4035
文京区／面積(千m2),9,15,19,10,10,14,18,11,13,12,10,14,155
台東区／件数(件),428,518,680,611,513,473,397,365,492,429,380,435,5721
台東区／面積(千m2),14,11,22,14,13,14,12,9,18,13,14,18,172
墨田区／件数(件),355,529,629,495,469,560,497,458,627,487,486,663,6255
墨田区／面積(千m2),15,17,27,22,20,23,17,14,27,15,16,24,237
江東区／件数(件),506,564,1304,1323,948,970,990,781,803,882,736,950,10757
江東区／面積(千m2),52,21,45,46,27,35,30,23,43,26,32,30,410
品川区／件数(件),580,499,714,579,476,521,517,463,728,504,527,553,6661
品川区／面積(千m2),24,21,31,25,19,24,22,19,30,20,27,25,287
目黒区／件数(件),293,283,510,389,333,355,339,353,363,347,293,403,4261
目黒区／面積(千m2),14,24,34,16,22,19,19,20,28,21,22,30,269
大田区／件数(件),754,899,1397,1024,881,1028,834,817,1019,754,816,1195,11418
大田区／面積(千m2),41,61,90,52,55,50,41,50,62,50,47,52,651
世田谷区／件数(件),742,931,1526,842,783,907,941,833,1020,832,811,969,11137
世田谷区／面積(千m2),67,65,128,85,63,70,91,71,88,65,70,78,941
渋谷区／件数(件),316,331,456,377,310,410,344,370,395,347,416,566,4638
渋谷区／面積(千m2),17,15,26,30,14,22,16,17,21,16,20,22,236
中野区／件数(件),322,426,489,453,379,361,386,328,405,362,356,475,4742
中野区／面積(千m2),21,23,28,24,20,20,26,20,32,24,25,34,297
杉並区／件数(件),479,497,768,602,562,571,632,605,686,599,629,689,7319
杉並区／面積(千m2),30,41,65,49,42,44,43,40,59,42,53,49,557
豊島区／件数(件),343,394,558,516,463,544,461,586,488,404,374,519,5650
豊島区／面積(千m2),13,19,27,14,16,21,17,20,20,15,15,24,221
北区／件数(件),329,459,754,469,418,418,400,314,439,371,363,467,5201
北区／面積(千m2),14,20,31,25,15,19,21,14,21,17,18,40,255
荒川区／件数(件),192,220,334,327,277,278,235,262,297,253,251,320,3246
荒川区／面積(千m2),7,14,18,21,12,20,12,12,16,13,10,16,171
板橋区／件数(件),694,650,907,697,622,793,742,678,781,651,622,796,8633
板橋区／面積(千m2),26,36,88,31,32,39,34,45,44,32,36,65,508
練馬区／件数(件),560,702,1115,737,759,1082,869,806,912,845,763,965,10115
練馬区／面積(千m2),38,44,81,57,53,77,73,53,73,55,65,112,781
足立区／件数(件),601,621,982,757,768,755,724,733,829,651,665,852,8938
足立区／面積(千m2),50,55,94,53,53,56,49,56,60,47,51,66,690
葛飾区／件数(件),372,592,590,548,437,508,530,517,606,627,552,611,6490
葛飾区／面積(千m2),29,32,48,37,23,35,34,35,45,36,35,36,425
江戸川区／件数(件),414,486,686,549,539,530,563,624,606,465,511,513,6486
江戸川区／面積(千m2),47,42,65,52,39,48,41,46,51,37,45,57,570
