区名,買主／個人／件数(件),買主／個人／面積(m2),買主／法人／件数(件),買主／法人／面積(m2),買主／国等／件数(件),買主／国等／面積(m2),買主／合計／件数(件),買主／合計／面積(m2)
千代田区,96,4209,448,51169,12,2202,556,57580
中央区,160,4575,812,59373,11,31652,983,95600
港区,425,20671,1008,140587,40,2343,1473,163601
新宿区,1000,42933,1774,175237,42,2024,2816,220194
文京区,831,31519,960,95359,15,721,1806,127599
台東区,408,20303,1447,120659,7,762,1862,141724
墨田区,929,36356,1485,150596,42,1406,2456,188358
江東区,1020,41950,1368,254955,4,263,2392,297168
品川区,1191,45127,1423,154633,80,5178,2694,204938
目黒区,1105,57188,1123,170027,24,1162,2252,228377
大田区,2853,151331,2522,388714,27,1685,5402,541730
世田谷区,4278,244051,3334,467514,224,42954,7836,754519
渋谷区,788,36447,1164,133568,22,1628,1974,171643
中野区,1447,68276,1676,181132,72,2655,3195,252063
杉並区,2974,144389,2396,306335,16,1309,5386,452033
豊島区,1073,41310,1280,121743,71,4801,2424,167854
北区,1418,55913,1449,142023,58,2222,2925,200158
荒川区,838,35720,1043,96269,114,9739,1995,141728
板橋区,2275,101554,2272,291713,21,2287,4568,395554
練馬区,3843,195959,3241,370864,232,61456,7316,628279
足立区,3697,169517,3984,422815,115,12170,7796,604502
葛飾区,2452,114221,2507,247198,152,11404,5111,372823
江戸川区,2678,132849,2753,327424,181,16698,5612,476971
合計,37779,1796368,41469,4869907,1582,218721,80830,6884996
