摘要,全地目／所有者数（人）,全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数（人）,宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1260832,98.8,205422 ,68.6,1261364,98.9,205773 ,72.8
区部／2000m2以上,15030,1.2,94148 ,31.4,13940,1.1,76805 ,27.2
区部／計,1275862,100,299570 ,100,1275304,100,282579 ,100
市部／2000m2未満,896398,97.4,188085 ,43.9,857665,98.7,171376 ,70.4
市部／2000m2以上,23921,2.6,240139 ,56.1,11701,1.3,72108 ,29.6
市部／計,920319,100,428224 ,100,869366,100,243484 ,100
区市計／2000m2未満,2157230,98.2,393507 ,54.1,2119029,98.8,377149 ,71.7
区市計／2000m2以上,38951,1.8,334287 ,45.9,25641,1.2,148913 ,28.3
区市計／計,2196181,100,727795 ,100,2144670,100,526062 ,100
