区市名,令和2年／個人(千m2),令和2年／法人(千m2),令和2年／計(千m2),平成31年／個人(千m2),平成31年／法人(千m2),平成31年／計(千m2),令和2年-平成31年／個人(千m2),令和2年-平成31年／法人(千m2),令和2年-平成31年／計(千m2)
区部／千代田区,562,2555,3118,581,2543,3124,-19,12,-6
区部／中央区,679,2376,3055,707,2402,3108,-28,-25,-53
区部／港区,1873,5392,7265,1875,5434,7309,-3,-42,-45
区部／新宿区,4702,3501,8203,4756,3474,8230,-54,27,-27
区部／文京区,3252,1689,4941,3269,1688,4957,-17,2,-16
区部／台東区,2356,1668,4024,2393,1649,4041,-37,19,-17
区部／墨田区,3835,2112,5947,3877,2083,5960,-42,29,-13
区部／江東区,3833,8522,12355,3857,8586,12444,-25,-64,-89
区部／品川区,5707,4018,9725,5756,4013,9770,-50,5,-45
区部／目黒区,6056,1990,8046,6100,1968,8068,-44,22,-22
区部／大田区,15589,6914,22503,15667,6855,22522,-78,59,-19
区部／世田谷区,25228,5740,30968,25308,5694,31002,-80,46,-34
区部／渋谷区,3802,2889,6691,3846,2878,6724,-44,11,-33
区部／中野区,7440,1662,9102,7485,1623,9108,-45,39,-6
区部／杉並区,17187,2801,19988,17251,2725,19976,-64,76,12
区部／豊島区,5175,1799,6974,5232,1747,6979,-56,51,-5
区部／北区,5897,2735,8631,5939,2728,8668,-43,6,-36
区部／荒川区,3420,1294,4714,3446,1286,4732,-26,7,-19
区部／板橋区,11436,4356,15793,11509,4299,15808,-72,57,-15
区部／練馬区,23346,3085,26431,23382,3044,26426,-36,41,5
区部／足立区,20179,5393,25572,20268,5308,25576,-89,85,-4
区部／葛飾区,12580,2818,15399,12632,2772,15404,-52,47,-5
区部／江戸川区,16942,4723,21665,17005,4696,21701,-63,27,-35
区部／区部計,201076,80033,281109,202140,79495,281636,-1064,538,-526
市部／八王子市,30908,7660,38568,30850,7563,38413,58,97,155
市部／立川市,7838,3029,10868,7838,2995,10833,0,35,35
市部／武蔵野市,5101,1224,6325,5112,1206,6318,-11,18,7
市部／三鷹市,7261,1444,8705,7262,1410,8672,-1,33,32
市部／青梅市,10453,2217,12670,10445,2185,12629,9,32,41
市部／府中市,9840,3167,13007,9828,3143,12972,12,24,35
市部／昭島市,5200,2381,7581,5200,2429,7629,0,-48,-48
市部／調布市,8465,1795,10260,8435,1790,10225,30,5,35
市部／町田市,24120,4355,28475,24063,4302,28365,57,53,110
市部／小金井市,5123,656,5778,5091,662,5753,31,-6,25
市部／小平市,8571,1752,10323,8569,1733,10302,2,19,21
市部／日野市,8832,2504,11336,8798,2492,11290,34,12,46
市部／東村山市,6816,962,7778,6798,949,7747,18,13,31
市部／国分寺市,5281,1143,6424,5276,1135,6411,5,8,13
市部／国立市,3388,749,4138,3387,749,4136,1,1,2
市部／福生市,3102,523,3625,3107,515,3622,-5,8,3
市部／狛江市,3090,360,3450,3080,358,3438,10,2,13
市部／東大和市,4473,723,5195,4460,722,5182,13,1,14
市部／清瀬市,3074,605,3678,3054,581,3635,19,24,43
市部／東久留米市,5584,1160,6744,5570,1161,6730,14,-1,13
市部／武蔵村山市,4595,861,5456,4567,883,5450,28,-22,6
市部／多摩市,5982,2186,8168,5975,2157,8132,7,28,35
市部／稲城市,3948,1010,4958,3906,1003,4910,42,7,49
市部／羽村市,3603,1858,5461,3597,1847,5444,6,11,17
市部／あきる野市,7481,891,8372,7468,875,8343,13,16,29
市部／西東京市,7751,1150,8901,7726,1151,8878,24,-1,23
市部／市部計,199878,46365,246243,199462,45996,245459,416,368,784
区部・市部計,400954,126398,527353,401603,125492,527095,-649,906,258
