区市町村名　/　昭和・平成・令和　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年,31年
千代田区,2850,3456,5719,11019,15265,15733,15928,16269,16253,13867,10175,7195,5126,4013,3652,3527,3474,3425,3244,3113,3050,3085,3663,4697,5158,4359,3957,3835,3801,3837,4082,4337,4673,4930,5211,"5,352"
中央区,3148,4038,6062,9198,13797,14198,14507,15142,15129,13365,9817,6674,4699,3592,3306,3183,3153,2999,2845,2754,2732,2788,3586,4754,5437,4514,3889,3773,3712,3871,4313,4806,5596,6061,6584,"6,836"
港区,2502,3268,6363,11225,15407,14748,14774,15273,14714,12696,8785,5480,3929,2977,2726,2621,2467,2404,2379,2363,2347,2368,3034,4005,4208,3410,3115,2965,2924,2974,3147,3461,4114,4450,4810,"5,244"
新宿区,2668,3362,5088,7075,10782,11426,12390,13181,13161,11468,7804,5618,4103,3245,3053,2909,2923,2816,2897,2771,2685,2669,2787,3607,4003,3434,3416,3289,3239,3199,3366,3633,3941,4303,4600,"4,919"
文京区,895,958,1071,2418,4056,4088,4647,5241,5174,4366,3476,2884,2295,1753,1437,1277,1190,1079,1014,963,939,945,1010,1295,1335,1169,1116,1075,1066,1041,1084,1144,1201,1285,1383,"1,508"
台東区,1051,1137,1269,2825,4097,4094,4378,4566,4531,3911,3083,2605,2021,1551,1329,1162,1211,1165,1084,1012,950,911,992,1224,1293,1150,1082,1032,1019,1023,1045,1079,1140,1237,1356,"1,574"
墨田区,616,634,662,791,2049,2360,2479,2537,2422,1768,1525,1302,971,752,661,614,560,511,477,452,444,440,458,551,586,529,508,500,502,508,521,532,549,573,614,668
江東区,602,630,648,850,2617,3060,2945,3081,3002,2298,1973,1703,1195,932,810,730,661,600,552,523,519,518,545,663,711,639,615,601,599,607,625,639,659,691,744,816
品川区,717,828,952,1425,2355,2366,3191,3122,3101,2671,1998,1524,1251,1064,942,901,849,808,780,770,760,755,835,1019,1055,922,864,850,844,842,887,930,958,1011,1083,"1,163"
目黒区,1548,1720,2032,3349,7094,7391,7176,7260,7206,6068,4683,3175,2318,1808,1559,1433,1292,1149,1101,1069,1042,1033,1158,1478,1560,1374,1280,1229,1198,1163,1202,1259,1351,1430,1503,"1,623"
大田区,623,668,789,1285,2509,2428,2462,2497,2533,2062,1472,1178,1027,908,741,677,628,592,564,546,536,535,561,659,681,632,606,601,596,601,621,639,666,682,709,751
世田谷区,662,757,894,1462,3025,2925,3006,3058,3033,2369,1708,1361,1123,985,891,831,747,707,684,669,657,650,730,871,920,794,762,751,746,751,769,789,832,881,946,"1,022"
渋谷区,2361,2899,4884,6624,10339,10243,10627,11103,11061,9287,6686,4348,3105,2488,2254,2171,2143,2078,2060,1990,2054,2071,2468,3356,3340,3512,3178,2941,2894,2934,3082,3311,3598,3987,4441,"5,466"
中野区,785,860,959,2111,3212,3470,3390,3423,3322,2868,2043,1651,1372,1153,1092,1055,978,936,914,872,842,829,866,1014,1082,948,905,884,876,889,912,943,987,1041,1126,"1,238"
杉並区,669,738,946,1280,2662,2948,3096,3112,3206,2707,1926,1555,1214,1031,892,803,737,686,682,657,641,640,695,795,795,699,676,671,668,653,669,697,732,794,865,936
豊島区,1308,1437,1598,3836,5580,6380,7241,7981,7969,7499,5806,3935,2973,2327,2003,1815,1682,1539,1429,1320,1245,1202,1374,1756,1869,1617,1585,1534,1522,1550,1616,1713,1817,1972,2164,"2,425"
北区,566,609,653,794,1740,2439,2547,2656,2794,2439,1944,1590,1336,1126,986,885,775,712,668,630,603,583,642,771,800,705,684,673,677,699,710,726,752,792,869,960
荒川区,562,560,582,741,1481,1584,1624,1674,2097,1867,1481,1217,1023,869,775,720,681,624,581,551,532,492,533,639,662,601,585,577,576,563,572,584,605,637,697,768
板橋区,560,595,621,810,1774,1785,1906,1958,2005,1737,1389,1165,1030,911,833,782,708,661,628,597,573,556,581,664,693,622,601,588,584,585,596,609,627,656,702,719
練馬区,678,731,757,962,2045,2156,2251,2325,2328,1969,1373,1108,967,857,729,676,604,552,528,515,513,509,531,618,653,579,563,555,553,554,568,573,603,633,665,704
足立区,419,437,454,507,875,1176,1316,1379,1467,1270,1005,828,731,631,562,512,466,424,394,378,366,365,407,455,474,449,436,433,437,427,437,446,456,480,514,552
葛飾区,636,649,665,780,1881,1953,2070,2113,2140,1919,1539,1211,991,872,772,674,558,531,486,443,420,400,406,461,483,454,440,438,439,444,453,462,471,490,518,561
