区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),68,18,5,2,2,1,0,0,0,0,0,96
千代田区／面積(m2),1027,1292,581,351,464,494,0,0,0,0,0,4209
中央区／件数(件),133,22,4,1,0,0,0,0,0,0,0,160
中央区／面積(m2),2460,1489,468,158,0,0,0,0,0,0,0,4575
港区／件数(件),303,68,21,12,13,6,2,0,0,0,0,425
港区／面積(m2),4431,4612,2526,2009,3206,2294,1593,0,0,0,0,20671
新宿区／件数(件),681,212,65,22,12,7,1,0,0,0,0,1000
新宿区／面積(m2),10217,14982,7660,3685,2823,2610,956,0,0,0,0,42933
文京区／件数(件),599,173,36,12,7,3,1,0,0,0,0,831
文京区／面積(m2),10398,11549,4342,2056,1566,1099,509,0,0,0,0,31519
台東区／件数(件),252,107,33,12,3,1,0,0,0,0,0,408
台東区／面積(m2),5812,7347,3963,2063,724,394,0,0,0,0,0,20303
墨田区／件数(件),664,198,43,9,12,2,1,0,0,0,0,929
墨田区／面積(m2),12185,13297,5098,1485,2798,766,727,0,0,0,0,36356
江東区／件数(件),709,246,33,15,9,6,1,1,0,0,0,1020
江東区／面積(m2),12572,16718,3861,2485,2226,2105,943,1040,0,0,0,41950
品川区／件数(件),867,232,52,15,21,4,0,0,0,0,0,1191
品川区／面積(m2),14311,15821,6206,2520,4791,1478,0,0,0,0,0,45127
目黒区／件数(件),685,248,94,32,31,14,1,0,0,0,0,1105
目黒区／面積(m2),9781,17682,11275,5523,7304,5116,507,0,0,0,0,57188
大田区／件数(件),1845,688,172,70,34,31,11,1,0,0,1,2853
大田区／面積(m2),33422,47350,20360,11997,8400,11271,7121,1048,0,0,10362,151331
世田谷区／件数(件),2381,1122,505,155,70,40,2,2,1,0,0,4278
世田谷区／面積(m2),41192,81018,58546,26528,16379,14233,1358,2758,2039,0,0,244051
渋谷区／件数(件),554,135,45,21,19,11,2,1,0,0,0,788
渋谷区／面積(m2),7606,9342,5255,3656,4467,3685,1186,1250,0,0,0,36447
中野区／件数(件),906,357,121,37,20,5,1,0,0,0,0,1447
中野区／面積(m2),15859,25255,14009,6299,4661,1686,507,0,0,0,0,68276
杉並区／件数(件),1855,727,258,78,38,15,3,0,0,0,0,2974
杉並区／面積(m2),32095,52116,30301,13443,8988,5416,2030,0,0,0,0,144389
豊島区／件数(件),766,221,47,20,18,1,0,0,0,0,0,1073
豊島区／面積(m2),12623,15066,5470,3374,4392,385,0,0,0,0,0,41310
北区／件数(件),996,312,67,24,12,7,0,0,0,0,0,1418
北区／面積(m2),16862,21530,7856,4211,2804,2650,0,0,0,0,0,55913
荒川区／件数(件),593,186,29,10,11,7,1,1,0,0,0,838
荒川区／面積(m2),10915,12601,3337,1682,2658,2752,603,1172,0,0,0,35720
板橋区／件数(件),1463,577,151,36,34,13,1,0,0,0,0,2275
板橋区／面積(m2),23328,40849,17906,6042,7757,5033,639,0,0,0,0,101554
練馬区／件数(件),2185,986,549,60,47,9,3,4,0,0,0,3843
練馬区／面積(m2),33269,67835,63247,10305,11214,3402,1837,4850,0,0,0,195959
足立区／件数(件),2279,1068,241,57,27,16,7,2,0,0,0,3697
足立区／面積(m2),33951,79221,27620,9689,6277,5683,4800,2276,0,0,0,169517
葛飾区／件数(件),1487,727,164,45,15,10,4,0,0,0,0,2452
葛飾区／面積(m2),26266,51632,18824,7717,3755,3707,2320,0,0,0,0,114221
江戸川区／件数(件),1611,801,182,43,24,6,10,1,0,0,0,2678
江戸川区／面積(m2),30691,58153,20797,7326,5708,2040,6827,1307,0,0,0,132849
合計／件数(件),23882,9431,2917,788,479,215,52,13,1,0,1,37779
合計／面積(m2),401273,666757,339508,134604,113362,78299,34463,15701,2039,0,10362,1796368
