順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,豊見城－９－１,沖縄県　　,字豊崎３番６２,46500,59800,28.6
2,糸満－９－１,沖縄県　　,西崎町５丁目８番７外,30000,38000,26.7
3,鳥栖－９－１,佐賀県　　,大字元栗橋字観音下４０３番８外,30800,36500,18.5
4,矢巾－９－１,岩手県　　,港町３丁目７番１０,18300,21600,18
5,那覇－９－１,沖縄県　　,西洲２丁目４番４,101000,118000,16.8
6,久御山－９－１,京都府　　,領家５丁目３９１４番,75000,87000,16
7,久御山－９－３,京都府　　,松飛台字中原３３６番１７,71500,82300,15.1
8,札幌白石－９－３,北海道　　,佐山新開地１９８番,69300,79500,14.7
9,浦添－９－２,沖縄県　　,市田石橋２番外,85200,95500,12.1
10,志免－９－１,福岡県　　,卸町東４丁目１番１４,35900,40000,11.4
