区市町村名,宅地計／個人（千m2）,宅地計／法人（千m2）,宅地計／合計（千m2）,住宅地区／個人（千m2）,住宅地区／法人（千m2）,住宅地区／合計（千m2）,産業地区／個人（千m2）,産業地区／法人（千m2）,産業地区／合計（千m2）,工業地区／個人（千m2）,工業地区／法人（千m2）,工業地区／合計（千m2）,その他の宅地／個人（千m2）,その他の宅地／法人（千m2）,その他の宅地／合計（千m2）
千代田区,1095,2553,3648,235,243,477,860,2311,3171,0,0,0,0,0,0
中央区,1515,2447,3963,732,606,1338,772,1733,2505,11,109,120,0,0,0
港区,3874,5389,9264,3098,3000,6098,764,2188,2952,13,201,214,0,0,0
新宿区,6467,3275,9742,6027,2384,8411,387,793,1180,53,98,151,0,0,0
文京区,4207,1676,5883,3694,1183,4877,377,435,813,136,58,194,0,0,0
台東区,2931,1606,4537,1521,516,2037,1410,1089,2500,0,0,0,0,0,0
墨田区,4802,2052,6855,3856,1352,5208,216,242,458,730,458,1188,0,0,0
江東区,6375,8501,14876,6041,3968,10009,121,558,678,213,3975,4189,0,0,0
品川区,7510,4018,11528,7103,2176,9279,293,509,802,114,1334,1447,0,0,0
目黒区,7195,1915,9111,7033,1747,8780,162,168,330,1,0,1,0,0,0
大田区,18244,6782,25027,17967,4339,22306,153,168,321,124,2275,2399,0,0,0
世田谷区,29185,5638,34823,29079,5559,34637,106,79,186,0,0,0,0,0,0
渋谷区,5289,2818,8107,4940,1921,6860,349,897,1246,0,0,0,0,0,0
中野区,8494,1571,10065,8402,1514,9916,91,57,148,0,0,0,0,0,0
杉並区,18945,2663,21608,18822,2604,21426,123,60,183,0,0,0,0,0,0
豊島区,6109,1714,7824,5675,1204,6879,434,510,944,0,0,0,0,0,0
北区,6844,2730,9574,6559,2141,8700,125,88,213,160,501,661,0,0,0
荒川区,4151,1252,5403,3660,869,4529,99,51,150,392,331,723,0,0,0
板橋区,13821,4226,18047,13587,2982,16569,65,94,158,170,1150,1320,0,0,0
練馬区,25485,2932,28417,25442,2909,28351,43,23,66,0,0,0,0,0,0
足立区,22137,5351,27487,20936,4081,25017,193,166,359,1008,1104,2112,0,0,0
葛飾区,13864,2716,16580,13347,2232,15579,273,177,449,244,308,551,0,0,0
江戸川区,18722,4616,23339,18431,3382,21814,219,127,346,72,1106,1179,0,0,0
区部計,237262,78442,315705,226188,52910,279098,7634,12524,20159,3441,13008,16448,0,0,0
八王子市,30733,7190,37923,27691,3761,31452,223,377,600,50,1453,1504,2768,1599,4367
立川市,7813,2980,10793,7595,1352,8946,217,285,502,1,1344,1345,0,0,0
武蔵野市,5119,1182,6301,4746,743,5489,367,255,622,7,183,190,0,0,0
三鷹市,7238,1376,8614,7026,965,7991,196,112,308,10,299,310,5,0,5
青梅市,10420,2135,12555,9201,889,10090,45,109,154,228,1004,1232,945,133,1078
府中市,9822,3105,12927,9226,1337,10564,217,80,298,378,1688,2066,0,0,0
昭島市,5178,2395,7573,5038,792,5830,48,417,465,92,1185,1277,0,0,1
調布市,8371,1811,10182,8070,1571,9641,223,59,282,78,181,259,0,0,0
町田市,23967,4156,28124,22916,3163,26080,336,359,694,219,433,651,497,202,698
小金井市,5087,624,5711,4956,576,5532,131,42,173,0,6,6,0,0,0
小平市,8479,1758,10237,8240,1047,9287,162,92,254,77,619,696,0,0,0
日野市,8735,2432,11167,8342,909,9251,51,58,109,341,1466,1807,0,0,0
東村山市,6757,909,7666,6365,655,7020,137,55,192,255,199,454,0,0,0
国分寺市,5272,1076,6348,5217,770,5987,55,65,120,0,241,241,0,0,0
国立市,3382,743,4125,3152,604,3756,132,39,171,98,100,197,1,0,1
福生市,3120,495,3614,2935,379,3314,140,45,185,44,71,115,0,0,0
狛江市,3064,346,3410,2872,262,3134,109,53,161,84,31,114,0,0,0
東大和市,4457,688,5145,4377,409,4787,55,92,147,25,186,211,0,0,0
清瀬市,3008,569,3576,2910,456,3366,73,48,122,25,64,89,0,0,0
東久留米市,5524,1129,6653,5291,813,6104,135,123,259,50,185,235,48,8,55
武蔵村山市,4508,907,5416,4023,276,4299,165,168,333,320,463,783,0,0,0
多摩市,5944,2162,8106,5737,1190,6927,207,972,1179,0,0,0,0,0,0
稲城市,3863,951,4814,3819,723,4542,10,109,119,24,112,136,11,6,17
羽村市,3618,1815,5432,3279,257,3537,167,22,189,164,1535,1699,8,0,8
あきる野市,7413,854,8267,6601,400,7002,73,35,108,79,193,272,659,226,885
西東京市,7644,1160,8804,7449,931,8380,188,71,259,7,158,165,0,0,0
市部計,198536,44947,243484,187075,25233,212308,3861,4143,8004,2657,13399,16056,4943,2173,7115
瑞穂町,3611,1294,4906,2242,134,2377,109,17,126,743,1093,1837,517,50,567
日の出町,1962,470,2432,1227,112,1339,97,14,110,46,136,182,593,208,800
檜原村,412,15,427,0,0,0,0,0,0,0,0,0,412,15,427
奥多磨町,776,84,860,99,32,132,0,0,0,0,0,0,677,52,728
西多摩郡計,6762,1863,8625,3569,279,3847,205,31,236,789,1229,2019,2198,324,2522
多摩地域計,205298,46811,252108,190644,25511,216155,4066,4174,8240,3447,14628,18075,7141,2497,9638
区部・多摩計,442560,125253,567813,416832,78422,495253,11701,16698,28399,6887 ,27636 ,34523 ,7141 ,2497 ,9638 
