区名,増加量(万m2),増加率(%)
千代田区,1167.3,178.3
中央区,648.3,110.2
港区,1460.5,397.5
新宿区,596.9,422.4
文京区,170.8,340.9
台東区,184.9,250.9
墨田区,102.6,332.2
江東区,487.5,1039.5
品川区,489.7,763.9
目黒区,94.9,282.6
大田区,237.1,276.6
世田谷区,119.6,353.9
渋谷区,531.1,467.5
中野区,86.7,489.9
杉並区,61.7,240.2
豊島区,222.7,526.6
北区,59.9,266.3
荒川区,38.2,291.4
板橋区,67.7,248
練馬区,50,226.3
足立区,60.6,268.3
葛飾区,31.1,140.8
江戸川区,79.3,424.3
区部計,7049.5,279.9
