区市名,面積／令和3年(千m2),面積／令和2年(千m2),面積／令和3年－令和2年(千m2)
区部／千代田区,176,178,-2
区部／中央区,298,306,-8
区部／港区,402,406,-4
区部／新宿区,1063,1062,1
区部／文京区,914,910,4
区部／台東区,865,871,-6
区部／墨田区,1142,1141,1
区部／江東区,1228,1222,6
区部／品川区,1549,1536,13
区部／目黒区,1124,1112,11
区部／大田区,3109,3058,50
区部／世田谷区,3611,3547,64
区部／渋谷区,718,716,2
区部／中野区,1587,1565,22
区部／杉並区,2642,2581,61
区部／豊島区,1226,1218,8
区部／北区,1541,1524,17
区部／荒川区,946,936,11
区部／板橋区,2403,2372,31
区部／練馬区,3416,3370,46
区部／足立区,3879,3817,63
区部／葛飾区,2946,2903,44
区部／江戸川区,3997,3960,36
区部／区部計,40783,40312,471
市部／八王子市,772,771,2
市部／立川市,493,487,6
市部／武蔵野市,351,350,1
市部／三鷹市,564,564,0
市部／青梅市,259,260,-1
市部／府中市,845,827,18
市部／昭島市,277,276,1
市部／調布市,1219,1205,14
市部／町田市,506,505,1
市部／小金井市,389,389,0
市部／小平市,1120,1111,8
市部／日野市,443,625,-182
市部／東村山市,554,554,1
市部／国分寺市,449,443,6
市部／国立市,205,201,4
市部／福生市,149,150,-1
市部／狛江市,467,465,2
市部／東大和市,244,246,-2
市部／清瀬市,176,175,1
市部／東久留米市,998,994,4
市部／武蔵村山市,205,206,-1
市部／多摩市,799,796,3
市部／稲城市,173,171,1
市部／羽村市,154,155,-1
市部／あきる野市,131,132,-1
市部／西東京市,1338,1322,16
市部／市部計,13281,13380,-99
区部・市部計,54064,53693,371
