区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),41,11,4,0,0,1,0,0,0,0,0,57
千代田区／面積(m2),903,802,505,0,0,385,0,0,0,0,0,2595
中央区／件数(件),145,26,9,1,0,0,0,0,0,0,0,181
中央区／面積(m2),2558,1759,1076,163,0,0,0,0,0,0,0,5556
港区／件数(件),265,61,20,8,5,1,0,0,0,0,0,360
港区／面積(m2),3633,4318,2561,1396,1242,397,0,0,0,0,0,13547
新宿区／件数(件),759,226,51,21,16,3,0,0,0,0,0,1076
新宿区／面積(m2),11909,15302,5998,3685,3813,1025,0,0,0,0,0,41732
文京区／件数(件),446,139,42,19,8,7,2,0,0,0,0,663
文京区／面積(m2),8059,9231,5056,3215,1714,2475,1339,0,0,0,0,31089
台東区／件数(件),270,97,20,4,3,3,0,0,0,0,0,397
台東区／面積(m2),5986,6520,2301,687,676,1003,0,0,0,0,0,17173
墨田区／件数(件),599,196,35,14,13,3,1,0,0,0,0,861
墨田区／面積(m2),11520,13508,4281,2375,3181,1046,669,0,0,0,0,36580
江東区／件数(件),691,226,38,7,5,4,0,0,0,0,0,971
江東区／面積(m2),13357,14756,4566,1201,1254,1446,0,0,0,0,0,36580
品川区／件数(件),1014,247,55,27,10,7,1,1,0,0,0,1362
品川区／面積(m2),16797,16530,6599,4707,2342,2487,560,1347,0,0,0,51369
目黒区／件数(件),841,301,127,35,27,13,1,0,0,0,0,1345
目黒区／面積(m2),13441,21450,15022,5994,6233,4682,942,0,0,0,0,67764
大田区／件数(件),2252,870,213,75,49,15,0,2,0,0,0,3476
大田区／面積(m2),43294,59148,25392,12914,11750,5679,0,3521,0,0,0,161698
世田谷区／件数(件),2502,1332,584,135,86,41,9,3,0,0,0,4692
世田谷区／面積(m2),46054,97178,68254,22902,20116,15021,6757,4311,0,0,0,280593
渋谷区／件数(件),548,139,48,17,20,6,2,0,0,0,0,780
渋谷区／面積(m2),7832,9891,5897,2974,4854,2109,1375,0,0,0,0,34932
中野区／件数(件),1034,424,110,39,23,2,1,0,0,0,0,1633
中野区／面積(m2),17366,30342,13039,6712,5392,652,605,0,0,0,0,74108
杉並区／件数(件),2020,959,324,80,41,20,2,0,0,0,0,3446
杉並区／面積(m2),36759,67989,37617,13687,9748,7473,1210,0,0,0,0,174483
豊島区／件数(件),788,258,52,27,22,7,2,0,0,0,0,1156
豊島区／面積(m2),13137,17485,6243,4638,5399,2789,1078,0,0,0,0,50769
北区／件数(件),948,312,70,18,12,3,2,0,0,0,0,1365
北区／面積(m2),17108,21822,8411,2981,2617,945,1269,0,0,0,0,55153
荒川区／件数(件),738,223,41,16,9,2,0,1,0,0,0,1030
荒川区／面積(m2),13045,14536,4870,2697,2197,698,0,1057,0,0,0,39100
板橋区／件数(件),1386,590,163,37,22,11,4,0,0,0,0,2213
板橋区／面積(m2),23540,41740,19165,6201,5263,4495,2761,0,0,0,0,103165
練馬区／件数(件),2460,1223,742,79,47,14,5,2,0,0,0,4572
練馬区／面積(m2),39209,85847,84462,13254,11062,5525,2909,2265,0,0,0,244533
足立区／件数(件),2241,1127,341,72,35,13,2,1,0,0,0,3832
足立区／面積(m2),35350,83362,38926,12032,8602,4442,1073,1057,0,0,0,184844
葛飾区／件数(件),1483,798,166,27,26,14,1,0,0,0,0,2515
葛飾区／面積(m2),28148,56805,18756,4631,6317,5283,832,0,0,0,0,120772
江戸川区／件数(件),1638,968,235,39,32,11,1,0,0,0,0,2924
江戸川区／面積(m2),30830,70756,26895,6728,7752,4000,505,0,0,0,0,147466
合計／件数(件),25109,10753,3490,797,511,201,36,10,0,0,0,40907
合計／面積(m2),439835,761077,405892,135774,121524,74057,23884,13558,0,0,0,1975601
