区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,341,7,19,0,12,12,1,1,353,7,19,0
八王子市／200m2未満,638,12,97,1,9,9,1,1,647,12,98,1
八王子市／300m2未満,493,10,124,2,9,9,2,2,502,10,126,2
八王子市／500m2未満,619,12,243,3,16,16,6,6,635,12,249,3
八王子市／1000m2未満,1000,20,718,9,26,27,19,19,1026,20,737,9
八王子市／2000m2未満,856,17,1210,15,13,13,17,17,869,17,1227,15
八王子市／5000m2未満,817,16,2549,33,9,9,28,28,826,16,2577,33
八王子市／10000m2未満,284,6,1877,24,2,2,13,13,286,5,1891,24
八王子市／10000m2以上,68,1,983,13,1,1,14,14,69,1,997,13
八王子市／計,5116,100,7820,100,97,100,101,100,5213,100,7921,100
立川市／100m2未満,30,4,1,0,0,0,0,0,30,4,1,0
立川市／200m2未満,42,6,6,0,0,0,0,0,42,6,6,0
立川市／300m2未満,34,5,9,0,0,0,0,0,34,5,9,0
立川市／500m2未満,66,10,26,1,1,50,0,25,67,10,26,1
立川市／1000m2未満,85,12,63,3,1,50,1,75,86,13,64,3
立川市／2000m2未満,98,14,141,6,0,0,0,0,98,14,141,6
立川市／5000m2未満,154,22,500,20,0,0,0,0,154,22,500,20
立川市／10000m2未満,109,16,774,31,0,0,0,0,109,16,774,31
立川市／10000m2以上,68,10,967,39,0,0,0,0,68,10,967,39
立川市／計,686,100,2487,100,2,100,1,100,688,100,2488,100
武蔵野市／100m2未満,4,3,0,0,0,0,0,0,4,3,0,0
武蔵野市／200m2未満,4,3,1,0,0,0,0,0,4,3,1,0
武蔵野市／300m2未満,5,4,1,0,0,0,0,0,5,4,1,0
武蔵野市／500m2未満,6,5,3,1,0,0,0,0,6,5,3,1
武蔵野市／1000m2未満,21,18,15,5,0,0,0,0,21,18,15,5
武蔵野市／2000m2未満,22,19,32,12,0,0,0,0,22,19,32,12
武蔵野市／5000m2未満,39,34,127,46,0,0,0,0,39,34,127,46
武蔵野市／10000m2未満,13,11,86,31,0,0,0,0,13,11,86,31
武蔵野市／10000m2以上,1,1,11,4,0,0,0,0,1,1,11,4
