区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,106,152,77,105,170,80,84,60,111,104
50m2未満／面積（m2）,"2,087","2,995","1,635","1,865","2,716","1,480","1,490","1,196","2,024","1,835"
50m2以上100m2未満／件数（件）,52,67,28,31,61,25,38,24,54,33
50m2以上100m2未満／面積（m2）,"3,501","4,668","1,960","2,189","4,196","1,746","2,735","1,624","4,628","2,590"
100m2以上150m2未満／件数（件）,21,22,11,11,23,16,19,10,25,24
100m2以上150m2未満／面積（m2）,"2,625","2,696","1,357","1,386","2,744","1,915","2,250","1,224","2,840","3,043"
150m2以上200m2未満／件数（件）,6,11,3,4,8,3,3,8,5,7
150m2以上200m2未満／面積（m2）,976,"1,882",530,745,"1,403",543,523,"1,411",869,"1,180"
200m2以上300m2未満／件数（件）,9,20,9,5,9,6,7,7,5,40
200m2以上300m2未満／面積（m2）,"2,097","4,852","2,239","1,124","2,109","1,412","1,623","1,724","1,331","8,916"
300m2以上500m2未満／件数（件）,9,7,2,3,11,3,2,9,5,7
300m2以上500m2未満／面積（m2）,"3,687","2,811",758,"1,008","4,170","1,046",692,"3,717","1,746","2,514"
500m2以上1000m2未満／件数（件）,4,7,2,1,5,3,6,0,5,1
500m2以上1000m2未満／面積（m2）,"2,869","5,647","1,642",674,"3,180","2,205","4,165",0,"3,759",668
1000m2以上2000m2未満／件数（件）,0,7,2,4,6,2,3,2,2,2
1000m2以上2000m2未満／面積（m2）,0,"9,300","3,525","5,221","8,904","3,113","3,587","2,834","3,567","2,372"
2000m2以上5000m2未満／件数（件）,1,2,0,2,0,2,1,3,2,1
2000m2以上5000m2未満／面積（m2）,"2,126","5,234",0,"9,176",0,"6,529","2,300","8,421","4,903","3,211"
5000m2以上10000m2未満／件数（件）,1,1,0,0,0,0,0,0,1,0
5000m2以上10000m2未満／面積（m2）,"9,601","5,033",0,0,0,0,0,0,"5,431",0
10000m2以上／件数（件）,0,0,0,0,0,1,0,0,0,0
10000m2以上／面積（m2）,0,0,0,0,0,"13,680",0,0,0,0
合計／件数（件）,209,296,134,166,293,141,163,123,215,219
合計／面積（m2）,"29,572","45,115","13,648","23,389","29,422","33,669","19,365","22,151","31,098","26,329"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
