区市町村名,住宅地,商業地,工業地,全用途平均
千代田区,2791.4,6339.9,,5925.9
中央区,1386.4,9153.3,,8061.1
港区,2149.7,5228.1,,4115.4
新宿区,851.7,4931.4,,3414.6
文京区,1057.1,1586.4,,1337.3
台東区,980.7,1635.0,,1562.3
墨田区,461.9,866.4,,681.0
江東区,510.2,945.5,495.5,663.1
品川区,905.9,1753.5,452.0,1300.5
目黒区,1013.3,1884.1,,1326.8
大田区,546.8,939.6,424.2,688.9
世田谷区,655.8,1065.0,,747.3
渋谷区,1386.7,7248.2,,4665.1
中野区,634.7,1317.8,,944.1
杉並区,571.1,1018.3,,695.9
豊島区,675.5,2268.4,,1602.3
北区,560.9,1037.0,,760.0
荒川区,540.5,936.3,,704.3
板橋区,448.6,745.5,295.3,522.6
練馬区,409.1,796.1,,472.5
足立区,332.4,630.4,245.8,415.2
葛飾区,333.8,545.6,,396.7
江戸川区,377.3,674.9,332.3,427.6
区部,665.3,3125.3,363.6,1713.7
八王子市,117.5,459.0,124.5,156.6
立川市,261.4,1349.3,170.0,476.7
武蔵野市,593.7,2022.4,,1100.6
三鷹市,428.1,865.8,,550.3
青梅市,93.4,189.2,,104.8
府中市,307.5,577.9,193.0,353.8
昭島市,188.7,320.7,160.0,204.7
調布市,356.0,805.4,,422.9
町田市,157.2,738.1,,248.9
小金井市,346.4,721.0,,424.5
小平市,232.5,322.6,,249.3
日野市,193.1,439.3,154.7,228.1
東村山市,191.3,303.9,153.0,221.8
国分寺市,299.8,622.7,,398.0
国立市,354.8,663.3,199.0,406.1
福生市,166.3,287.2,,204.1
狛江市,322.5,497.0,,347.4
東大和市,169.3,197.7,152.0,171.9
清瀬市,186.7,350.5,150.0,202.9
東久留米市,218.7,287.3,197.0,228.0
武蔵村山市,121.8,146.5,117.0,124.2
多摩市,184.8,422.8,,217.0
稲城市,243.2,267.7,,245.7
羽村市,139.6,181.0,98.0,139.6
あきる野市,96.6,166.0,75.6,101.1
西東京市,296.8,454.7,,333.2
瑞穂町,92.1,123.5,79.3,89.5
日の出町,86.6,,98.7,77.6
檜原村,,,,
奥多摩町,,,,
多摩地域,220.0,639.7,142.0,288.4
大島町,9.3,39.9,,19.5
新島村,6.3,8.6,,7.1
神津島村,7.1,9.5,,7.9
三宅村,8.9,10.9,,9.6
八丈町,9.0,30.4,,16.1
小笠原村,40.8,75.0,,52.2
島しょ,13.6,29.1,,18.7
東京都,452.1,2613.5,263.9,1159.7
