区分,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年
50m2未満／件数（件）,7936,9745,9367,13603,16603,15062,15419,15056,16212,16198
50m2未満／面積（m2）,138139,170597,163097,173854,247495,235299,255073,265158,284848,296109
50m2以上100m2未満／件数（件）,4659,5631,5678,5949,7028,7361,8227,8609,9626,9801
50m2以上100m2未満／面積（m2）,340919,417910,418045,436505,511598,536448,596331,628889,700136,710406
100m2以上150m2未満／件数（件）,2660,3384,3420,3254,3877,4212,4817,5066,5473,5506
100m2以上150m2未満／面積（m2）,322469,413018,416938,398648,469535,511805,584350,615747,664374,667907
150m2以上200m2未満／件数（件）,1504,1962,1957,2041,2355,2376,2745,2958,3148,3178
150m2以上200m2未満／面積（m2）,259652,336431,338020,354816,408014,409575,474404,510089,543500,547289
200m2以上300m2未満／件数（件）,1384,2007,1911,1942,2254,2261,2540,2658,2706,2733
200m2以上300m2未満／面積（m2）,336333,488194,462701,474210,546060,547253,616938,640130,652243,658288
300m2以上500m2未満／件数（件）,1219,1598,1582,1526,1732,1724,1861,1804,1932,1870
300m2以上500m2未満／面積（m2）,461649,606824,601257,579455,657157,657279,701084,681179,726793,701651
500m2以上1000m2未満／件数（件）,853,990,916,812,967,986,867,959,945,923
500m2以上1000m2未満／面積（m2）,619940,680462,631151,551000,659629,670658,591152,653553,638298,624393
1000m2以上2000m2未満／件数（件）,226,310,273,295,309,242,234,243,204,212
1000m2以上2000m2未満／面積（m2）,318820,421810,364118,394323,412786,324110,313610,326004,270698,289690
2000m2以上5000m2未満／件数（件）,141,116,148,87,97,99,75,76,62,59
2000m2以上5000m2未満／面積（m2）,403414,331582,479272,250490,276733,294875,223153,219581,169227,174536
5000m2以上10000m2未満／件数（件）,38,31,25,14,25,19,15,15,11,13
5000m2以上10000m2未満／面積（m2）,278418,219201,166965,96840,177110,130930,108652,112172,68183,83256
10000m2以上／件数（件）,18,82,16,6,11,11,10,8,4,6
10000m2以上／面積（m2）,471839,1459302,360476,93259,150125,185910,176783,172690,55400,103942
合計／件数（件）,20638,25856,25293,29529,35258,34353,36810,37452,40323,40499
合計／面積（m2）,3951591,5545331,4402040,3803400,4516242,4504142,4641530,4825192,4773700,4857467
