区名,100m2未満(千m2),200m2未満(千m2),300m2未満(千m2),500m2未満(千m2),1000m2未満(千m2),2000m2未満(千m2),5000m2未満(千m2),10000m2未満(千m2),10000m2以上(千m2),計(千m2),増減率(%)
千代田区,-121,-123,-86,-115,-147,-114,-56,-23,0,-785,-58.5
中央区,-176,-139,-85,-107,-119,-79,-52,-16,21,-751,-52.6
港区,-119,-238,-209,-371,-509,-376,-262,-86,-42,-2212,-54.5
新宿区,141,-153,-211,-409,-622,-452,-385,-159,-189,-2439,-34.3
文京区,194,1,-133,-282,-390,-299,-138,-81,-20,-1148,-26.2
台東区,97,-57,-117,-180,-228,-167,-138,-67,-26,-883,-27.5
墨田区,385,104,-47,-152,-316,-324,-438,-301,-155,-1245,-24.6
江東区,436,135,-7,-92,-255,-336,-575,-301,-556,-1551,-29
品川区,592,125,-59,-294,-417,-480,-599,-313,-335,-1780,-23.9
目黒区,576,544,50,-306,-433,-336,-607,-342,-533,-1388,-18.7
大田区,1733,1254,261,-268,-798,-790,-1436,-1450,-1856,-3351,-17.7
世田谷区,2015,2891,416,-597,-1159,-894,-1606,-1724,-1829,-2487,-9
渋谷区,145,-45,-148,-352,-568,-418,-357,-292,-180,-2216,-37.1
中野区,652,457,-14,-191,-302,-288,-348,-617,-580,-1231,-14.2
杉並区,1332,2039,251,-554,-725,-476,-890,-922,-1734,-1678,-8.9
豊島区,456,185,-46,-224,-339,-383,-523,-452,-260,-1586,-23.6
北区,607,310,18,-119,-207,-274,-592,-516,-471,-1243,-17.5
荒川区,436,154,5,-70,-210,-199,-465,-228,-371,-948,-21.8
板橋区,965,645,74,-40,-258,-259,-933,-1073,-1262,-2143,-15.8
練馬区,1109,2849,34,-283,-237,-291,-696,-971,-1198,317,1.4
足立区,1899,1653,321,269,149,-239,-755,-1422,-1595,281,1.4
葛飾区,1470,734,150,31,-152,-260,-864,-1217,-1308,-1415,-10.1
江戸川区,1849,969,221,96,-169,-462,-1124,-1034,-1319,-974,-5.5
区部計,16674,14293,637,-4609,-8411,-8197,-13839,-13608,-15797,-32857,-14.1
