区名／市名,昭和51年(千m2),昭和55年(千m2),昭和60年(千m2),平成2年(千m2),平成7年(千m2),平成12年(千m2),平成17年(千m2),平成18年(千m2),平成19年(千m2),平成20年(千m2),平成21年(千m2),平成22年(千m2),平成23年(千m2),平成24年(千m2),平成25年(千m2),平成26年(千m2),平成27年(千m2),平成28年(千m2),平成29年(千m2),平成30年(千m2)
千代田区,522,254,319,524,99,351,564,253,335,416,1011,704,316,209,571,433,502,564,321,374
中央区,176,250,385,546,32,129,133,92,196,107,270,314,209,309,114,227,192,133,59,52
港区,145,310,368,446,128,1504,957,178,72,182,166,125,482,333,82,178,314,231,732,268
新宿区,120,135,180,715,147,184,26,43,16,111,227,195,18,32,59,20,29,57,105,33
文京区,49,68,67,90,16,7,22,14,10,17,73,4,7,31,28,16,6,5,5,18
台東区,55,73,153,122,21,11,12,25,5,65,40,24,28,25,22,60,42,30,20,18
墨田区,27,15,13,42,17,16,17,13,7,40,5,8,13,16,10,6,6,10,3,14
江東区,38,22,81,408,212,51,67,87,153,326,379,212,64,157,74,27,16,37,215,45
品川区,53,84,96,223,22,14,173,54,75,73,314,40,18,142,17,9,182,7,48,6
目黒区,15,9,39,67,15,14,11,18,18,20,8,2,41,5,3,9,1,12,10,2
大田区,39,84,134,158,152,101,19,52,82,47,37,11,29,17,21,16,20,27,15,173
世田谷区,34,15,23,223,22,12,10,23,22,26,7,14,7,172,8,20,9,7,24,31
渋谷区,88,38,154,482,60,83,40,50,32,176,158,71,10,22,68,52,314,182,115,39
中野区,10,11,37,78,7,8,4,3,3,9,28,199,2,3,8,2,3,4,14,2
杉並区,20,17,18,125,2,7,7,15,14,28,9,7,8,6,12,7,3,20,6,4
豊島区,77,18,111,103,18,4,12,16,16,12,37,38,46,10,11,12,85,53,71,10
北区,16,14,17,35,9,26,5,9,4,8,20,2,7,28,10,15,8,6,5,2
荒川区,8,5,21,35,16,17,13,6,29,8,4,7,5,6,4,5,2,2,3,3
板橋区,29,19,28,99,36,13,7,8,11,8,13,23,18,57,8,14,7,7,8,16
練馬区,25,20,17,99,19,25,14,6,11,8,7,9,3,3,6,16,15,6,9,4
足立区,39,24,24,64,32,16,26,17,28,11,14,9,11,14,22,19,19,14,15,14
葛飾区,23,16,13,30,13,6,12,9,4,13,9,2,4,7,12,11,2,11,8,3
江戸川区,16,28,24,137,15,38,20,18,15,32,37,15,32,7,11,5,9,14,12,18
区部計,1624,1531,2320,4851,1111,2637,2171,1009,1158,1743,2873,2035,1378,1611,1181,1179,1786,1438,1823,1148
都心３区,844,814,1071,1516,259,1984,1654,523,603,705,1447,1143,1007,851,767,838,1008,928,1112,694
都心５区,1052,987,1405,2713,467,2251,1721,616,651,992,1833,1409,1035,905,894,910,1351,1166,1332,766
他１８区,572,544,915,2138,644,386,450,393,507,751,1040,626,343,706,287,269,435,271,491,382
八王子市,,,,,,,,,,,5,5,15,3,46,4,18,11,4,6
立川市,,,,,,,,,,,6,7,6,38,14,7,4,7,2,76
武蔵野市,,,,,,,,,,,4,2,5,2,22,6,2,4,5,5
三鷹市,,,,,,,,,,,9,3,12,16,3,2,2,41,5,8
青梅市,,,,,,,,,,,1,8,13,0,2,1,3,2,5,0
府中市,,,,,,,,,,,4,6,20,22,6,5,6,3,13,1
昭島市,,,,,,,,,,,1,1,15,1,1,0,25,1,13,1
調布市,,,,,,,,,,,1,1,13,31,7,7,13,7,8,2
町田市,,,,,,,,,,,49,15,6,5,8,14,5,11,8,4
小金井市,,,,,,,,,,,1,3,5,3,0,3,1,2,2,2
小平市,,,,,,,,,,,23,1,1,2,1,2,2,4,1,3
日野市,,,,,,,,,,,2,3,3,3,4,8,1,8,9,3
東村山市,,,,,,,,,,,1,2,1,2,0,1,1,2,1,1
国分寺市,,,,,,,,,,,4,3,1,0,0,1,3,1,0,1
国立市,,,,,,,,,,,1,2,1,2,0,1,0,1,1,4
福生市,,,,,,,,,,,2,1,0,5,5,0,8,5,0,0
狛江市,,,,,,,,,,,－,0,1,2,－,1,1,0,0,0
東大和市,,,,,,,,,,,3,1,1,2,1,2,0,1,1,5
清瀬市,,,,,,,,,,,1,6,0,0,－,0,0,1,0,0
東久留米市,,,,,,,,,,,1,0,3,1,0,2,2,0,0,1
武蔵村山市,,,,,,,,,,,1,0,0,0,2,0,0,1,1,2
多摩市,,,,,,,,,,,6,6,43,1,9,1,2,1,13,54
稲城市,,,,,,,,,,,1,1,2,0,0,4,14,23,1,3
羽村市,,,,,,,,,,,1,4,1,0,3,0,1,0,7,0
あきる野市,,,,,,,,,,,1,0,1,10,1,1,0,0,0,1
西東京市,,,,,,,,,,,29,3,20,1,3,0,5,0,7,1
西多摩郡,,,,,,,,,,,1,0,1,3,3,2,3,1,2,7
島部計,,,,,,,,,,,2,7,8,1,3,2,1,1,1,2
市・郡・島部計,,,,,,,,,,,161,91,198,156,144,77,125,138,110,192
