区名,平成23年／件数(件),平成23年／面積(m2),平成24年／件数(件),平成24年／面積(m2),平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2)
国等／千代田区,2,748,40,709,8,496,1,869,4,1629,4,283,8,643,5,1385,9,921,11,2396
国等／中央区,3,4177,23,4050,21,5059,14,1266,4,574,6,1013,1,98,3,1725,58,1522,6,471
国等／港区,28,1064,42,6609,26,17581,30,4728,24,1245,90,18041,116,17663,186,28958,41,1507,212,14412
国等／新宿区,101,14133,150,13294,65,9004,69,8460,51,10372,78,9720,73,5236,38,3017,60,2938,41,1705
国等／文京区,8,296,13,1563,16,1868,17,1745,14,3236,40,1301,25,2638,17,1030,17,2058,19,657
国等／台東区,3,184,12,1478,13,639,7,502,12,1194,17,973,5,383,12,1113,10,925,10,614
国等／墨田区,23,1633,29,971,42,1409,62,2372,76,2548,71,2260,111,4062,97,3756,75,6984,85,7390
国等／江東区,21,157685,38,1650,17,882,33,4288,18,22871,33,5228,4,544,5,3750,9,776,10,4244
国等／品川区,16,1741,43,11494,23,12221,33,4981,48,6297,98,10001,162,12329,115,7784,148,8312,147,8345
国等／目黒区,42,2199,24,2750,54,4038,22,627,55,5037,42,2830,40,3790,46,4384,38,1928,32,2695
国等／大田区,70,7192,41,10806,58,5483,53,5489,104,6218,76,7931,41,4444,53,9508,20,2430,43,5673
国等／世田谷区,161,20394,204,48315,254,27291,240,52430,358,35282,302,38956,381,53384,337,40066,342,60733,325,34079
国等／渋谷区,32,3267,38,4760,21,1529,49,4042,40,8331,37,2041,21,2689,33,5612,14,14736,12,758
国等／中野区,34,9316,37,1830,33,10750,48,4063,121,42236,128,5725,121,10604,79,5762,101,4674,92,4347
国等／杉並区,22,4686,104,52373,56,45235,57,48875,72,72825,67,27915,19,7507,86,11840,53,29124,58,8449
国等／豊島区,45,2143,62,12597,32,8809,31,2090,42,3252,152,9947,190,12470,154,8683,141,8688,119,7033
国等／北区,68,8210,72,13973,52,18928,71,8939,84,36193,180,9810,154,24274,156,9998,116,14543,100,7539
国等／荒川区,34,1993,44,3483,74,6118,88,6966,99,5465,169,24135,159,11288,121,8958,162,9077,146,10000
国等／板橋区,11,816,20,27599,13,14053,22,5043,53,13896,43,4482,58,8805,61,17579,62,3378,56,5818
国等／練馬区,306,45923,377,56441,351,40447,435,55803,455,54268,394,66403,223,26483,235,42810,229,34544,165,36573
国等／足立区,164,20104,143,39966,135,21278,123,16257,146,25484,113,9723,121,14049,158,51475,130,5071,185,13545
国等／葛飾区,99,13636,246,40804,296,20330,154,16672,308,15265,172,23612,234,22560,241,9193,186,8498,174,21396
国等／江戸川区,196,19534,215,16300,196,11898,222,27877,126,12978,171,7436,250,16577,248,19910,182,12524,170,11176
国等／合計,1489,341074,2017,373814,1856,285346,1881,284384,2314,386696,2483,289766,2517,262520,2486,298296,2203,235891,2218,209315
合計／千代田区,558,118233,667,74388,678,72513,764,78559,745,82679,811,70780,857,74504,797,85650,737,74991,641,54348
合計／中央区,750,89306,840,93397,1031,102972,997,93513,1428,114128,1305,104393,1205,85382,1288,88688,1117,93368,1141,72848
合計／港区,1350,374125,1436,172392,1755,274274,1956,267200,1965,246872,1893,299328,1813,254556,1759,248302,1605,169290,1486,172771
合計／新宿区,2282,439681,2515,206085,2572,228632,2826,238439,2532,250700,2791,257397,2746,242783,2801,244324,2849,226277,2376,203891
合計／文京区,1221,226030,1573,107870,1829,131587,1760,132052,1817,132063,1754,133250,1871,145017,1701,124653,1719,117420,1672,109412
合計／台東区,1206,162566,1354,95444,1381,105020,1390,103192,1578,120290,1631,124431,1797,133618,1999,147837,1914,140597,1671,122943
合計／墨田区,1594,130113,1838,147257,1914,148304,2181,175488,2282,158900,2094,156062,2297,169772,2076,162529,2423,172013,2312,185023
合計／江東区,1662,543318,1926,272269,2074,313448,2023,253557,2251,297206,2133,390317,2263,222727,2635,261784,2559,292464,2176,248841
合計／品川区,2325,357348,2732,219951,2766,240559,2884,226303,2590,204082,2856,230572,3180,244772,3054,229546,3124,235867,3053,224422
合計／目黒区,1880,219727,2383,190618,2325,200249,2105,208984,2307,199559,2417,217712,2355,209653,2397,212087,2447,224252,2212,179204
合計／大田区,4550,531408,4849,441216,5152,477624,5461,544305,6144,580319,6208,589531,6152,553797,6036,538971,6383,529401,5720,473403
