区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数（件）,333,225,104,45,34,42,11,0,2,1,0,797
千代田区／面積（m2）,8460,15740,12582,7699,7805,14798,7489,0,4396,6681,0,85650
中央区／件数（件）,710,355,114,44,38,18,6,3,0,0,0,1288
中央区／面積（m2）,17445,24741,13868,7370,9503,7177,4166,4418,0,0,0,88688
港区／件数（件）,895,399,172,117,86,49,26,7,4,0,4,1759
港区／面積（m2）,17853,28679,21059,20230,20601,18145,16607,9369,11778,0,83981,248302
新宿区／件数（件）,1343,687,318,184,145,92,24,5,2,1,0,2801
新宿区／面積（m2）,22244,49432,38345,31603,34272,34957,15952,6631,5307,5581,0,244324
文京区／件数（件）,952,372,152,100,65,49,8,2,1,0,0,1701
文京区／面積（m2）,17921,26046,18795,17246,15943,17216,5498,2870,3118,0,0,124653
台東区／件数（件）,904,638,252,96,71,27,11,0,0,0,0,1999
台東区／面積（m2）,21271,45097,30613,16923,17083,9752,7098,0,0,0,0,147837
墨田区／件数（件）,1029,585,217,97,81,37,24,6,0,0,0,2076
墨田区／面積（m2）,21814,41002,26173,16755,19596,13530,15960,7699,0,0,0,162529
江東区／件数（件）,1461,634,210,98,90,81,36,15,6,4,0,2635
江東区／面積（m2）,28232,44334,25674,16840,21624,30246,25090,23606,20986,25152,0,261784
品川区／件数（件）,1712,715,255,158,97,77,33,2,4,1,0,3054
品川区／面積（m2）,28669,49473,31026,26981,23746,28414,20441,2658,11280,6858,0,229546
目黒区／件数（件）,1228,512,242,163,139,72,33,4,3,1,0,2397
目黒区／面積（m2）,17953,36852,29421,28384,33424,26900,22069,5685,6388,5011,0,212087
大田区／件数（件）,3025,1489,643,319,270,185,74,25,5,1,0,6036
大田区／面積（m2）,55588,105474,78272,54635,65175,70932,52757,34655,12485,8998,0,538971
世田谷区／件数（件）,4007,1966,1095,483,441,265,108,31,4,2,0,8402
世田谷区／面積（m2）,65672,141975,130854,83642,104314,97645,72193,42039,12925,18767,0,770026
渋谷区／件数（件）,1114,405,256,151,106,77,32,6,3,0,0,2150
渋谷区／面積（m2）,18719,28820,31248,25790,25359,28542,22337,7832,10277,0,0,198924
中野区／件数（件）,1319,760,337,180,119,61,23,9,1,0,0,2809
中野区／面積（m2）,22061,54662,40456,30957,28551,21550,16128,12137,2702,0,0,229204
杉並区／件数（件）,2837,1364,671,351,294,148,59,11,0,0,0,5735
杉並区／面積（m2）,48823,99862,80075,60537,70933,56313,40178,15116,0,0,0,471837
豊島区／件数（件）,1442,666,253,115,100,39,16,3,1,0,0,2635
豊島区／面積（m2）,24764,47578,30578,19718,23872,14238,10244,4120,3104,0,0,178216
北区／件数（件）,1600,734,283,129,87,75,44,9,7,0,2,2970
北区／面積（m2）,29604,50696,33835,22007,21190,27891,28778,11832,25169,0,26814,277816
荒川区／件数（件）,1253,458,168,81,80,40,26,3,0,0,0,2109
荒川区／面積（m2）,23211,31558,19856,13744,19433,15274,18087,4435,0,0,0,145598
板橋区／件数（件）,1990,1134,468,199,151,108,64,15,6,0,0,4135
板橋区／面積（m2）,33616,81359,56153,34253,36612,40922,43229,20700,16996,0,0,363840
練馬区／件数（件）,3406,1872,1173,342,269,153,112,40,6,4,0,7377
練馬区／面積（m2）,55826,136497,135409,58775,64278,58378,79737,52540,15388,28536,0,685364
足立区／件数（件）,3749,1976,750,305,262,238,135,23,3,2,3,7446
足立区／面積（m2）,57986,144874,88977,52329,63678,89421,88603,32277,6249,12741,54389,691524
葛飾区／件数（件）,2838,1377,448,193,165,107,60,9,1,0,0,5198
葛飾区／面積（m2）,47955,97968,53189,32881,39826,40594,41242,13559,4109,0,0,371323
江戸川区／件数（件）,3162,1664,474,253,171,160,93,9,5,0,0,5991
江戸川区／面積（m2）,57911,120594,56245,43579,41806,61782,61711,10709,17629,0,0,471966
合計／件数（件）,42309,20987,9055,4203,3361,2200,1058,237,64,17,9,83500
合計／面積（m2）,743598,1503313,1082703,722878,808624,824617,715594,324887,190286,118325,165184,7200009
