区名,100m2未満(千m2),200m2未満(千m2),300m2未満(千m2),500m2未満(千m2),1000m2未満(千m2),2000m2未満(千m2),5000m2未満(千m2),10000m2未満(千m2),10000m2以上(千m2),計(千m2),増減率(%)
千代田区,-119,-119,-85,-114,-146,-113,-56,-23,0,-776,-57.8
中央区,-168,-136,-83,-102,-119,-78,-52,-16,10,-744,-52.2
港区,-115,-231,-206,-366,-500,-377,-262,-86,-42,-2184,-53.8
新宿区,140,-143,-204,-400,-613,-445,-385,-154,-191,-2395,-33.7
文京区,190,6,-128,-283,-377,-299,-137,-82,-20,-1129,-25.7
台東区,103,-52,-112,-176,-227,-165,-145,-66,-15,-855,-26.6
墨田区,384,118,-46,-154,-307,-322,-417,-315,-154,-1212,-24
江東区,430,142,-1,-89,-248,-333,-565,-298,-556,-1517,-28.3
品川区,579,138,-51,-293,-412,-474,-594,-313,-325,-1747,-23.4
目黒区,564,543,54,-305,-423,-323,-613,-336,-513,-1352,-18.2
大田区,1682,1256,274,-260,-775,-770,-1425,-1420,-1848,-3285,-17.4
世田谷区,1951,2843,430,-565,-1133,-895,-1526,-1715,-1830,-2439,-8.8
渋谷区,143,-37,-140,-343,-565,-409,-353,-289,-179,-2172,-36.3
中野区,630,471,-7,-193,-296,-288,-335,-607,-580,-1206,-13.9
杉並区,1271,2013,263,-529,-724,-463,-894,-878,-1708,-1649,-8.8
豊島区,448,196,-40,-216,-338,-373,-515,-452,-260,-1551,-23
北区,590,317,29,-115,-199,-277,-576,-505,-479,-1215,-17.1
荒川区,426,159,12,-61,-211,-198,-457,-235,-359,-924,-21.2
板橋区,934,648,81,-37,-223,-258,-937,-1059,-1252,-2104,-15.5
練馬区,1063,2787,49,-283,-221,-304,-674,-933,-1151,333,1.4
足立区,1837,1640,326,291,163,-215,-739,-1382,-1594,328,1.7
葛飾区,1427,731,152,47,-159,-257,-834,-1162,-1300,-1357,-9.7
江戸川区,1812,962,221,102,-141,-436,-1120,-1011,-1290,-901,-5
区部計,16203,14251,787,-4444,-8195,-8071,-13610,-13337,-15637,-32053,-13.7
