区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),4,0,2,0,2,1,2,0,0,0,0,11
千代田区／面積(m2),55,0,241,0,479,446,1175,0,0,0,0,2396
中央区／件数(件),1,3,1,1,0,0,0,0,0,0,0,6
中央区／面積(m2),3,214,103,151,0,0,0,0,0,0,0,471
港区／件数(件),169,23,8,3,3,3,1,1,1,0,0,212
港区／面積(m2),5158,1575,916,490,640,1268,609,1626,2130,0,0,14412
新宿区／件数(件),27,11,2,1,0,0,0,0,0,0,0,41
新宿区／面積(m2),423,838,246,198,0,0,0,0,0,0,0,1705
文京区／件数(件),15,3,1,0,0,0,0,0,0,0,0,19
文京区／面積(m2),279,238,140,0,0,0,0,0,0,0,0,657
台東区／件数(件),6,1,2,0,1,0,0,0,0,0,0,10
台東区／面積(m2),86,68,230,0,230,0,0,0,0,0,0,614
墨田区／件数(件),64,10,5,2,2,0,1,0,1,0,0,85
墨田区／面積(m2),1137,621,545,343,501,0,722,0,3521,0,0,7390
江東区／件数(件),2,2,1,1,1,0,2,0,1,0,0,10
江東区／面積(m2),65,177,119,176,265,0,1399,0,2043,0,0,4244
品川区／件数(件),85,37,12,8,4,1,0,0,0,0,0,147
品川区／面積(m2),1623,2597,1466,1324,891,444,0,0,0,0,0,8345
目黒区／件数(件),16,6,3,4,2,1,0,0,0,0,0,32
目黒区／面積(m2),459,361,399,720,406,350,0,0,0,0,0,2695
大田区／件数(件),23,8,1,4,4,1,1,1,0,0,0,43
大田区／面積(m2),412,550,103,676,1025,316,660,1931,0,0,0,5673
世田谷区／件数(件),184,61,25,18,23,8,5,0,0,1,0,325
世田谷区／面積(m2),2928,4476,2986,3186,5559,2878,2940,0,0,9126,0,34079
渋谷区／件数(件),5,3,4,0,0,0,0,0,0,0,0,12
渋谷区／面積(m2),114,205,439,0,0,0,0,0,0,0,0,758
中野区／件数(件),63,20,5,2,1,0,1,0,0,0,0,92
中野区／面積(m2),966,1359,601,336,211,0,874,0,0,0,0,4347
杉並区／件数(件),21,11,13,3,2,4,4,0,0,0,0,58
杉並区／面積(m2),420,902,1573,514,438,1701,2901,0,0,0,0,8449
豊島区／件数(件),60,40,13,2,3,0,1,0,0,0,0,119
豊島区／面積(m2),1071,2767,1526,351,714,0,604,0,0,0,0,7033
北区／件数(件),65,12,16,1,1,3,1,1,0,0,0,100
北区／面積(m2),901,767,1954,172,250,1103,538,1854,0,0,0,7539
荒川区／件数(件),91,28,7,8,8,2,2,0,0,0,0,146
荒川区／面積(m2),1337,2004,871,1424,1869,788,1707,0,0,0,0,10000
板橋区／件数(件),24,8,9,8,2,4,1,0,0,0,0,56
板橋区／面積(m2),241,664,1039,1406,443,1384,641,0,0,0,0,5818
練馬区／件数(件),78,26,13,7,7,7,20,5,2,0,0,165
練馬区／面積(m2),1124,1931,1581,1134,1707,2516,14660,6879,5041,0,0,36573
足立区／件数(件),132,25,10,2,8,3,3,2,0,0,0,185
足立区／面積(m2),1999,1796,1205,360,2105,983,2143,2954,0,0,0,13545
葛飾区／件数(件),106,24,13,10,6,7,3,5,0,0,0,174
葛飾区／面積(m2),1936,1661,1594,1756,1528,2906,2032,7983,0,0,0,21396
江戸川区／件数(件),121,20,9,6,8,2,3,1,0,0,0,170
江戸川区／面積(m2),1879,1482,1075,1054,2040,756,1810,1080,0,0,0,11176
合計／件数(件),1362,382,175,91,88,47,51,16,5,1,0,2218
合計／面積(m2),24616,27253,20952,15771,21301,17839,35415,24307,12735,9126,0,209315
