区分,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年
50m2未満／件数(件),23495,38451,43375,40188,42194,40728,42542,42309,44096,41384
50m2未満／面積(m2),437264,578674,737632,685788,721565,715745,742717,743598,769645,731060
50m2以上100m2未満／件数(件),20620,18678,21133,20251,21162,20712,21414,20987,21968,20239
50m2以上100m2未満／面積(m2),1518284,1346989,1507841,1450529,1516037,1488529,1539127,1503313,1570158,1445207
100m2以上150m2未満／件数(件),9272,7184,8658,8608,9428,9431,9660,9055,9243,8232
100m2以上150m2未満／面積(m2),1103522,859320,1026157,1024336,1121149,1126002,1154433,1082703,1100533,979870
150m2以上200m2未満／件数(件),3708,3132,3593,3579,3952,4179,4255,4203,4019,3496
150m2以上200m2未満／面積(m2),638139,542362,620079,615635,679882,719034,733190,722878,691474,600684
200m2以上300m2未満／件数(件),3339,2581,3056,3016,3259,3404,3481,3361,3273,2909
200m2以上300m2未満／面積(m2),806345,627551,735791,728472,788098,818572,836706,808624,790357,701178
300m2以上500m2未満／件数(件),2161,1860,2085,2083,2286,2149,2300,2200,2118,1854
300m2以上500m2未満／面積(m2),817647,704280,787097,790512,860246,808369,860646,824617,795343,695972
500m2以上1000m2未満／件数(件),1157,945,1070,1136,1010,1111,1060,1058,935,885
500m2以上1000m2未満／面積(m2),789864,640922,728808,770371,688868,758449,715784,715594,633047,602877
1000m2以上2000m2未満／件数(件),351,339,340,280,282,284,231,237,229,204
1000m2以上2000m2未満／面積(m2),465315,453369,454324,372112,376674,380933,307510,324887,303257,275051
2000m2以上5000m2未満／件数(件),183,100,111,111,101,87,75,64,76,54
2000m2以上5000m2未満／面積(m2),606643,286818,320813,329631,299358,253653,207352,190286,211179,155109
5000m2以上10000m2未満／件数(件),44,20,30,25,22,17,14,17,12,7
5000m2以上10000m2未満／面積(m2),304913,138437,209160,175562,159236,123256,91595,118325,83625,51070
10000m2以上／件数(件),26,11,14,12,12,9,5,9,5,7
10000m2以上／面積(m2),662152,174884,202890,197820,211468,184600,67899,165184,88149,98695
合計／件数(件),64356,73301,83465,79289,83708,82111,85037,83500,85974,79271
合計／面積(m2),8150089,6353605,7330592,7140768,7422581,7377142,7256959,7200009,7036767,6336773
