区市町村名,平成25年／全体／件数(件),平成25年／全体／面積(m2),平成25年／法人関与／件数(件),平成25年／法人関与／面積(m2),平成25年／法人関与率／件数(%),平成25年／法人関与率／面積(%),平成26年／全体／件数(件),平成26年／全体／面積(m2),平成26年／法人関与／件数(件),平成26年／法人関与／面積(m2),平成26年／法人関与率／件数(%),平成26年／法人関与率／面積(%),平成27年／全体／件数(件),平成27年／全体／面積(m2),平成27年／法人関与／件数(件),平成27年／法人関与／面積(m2),平成27年／法人関与率／件数(%),平成27年／法人関与率／面積(%),平成28年／全体／件数(件),平成28年／全体／面積(m2),平成28年／法人関与／件数(件),平成28年／法人関与／面積(m2),平成28年／法人関与率／件数(%),平成28年／法人関与率／面積(%),平成29年／全体／件数(件),平成29年／全体／面積(m2),平成29年／法人関与／件数(件),平成29年／法人関与／面積(m2),平成29年／法人関与率／件数(%),平成29年／法人関与率／面積(%),平成30年／全体／件数(件),平成30年／全体／面積(m2),平成30年／法人関与／件数(件),平成30年／法人関与／面積(m2),平成30年／法人関与率／件数(%),平成30年／法人関与率／面積(%),平成31年／全体／件数(件),平成31年／全体／面積(m2),平成31年／法人関与／件数(件),平成31年／法人関与／面積(m2),平成31年／法人関与率／件数(%),平成31年／法人関与率／面積(%),令和2年／全体／件数(件),令和2年／全体／面積(m2),令和2年／法人関与／件数(件),令和2年／法人関与／面積(m2),令和2年／法人関与率／件数(%),令和2年／法人関与率／面積(%),令和3年／全体／件数(件),令和3年／全体／面積(m2),令和3年／法人関与／件数(件),令和3年／法人関与／面積(m2),令和3年／法人関与率／件数(%),令和3年／法人関与率／面積(%),令和4年／全体／件数(件),令和4年／全体／面積(m2),令和4年／法人関与／件数(件),令和4年／法人関与／面積(m2),令和4年／法人関与率／件数(%),令和4年／法人関与率／面積(%)
千代田区,830,92200,613,80153,73.9,86.9,876,101531,681,87631,77.7,86.3,851,99767,659,88153,77.4,88.4,914,116595,756,79914,82.7,68.5,1037,94465,834,84538,80.4,89.5,934,106329,795,91537,85.1,86.1,838,83097,655,74638,78.2,89.8,735,62972,617,55633,83.9,88.3,737,76266,631,70373,85.6,92.3,755,79802,594,71789,78.7,90
中央区,1227,128347,870,109858,70.9,85.6,1181,113000,893,99635,75.6,88.2,1642,141174,1151,126449,70.1,89.6,1420,118764,1145,106906,80.6,90,1389,108830,1030,96196,74.2,88.4,1453,99947,1125,87041,77.4,87.1,1360,119437,1080,109102,79.4,91.3,1318,113349,1087,103004,82.5,90.9,1261,98511,1023,90799,81.1,92.2,1215,138051,1002,99668,82.5,72.2
港区,2049,336115,1303,274209,63.6,81.6,2239,309300,1567,270332,70,87.4,2295,314819,1619,272408,70.5,86.5,2209,392246,1472,339825,66.6,86.6,1987,287354,1361,238605,68.5,83,2011,286815,1210,228948,60.2,79.8,1844,201124,1258,170277,68.2,84.7,1817,336745,1138,299290,62.6,88.9,1540,236358,978,208996,63.5,88.4,1690,228697,1108,198140,65.6,86.6
新宿区,2884,262687,1363,176866,47.3,67.3,3244,317764,1501,226186,46.3,71.2,2808,269072,1409,191541,50.2,71.2,3152,292253,1583,191843,50.2,65.6,3080,306822,1715,233889,55.7,76.2,3205,293090,1828,223648,57,76.3,3207,261031,1767,195132,55.1,74.8,2755,243818,1436,183609,52.1,75.3,2980,237411,1604,178399,53.8,75.1,3212,268777,1972,208562,61.4,77.6
文京区,2173,151136,939,95399,43.2,63.1,1935,143775,855,94894,44.2,66,2033,146802,910,95871,44.8,65.3,1910,144977,919,99741,48.1,68.8,2105,160658,1048,109655,49.8,68.3,1898,135074,883,89939,46.5,66.6,1905,132682,896,87216,47,65.7,1874,124577,834,81890,44.5,65.7,1591,120715,746,82987,46.9,68.7,2024,144341,1022,101591,50.5,70.4
台東区,1639,121848,844,83661,51.5,68.7,1600,115337,921,81873,57.6,71,1753,131813,1039,96982,59.3,73.6,1801,135541,1130,101248,62.7,74.7,1959,143720,1285,113714,65.6,79.1,2181,161808,1528,129126,70.1,79.8,2050,152935,1452,124864,70.8,81.6,1817,136125,1273,110439,70.1,81.1,1875,146359,1364,121744,72.7,83.2,2069,159017,1583,134621,76.5,84.7
墨田区,2271,180450,988,109837,43.5,60.9,2398,188667,1141,127950,47.6,67.8,2535,199977,1230,117556,48.5,58.8,2255,164081,1107,111370,49.1,67.9,2574,189290,1280,132450,49.7,70,2249,174981,1183,124797,52.6,71.3,2598,184762,1431,131853,55.1,71.4,2503,200092,1319,145117,52.7,72.5,2471,186650,1343,137026,54.4,73.4,2728,217614,1646,168415,60.3,77.4
江東区,2306,409672,1098,352371,47.6,86,2178,289911,991,227672,45.5,78.5,2486,358751,1219,279813,49,78,2330,434698,1151,370575,49.4,85.2,2480,310089,1322,252706,53.3,81.5,2847,313339,1566,252129,55,80.5,2762,377929,1464,321243,53,85,2394,364266,1259,312393,52.6,85.8,2433,297311,1314,253867,54,85.4,2726,344236,1523,294079,55.9,85.4
品川区,3151,292827,1186,195224,37.6,66.7,3302,310604,1203,206954,36.4,66.6,2952,236045,1265,158645,42.9,67.2,3176,252143,1312,169348,41.3,67.2,3473,285301,1445,199512,41.6,69.9,3420,266240,1499,185081,43.8,69.5,3577,280334,1444,190680,40.4,68,3346,249635,1324,166021,39.6,66.5,3173,264660,1442,173530,45.4,65.6,3071,248624,1540,181867,50.1,73.1
目黒区,2839,242215,908,128787,32,53.2,2440,268188,876,176613,35.9,65.9,2740,236555,943,129144,34.4,54.6,2717,237763,1069,149465,39.3,62.9,2656,232083,994,141119,37.4,60.8,2675,234593,1134,154846,42.4,66,2876,267302,1118,167956,38.9,62.8,2570,212589,1010,124992,39.3,58.8,2635,226777,1065,144514,40.4,63.7,2490,248814,1183,179499,47.5,72.1
大田区,6050,566815,2108,338915,34.8,59.8,6165,593096,2179,360556,35.3,60.8,6844,716974,2693,476348,39.3,66.4,6881,656023,2700,412031,39.2,62.8,7291,635779,3106,380249,42.6,59.8,6636,599049,2751,380519,41.5,63.5,7042,597498,2845,382132,40.4,64,6255,537255,2497,338799,39.9,63.1,6863,580418,2757,367553,40.2,63.3,6077,611579,2716,427250,44.7,69.9
世田谷区,10500,937549,3410,497144,32.5,53,9847,973788,3269,533777,33.2,54.8,10079,916462,3492,492768,34.6,53.8,9779,872246,3520,472246,36,54.1,9856,921170,3584,499177,36.4,54.2,9534,867422,3498,479581,36.7,55.3,9936,913454,3537,492864,35.6,54,9116,839203,3050,455304,33.5,54.3,9297,894587,3443,519859,37,58.1,8958,867430,3561,520518,39.8,60
渋谷区,2915,246931,1481,172907,50.8,70,2679,247549,1364,173992,50.9,70.3,2440,259397,1285,186916,52.7,72.1,2543,259136,1284,175011,50.5,67.5,2929,294620,1647,224824,56.2,76.3,2407,224167,1317,166418,54.7,74.2,2637,245826,1491,176964,56.5,72,1957,177540,1073,132906,54.8,74.9,2186,199188,1176,153265,53.8,76.9,2269,202998,1260,152608,55.5,75.2
中野区,3299,262718,1199,140802,36.3,53.6,3365,272843,1251,157120,37.2,57.6,3842,337292,1458,174847,37.9,51.8,3274,237079,1243,130312,38,55,3625,302833,1494,180636,41.2,59.6,3209,262264,1455,164389,45.3,62.7,3697,283141,1535,175453,41.5,62,3525,249827,1431,155297,40.6,62.2,3493,280785,1440,166449,41.2,59.3,3600,293461,1813,204662,50.4,69.7
杉並区,7238,673463,2514,335051,34.7,49.8,6365,557558,2052,244140,32.2,43.8,7392,680861,2705,341510,36.6,50.2,6613,553605,2388,279369,36.1,50.5,6513,554060,2408,310046,37,56,6449,536026,2418,300493,37.5,56.1,6779,592715,2475,335604,36.5,56.6,6531,512501,2327,276289,35.6,53.9,6449,535824,2298,305047,35.6,56.9,6124,528175,2571,343880,42,65.1
豊島区,2796,207100,1081,115919,38.7,56,2779,191369,1025,110377,36.9,57.7,2784,205791,1178,126418,42.3,61.4,2993,213789,1248,125620,41.7,58.8,3108,227369,1325,142735,42.6,62.8,2876,192430,1306,122778,45.4,63.8,3166,210216,1349,131601,42.6,62.6,2681,194475,1148,127383,42.8,65.5,2632,185262,1171,117885,44.5,63.6,2707,195653,1384,138735,51.1,70.9
北区,2512,206281,850,108969,33.8,52.8,2617,319664,924,225806,35.3,70.6,3195,249882,1209,133197,37.8,53.3,3179,228256,1202,130910,37.8,57.4,2900,249606,1088,146495,37.5,58.7,3210,297451,1466,215603,45.7,72.5,3272,277619,1508,192421,46.1,69.3,3032,204115,1265,128448,41.7,62.9,3078,212054,1416,144254,46,68,3279,241094,1603,168142,48.9,69.7
荒川区,2103,128528,797,63112,37.9,49.1,1737,135891,651,78110,37.5,57.5,1855,130577,769,77927,41.5,59.7,2017,152709,760,81779,37.7,53.6,2022,141783,851,85940,42.1,60.6,2250,153572,949,97189,42.2,63.3,2327,141371,934,83550,40.1,59.1,2225,136061,954,84385,42.9,62,2478,173766,1143,99681,46.1,57.4,2246,155018,1118,101378,49.8,65.4
板橋区,4577,430947,1614,245615,35.3,57,4578,402267,1728,241107,37.7,59.9,4799,415561,1779,252074,37.1,60.7,4604,406028,1855,255242,40.3,62.9,4439,403592,1859,257219,41.9,63.7,4519,413728,1896,253800,42,61.3,4839,413925,2048,278433,42.3,67.3,4435,362292,1789,224467,40.3,62,4609,577195,2059,453892,44.7,78.6,5157,479156,2518,357854,48.8,74.7
練馬区,8645,734746,2707,366483,31.3,49.9,8359,733983,2648,372399,31.7,50.7,8686,729383,2789,361837,32.1,49.6,8998,813923,3106,423483,34.5,52,8335,728923,3013,401513,36.1,55.1,8370,763387,3124,425921,37.3,55.8,8500,704255,3002,382097,35.3,54.3,8156,687787,2818,366150,34.6,53.2,8868,726905,3276,397138,36.9,54.6,8262,710890,3455,402222,41.8,56.6
足立区,9263,727986,4071,402958,43.9,55.4,8922,716422,3995,397207,44.8,55.4,8585,756061,3365,416901,39.2,55.1,7609,668910,3208,395852,42.2,59.2,8900,697243,4029,403147,45.3,57.8,8009,734913,3706,455463,46.3,62,8437,660021,3685,410557,43.7,62.2,8057,609784,3350,351337,41.6,57.6,8374,625844,3877,399364,46.3,63.8,8813,694136,4339,462886,49.2,66.7
葛飾区,5658,410017,2120,209615,37.5,51.1,4969,356968,1915,188116,38.5,52.7,5532,390008,2079,202936,37.6,52,4999,397938,2074,220869,41.5,55.5,5837,412123,2692,231017,46.1,56.1,5632,415745,2456,249645,43.6,60,5739,401208,2588,241481,45.1,60.2,5039,367437,2128,208217,42.2,56.7,5327,371689,2373,206775,44.5,55.6,5635,413035,2721,268324,48.3,65
江戸川区,6959,521646,2709,294592,38.9,56.5,6182,500351,2403,268484,38.9,53.7,6477,537036,2654,321027,41,59.8,6045,506943,2505,315994,41.4,62.3,6605,579614,2879,335720,43.6,57.9,6531,739739,2881,518566,44.1,70.1,6318,489459,2687,295598,42.5,60.4,6383,472618,2540,270763,39.8,57.3,6196,475652,2652,280863,42.8,59,6227,529987,2850,338498,45.8,63.9
区部計,93884,8272224,36773,4898447,39.2,59.2,89957,8159826,36033,4950931,40.1,60.7,94605,8460060,38899,5121268,41.1,60.5,91418,8255646,38737,5138953,42.4,62.2,95100,8267327,42289,5201102,44.5,62.9,92505,8272109,41974,5397457,45.4,65.2,95706,7991341,42249,5151716,44.1,64.5,88521,7395063,37667,4702133,42.6,63.6,90546,7730187,40591,5074260,44.8,65.6,91334,8000585,45082,5525188,49.4,69.1
