区市町村名：用途　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年
千代田区：住宅地,　　―,23.2,43.9,91.8,33,4.4,-1,1.4,-0.9,-17.8,-27.7,-26.2,-33.1,-25.8,-12.9,-3.2,-4.9,-2.5,0,0,0.7,1.6,10.4,16.2,7.7,-12.3,-6.2,-0.8,-0.2,3.1,5.5,5.8,10,5
千代田区：商業地,15.7,26.8,47.6,65.2,32.7,2.8,0,1.5,-0.6,-15.3,-27.8,-29.9,-29.1,-23.3,-11.4,-4.6,-7.1,-6.3,-7.4,-7.1,-4.7,-1.1,11.4,22.6,7.9,-15.7,-8.7,-3.2,-1.2,1.2,5.3,5.9,7.3,6.2
千代田区：全用途平均,15.7,26.1,46.9,67.4,32.7,2.9,0,1.5,-0.6,-15.5,-27.8,-29.5,-29.6,-23.5,-11.6,-4.4,-6.8,-5.9,-6.5,-6.3,-4,-0.8,11.3,21.9,7.8,-15.2,-8.3,-2.9,-1.1,1.5,5.3,5.9,7.7,6.1
中央区：住宅地,　　―,9.5,18,44.9, 　　―,-5.1,0,1.6,-2.9,-18.9,-37.2,-25.8,-33.4,-28.1,-2.5,-1.9,-3.8,-0.8,-2.4,-2.5,-0.5,0,10.9,23.3,2.9,-12.5,-0.7,-0.9,-0.4,2.3,7.5,8.8,5.5,4.8
中央区：商業地,12.8,24.5,44.4,59,39.3,2.2,0.4,2.3,-0.4,-12.7,-26.4,-32.1,-30.1,-26,-11.6,-5.9,-8.5,-10.2,-8.7,-6.7,-3,-0.2,12,25.8,10.4,-15,-10.8,-3,-1.4,1.1,6.4,7.7,10.4,8
中央区：全用途平均,12.8,22.7,41.1,57.9,39.3,2,0.4,2.2,-0.5,-13,-26.9,-31.8,-30.2,-26.1,-11.1,-5.7,-8.2,-9.9,-8.3,-6.5,-2.8,-0.2,12,25.6,9.9,-14.8,-10.1,-2.9,-1.3,1.2,6.5,7.8,9.9,7.7
港区：住宅地,6.7,9.5,17.8,42.7,75.9,-8.2,-5.5,-3.2,-7.9,-29,-29.7,-33.9,-22.3,-17.2,-6.2,-2,-4.2,-1.7,0.7,0,0,1.4,24,24.1,-2.3,-12,-4.9,-2.1,-0.2,2.7,5.4,4.5,4.3,3.9
港区：商業地,9.4,22.6,39.1,55.1,37.3,-5.4,-0.2,3.3,-4.2,-14.4,-30.5,-36.6,-28.1,-21.9,-9.6,-4.2,-8.8,-5.2,-1.9,-1.4,-1.2,0.6,19.6,28.6,3.1,-17.1,-7.3,-4.5,-1.4,1.6,4.9,7.8,6.4,7
港区：全用途平均,8.1,17.4,27,49.8,43.9,-6.4,-1.1,1.9,-5.1,-17.6,-30.2,-35.6,-26.3,-20.3,-8.7,-3.6,-7.8,-4.5,-1.4,-1.1,-1,0.6,20.6,27.3,1.6,-15.3,-6.6,-3.9,-1.1,1.8,5,6.9,5.7,6.2
新宿区：住宅地,4,3.1,5.6,53.1,85,-1.5,-5.3,-0.5,-7.1,-22,-27.1,-17.7,-14.4,-11.2,-3.8,-2.1,-2.7,-0.8,-0.7,-2.6,-1.4,-0.6,3.2,14.6,2.3,-10.6,-4,-1.3,-0.5,1.2,2.8,3.1,3.1,3.8
新宿区：商業地,9.9,14.6,26.7,63.5,53.6,1.4,1,2.8,-2.2,-13.9,-31.5,-27.5,-25.3,-19.8,-7.9,-6.7,-7.4,-4,-2.5,-4.7,-3.6,-1.8,4.6,21.8,8.7,-13.9,-6.5,-3,-1.3,1,3.7,5.3,5.1,6.4
新宿区：全用途平均,7.6,9.6,15.7,58.4,55.5,0.3,-1.4,1.6,-3.8,-16.3,-29.7,-24.2,-21.8,-17.2,-6.4,-5.2,-6.1,-3,-2,-4,-2.9,-1.4,4.2,19.6,6.6,-12.9,-5.7,-2.5,-1.1,1,3.4,4.6,4.5,5.7
