区市町村名,合計面積(千m2),住宅・アパート／面積(千m2),住宅・アパート／構成比(%),事務所・店舗等／面積(千m2),事務所・店舗等／構成比(%),事務所・店舗等／事務所・銀行／面積(千m2),事務所・店舗等／事務所・銀行／構成比(%),工場・倉庫／面積(千m2),工場・倉庫／構成比(%),その他／面積(千m2),その他／構成比(%)
区部／千代田区,25255,4231,16.8,19155,75.8,18221,72.1,256,1,1614,6.4
区部／中央区,23492,7933,33.8,14045,59.8,12366,52.6,420,1.8,1094,4.7
区部／港区,38162,15669,41.1,19619,51.4,18279,47.9,724,1.9,2150,5.6
区部／新宿区,26387,15257,57.8,9436,35.8,7382,28,396,1.5,1298,4.9
区部／文京区,12869,9697,75.4,2483,19.3,2209,17.2,231,1.8,457,3.6
区部／台東区,14295,9593,67.1,3320,23.2,2586,18.1,356,2.5,1025,7.2
区部／墨田区,14182,10886,76.8,2051,14.5,1335,9.4,888,6.3,357,2.5
区部／江東区,32016,18536,57.9,6622,20.7,5344,16.7,5865,18.3,993,3.1
区部／品川区,23904,15344,64.2,6216,26,5538,23.2,1700,7.1,644,2.7
区部／目黒区,13735,11724,85.4,1647,12,1285,9.4,156,1.1,208,1.5
区部／大田区,36893,26520,71.9,4211,11.4,3228,8.7,4769,12.9,1393,3.8
区部／世田谷区,39166,35563,90.8,2686,6.9,1534,3.9,507,1.3,411,1
区部／渋谷区,21244,12340,58.1,8064,38,6447,30.3,180,0.8,661,3.1
区部／中野区,13939,12339,88.5,1345,9.7,1044,7.5,102,0.7,153,1.1
区部／杉並区,23287,21267,91.3,1408,6,874,3.8,313,1.3,299,1.3
区部／豊島区,16344,11464,70.1,4033,24.7,2650,16.2,191,1.2,657,4
区部／北区,14510,12153,83.8,1259,8.7,824,5.7,772,5.3,326,2.2
区部／荒川区,9343,7925,84.8,680,7.3,513,5.5,466,5,271,2.9
区部／板橋区,23640,19895,84.2,1619,6.8,950,4,1688,7.1,438,1.9
区部／練馬区,28222,25787,91.4,1528,5.4,721,2.6,518,1.8,390,1.4
区部／足立区,28127,23099,82.1,2101,7.5,832,3,2200,7.8,728,2.6
区部／葛飾区,18135,15791,87.1,1227,6.8,532,2.9,819,4.5,298,1.6
区部／江戸川区,26820,22845,85.2,1856,6.9,980,3.7,1693,6.3,426,1.6
区部／区部計,523969,365857,69.8,116613,22.3,95678,18.3,25210,4.8,16289,3.1
市部／八王子市,28198,21571,76.5,3295,11.7,1628,5.8,2651,9.4,681,2.4
市部／立川市,9262,6336,68.4,1475,15.9,1005,10.8,571,6.2,880,9.5
市部／武蔵野市,7383,5693,77.1,1421,19.3,694,9.4,145,2,123,1.7
