区市名,所有者数／個人(人),所有者数／法人(人),所有者数／計(人),面積／個人(千ｍ2),面積／法人(千ｍ2),面積／計(千ｍ2),所有者数構成比／個人(%),所有者数構成比／法人(%),面積構成比／個人(%),面積構成比／法人(%)
区部／千代田区,4713,3405,8118,553,2966,3519,58.1,41.9,15.7,84.3
区部／中央区,7413,4399,11812,672,2384,3056,62.8,37.2,22,78
区部／港区,12653,5445,18098,1846,6081,7927,69.9,30.1,23.3,76.7
区部／新宿区,32624,5879,38503,4658,3820,8478,84.7,15.3,54.9,45.1
区部／文京区,25909,2978,28887,3233,1760,4993,89.7,10.3,64.7,35.3
区部／台東区,22051,4825,26876,2328,1950,4278,82,18,54.4,45.6
区部／墨田区,29639,3646,33285,3802,2375,6177,89,11,61.6,38.4
区部／江東区,30145,4452,34597,3799,9164,12963,87.1,12.9,29.3,70.7
区部／品川区,41886,3926,45812,5674,6129,11803,91.4,8.6,48.1,51.9
区部／目黒区,36880,3150,40030,6050,2143,8193,92.1,7.9,73.8,26.2
区部／大田区,92139,7066,99205,15557,7663,23220,92.9,7.1,67,33
区部／世田谷区,134627,7042,141669,26152,6690,32842,95,5,79.6,20.4
区部／渋谷区,23813,4878,28691,3758,3258,7016,83,17,53.6,46.4
区部／中野区,48088,3567,51655,7438,1926,9363,93.1,6.9,79.4,20.6
区部／杉並区,96002,4640,100642,17522,3189,20710,95.4,4.6,84.6,15.4
区部／豊島区,35403,3882,39285,5140,2198,7338,90.1,9.9,70,30
区部／北区,40689,2935,43624,5876,3633,9509,93.3,6.7,61.8,38.2
区部／荒川区,24792,2265,27057,3396,1798,5194,91.6,8.4,65.4,34.6
区部／板橋区,65138,4398,69536,11559,4619,16178,93.7,6.3,71.4,28.6
区部／練馬区,124736,4479,129215,25307,3661,28968,96.5,3.5,87.4,12.6
区部／足立区,105289,5569,110858,20603,6084,26687,95,5,77.2,22.8
区部／葛飾区,74125,3954,78079,12844,3352,16196,94.9,5.1,79.3,20.7
区部／江戸川区,98071,4942,103013,17328,5020,22348,95.2,4.8,77.5,22.5
区部／区部計,1206825,101722,1308547,205095,91860,296955,92.2,7.8,69.1,30.9
市部／八王子市,123553,4327,127880,62896,27569,90465,96.6,3.4,69.5,30.5
市部／立川市,31641,1388,33029,10394,3512,13906,95.8,4.2,74.7,25.3
市部／武蔵野市,22314,1083,23397,5398,1383,6781,95.4,4.6,79.6,20.4
市部／三鷹市,32940,1109,34049,8748,1553,10302,96.7,3.3,84.9,15.1
市部／青梅市,36458,1343,37801,41221,19154,60375,96.4,3.6,68.3,31.7
市部／府中市,45680,1542,47222,11098,4044,15142,96.7,3.3,73.3,26.7
市部／昭島市,21274,873,22147,5851,3247,9098,96.1,3.9,64.3,35.7
市部／調布市,38011,1368,39379,9882,2081,11963,96.5,3.5,82.6,17.4
市部／町田市,101626,3067,104693,34286,7580,41865,97.1,2.9,81.9,18.1
市部／小金井市,24412,722,25134,5765,892,6657,97.1,2.9,86.6,13.4
市部／小平市,49446,1760,51206,10444,2654,13098,96.6,3.4,79.7,20.3
市部／日野市,41683,1190,42873,11103,3291,14394,97.2,2.8,77.1,22.9
市部／東村山市,33798,920,34718,8534,1372,9906,97.4,2.6,86.2,13.8
市部／国分寺市,27608,1007,28615,6715,1340,8055,96.5,3.5,83.4,16.6
市部／国立市,13529,659,14188,3926,844,4770,95.4,4.6,82.3,17.7
市部／福生市,10844,429,11273,3242,660,3902,96.2,3.8,83.1,16.9
市部／狛江市,18260,676,18936,3567,417,3985,96.4,3.6,89.5,10.5
市部／東大和市,18534,522,19056,5232,820,6052,97.3,2.7,86.5,13.5
市部／清瀬市,14709,335,15044,5085,814,5899,97.8,2.2,86.2,13.8
市部／東久留米市,37770,1106,38876,7160,1271,8431,97.2,2.8,84.9,15.1
市部／武蔵村山市,19870,599,20469,7189,1662,8851,97.1,2.9,81.2,18.8
市部／多摩市,40914,902,41816,6716,3447,10163,97.8,2.2,66.1,33.9
市部／稲城市,14677,524,15201,5906,3445,9350,96.6,3.4,63.2,36.8
市部／羽村市,12924,424,13348,4126,1949,6075,96.8,3.2,67.9,32.1
市部／あきる野市,27926,767,28693,30931,6783,37714,97.3,2.7,82,18
市部／西東京市,56782,3565,60347,9092,1336,10428,94.1,5.9,87.2,12.8
市部／市部計,917183,32207,949390,324507,103119,427626,96.6,3.4,75.9,24.1
区部・市部計,2124008,133929,2257937,529602,194980,724581,94.1,5.9,73.1,26.9
