摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1294496,98.9,202892,68.3,190241,94.3,60658,35.3
区部／2000m2以上,14051,1.1,94063,31.7,11503,5.7,111236,64.7
区部／計,1308547,100,296955,100,201744,100,171894,100
市部／2000m2未満,926469,97.6,193013,45.1,897320,98.8,176632,71.5
市部／2000m2以上,22921,2.4,234613,54.9,11343,1.2,70397,28.5
市部／計,949390,100,427626,100,908663,100,247029,100
区市計／2000m2未満,2220965,98.4,395906,54.6,1087561,97.9,237290,56.6
区市計／2000m2以上,36972,1.6,328676,45.4,22846,2.1,181633,43.4
区市計／計,2257937,100,724581,100,1110407,100,418922,100
