区市町村名,住宅地：変動率,住宅地：継続地点数,商業地：変動率,商業地：継続地点数,工業地：変動率,工業地：継続地点数,全用途平均：変動率,全用途平均：継続地点数
千代田区,5,4,6.2,27,　　― ,　　― ,6.1,31
中央区,4.8,3,8,25,　　― ,　　― ,7.7,28
港区,3.9,9,7,26,4,1,6.2,36
新宿区,3.8,11,6.4,28,　　― ,　　― ,5.7,39
文京区,5.1,7,7,11,　　― ,　　― ,6.3,18
台東区,3.9,2,7.4,22,　　― ,　　― ,7.1,24
墨田区,3.2,5,4.1,14,　　― ,　　― ,3.9,19
江東区,3.8,14,4.6,11,5.8,2,4.3,27
品川区,4,10,5.1,12,　　― ,　　― ,4.6,22
目黒区,5,9,5.1,7,　　― ,　　― ,5,16
大田区,2.7,25,3.2,16,5.5,2,3,43
世田谷区,3.1,45,5.2,16,　　― ,　　― ,3.7,61
渋谷区,3.6,10,8.6,16,　　― ,　　― ,6.7,26
中野区,3.3,10,6,9,　　― ,　　― ,4.6,19
杉並区,3.3,23,8,14,　　― ,　　― ,5.1,37
豊島区,4,9,6.1,13,　　― ,　　― ,5.3,22
北区,4.2,10,4.9,10,2,1,4.5,21
荒川区,5.3,6,5,8,　　― ,　　― ,5.1,14
板橋区,3.4,16,4.3,13,　　― ,　　― ,3.8,29
練馬区,1.9,34,4.6,12,　　― ,　　― ,2.6,46
足立区,3.4,27,4.3,20,2.1,1,3.7,48
葛飾区,2,20,3.8,8,1.4,1,2.4,29
江戸川区,3.1,28,3.9,11,　　― ,　　― ,3.3,39
区部,3.3,337,5.9,349,4,8,4.6,694
八王子市,0.2,72,0.6,14,1.3,1,0.3,89
立川市,1.3,15,5,6,　　― ,　　― ,2.4,21
武蔵野市,3.8,8,5.8,7,　　― ,　　― ,4.7,15
三鷹市,2.6,12,4.8,3,　　― ,　　― ,3,15
青梅市,-0.7,15,0.2,4,6.8,2,0.2,21
府中市,1,19,1.9,6,　　― ,　　― ,1.2,25
昭島市,0.8,10,1.8,3,1.4,1,1,14
調布市,1.1,16,3.4,5,　　― ,　　― ,1.6,21
町田市,0.1,43,1.1,10,　　― ,　　― ,0.3,55
小金井市,1.3,9,3,2,　　― ,　　― ,1.6,11
小平市,1.4,16,1.3,3,　　― ,　　― ,1.4,19
日野市,0.9,15,1.5,3,　　― ,　　― ,1,18
東村山市,0.8,12,0.9,2,　　― ,　　― ,0.8,14
国分寺市,0.7,9,2.6,2,　　― ,　　― ,1,11
国立市,0.6,5,0,1,　　― ,　　― ,0.5,6
福生市,0.5,5,0.8,3,　　― ,　　― ,0.6,8
狛江市,0.9,5,0.2,1,　　― ,　　― ,0.8,6
東大和市,0.5,10,0.8,2,　　― ,　　― ,0.5,12
清瀬市,0.8,10,1.2,2,　　― ,　　― ,0.8,12
東久留米市,1,11,1.3,2,　　― ,　　― ,1.1,13
武蔵村山市,0.2,9,0.4,2,　　― ,　　― ,0.3,11
多摩市,0,14,0.3,6,　　― ,　　― ,0.1,20
稲城市,2,13,1.8,3,　　― ,　　― ,2,16
羽村市,0.2,5,0.7,2,3.5,1,0.7,8
あきる野市,-0.1,11,0,2,　　― ,　　― ,-0.1,15
西東京市,1.3,13,2.4,3,　　― ,　　― ,1.5,16
市部,0.7,382,1.9,99,3.9,5,1,492
瑞穂町,-0.1,5,1.6,1,2.1,1,0.5,7
日の出町,-0.3,4,　　― ,,　　― ,　　― ,-0.3,4
檜原村,-1.1,2,-1.6,1,　　― ,　　― ,-1.2,3
奥多摩町,-1.6,1,-1.1,2,　　― ,　　― ,-1.2,3
西多摩郡,-0.4,12,-0.5,4,2.1,1,-0.3,17
大島町,0,3,0,2,　　― ,　　― ,0,5
新島村,0,2,0,1,　　― ,　　― ,0,3
神津島村,0,2,0,1,　　― ,　　― ,0,3
三宅村,0,2,0,1,　　― ,　　― ,0,3
八丈町,0,2,0,2,　　― ,　　― ,0,4
小笠原村,0,4,0,1,　　― ,　　― ,0,7
島しょ,0,15,0,8,　　― ,　　― ,0,25
東　京　都,1.8,746,4.9,460,3.9,14,3,1228
