区市町村名,令和4年-令和3年計／床面積(千m2),令和4年-令和3年計／増減率(%),令和4年-令和3年住宅・アパート／床面積(千m2),令和4年-令和3年住宅・アパート／増減率(%),令和4年-令和3年事務所・店舗等／床面積(千m2),令和4年-令和3年事務所・店舗等／増減率(%),令和4年-令和3年工場・倉庫／床面積(千m2),令和4年-令和3年工場・倉庫／増減率(%),令和4年-令和3年その他／床面積(千m2),令和4年-令和3年その他／増減率(%)
区部／千代田区,31,0.1,30,0.7,-31,-0.2,-1,-0.3,34,2.1
区部／中央区,20,0.1,75,1,-81,-0.6,-10,-2.4,37,3.5
区部／港区,137,0.4,92,0.6,-103,-0.5,-4,-0.5,152,7.6
区部／新宿区,66,0.3,146,1,-132,-1.4,-8,-1.9,59,4.8
区部／文京区,88,0.7,94,1,-114,-4.4,0,-0.1,108,30.8
区部／台東区,161,1.1,120,1.3,-9,-0.3,-6,-1.6,55,5.7
区部／墨田区,149,1.1,140,1.3,-31,-1.5,-11,-1.2,52,16.8
区部／江東区,575,1.8,200,1.1,215,3.3,-3,-0.1,164,19.8
区部／品川区,-26,-0.1,20,0.1,-30,-0.5,-23,-1.4,8,1.2
区部／目黒区,52,0.4,64,0.5,-17,-1,-1,-0.6,6,2.9
区部／大田区,-8,0,215,0.8,-41,-1,-191,-3.9,9,0.7
区部／世田谷区,323,0.8,261,0.7,38,1.4,14,2.9,10,2.4
区部／渋谷区,459,2.2,168,1.4,219,2.8,-5,-2.7,78,13.4
区部／中野区,104,0.8,100,0.8,1,0.1,1,0.8,2,1.6
区部／杉並区,119,0.5,124,0.6,-21,-1.5,-1,-0.2,17,6
区部／豊島区,197,1.2,77,0.7,88,2.2,-2,-1.3,34,5.5
区部／北区,120,0.8,115,1,-7,-0.6,-8,-1,20,6.6
区部／荒川区,79,0.8,75,1,6,0.9,-7,-1.6,4,1.6
区部／板橋区,84,0.4,149,0.8,7,0.4,-74,-4.2,1,0.2
区部／練馬区,162,0.6,183,0.7,-31,-2,-6,-1.1,16,4.3
区部／足立区,236,0.8,238,1,23,1.1,-26,-1.1,0,0
区部／葛飾区,100,0.6,113,0.7,-3,-0.3,-11,-1.3,2,0.6
区部／江戸川区,103,0.4,97,0.4,9,0.5,-8,-0.4,4,1
区部／区部計,3331,0.6,2897,0.8,-48,0,-390,-1.5,873,5.7
市部／八王子市,192,0.7,133,0.6,37,1.1,15,0.6,6,1
市部／立川市,107,1.2,179,2.9,-391,-20.9,-233,-28.9,551,167.6
市部／武蔵野市,62,0.9,57,1,6,0.4,0,0.3,-1,-0.5
市部／三鷹市,104,1.4,206,3.2,-30,-4.4,-64,-18.4,-8,-5.3
市部／青梅市,12,0.2,21,0.4,-5,-0.9,4,0.4,-7,-2
市部／府中市,66,0.5,61,0.7,2,0.1,-1,-0.1,3,0.6
市部／昭島市,39,0.7,40,1,0,-0.1,-1,-0.1,1,0.5
市部／調布市,123,1.3,110,1.4,18,1.8,-4,-1,0,-0.3
市部／町田市,283,1.5,154,1,126,6.7,2,0.2,1,0.1
市部／小金井市,28,0.6,24,0.5,3,0.8,0,0.3,1,0.6
市部／小平市,92,1.2,45,0.7,48,6.9,0,-0.1,-1,-1
市部／日野市,87,1,47,0.7,-69,-9.3,34,3.9,75,37.6
市部／東村山市,-21,-0.4,38,0.8,-1,-0.1,-18,-5.6,-41,-24.8
市部／国分寺市,48,0.9,48,1.1,0,0.1,0,-0.3,0,0.1
市部／国立市,22,0.6,22,0.8,0,0,0,0,0,-0.1
市部／福生市,10,0.4,11,0.5,0,0,-1,-0.4,0,0.5
市部／狛江市,15,0.5,16,0.6,-1,-0.3,0,-0.6,0,-0.8
市部／東大和市,29,0.8,28,1,2,0.8,-1,-0.3,-1,-0.9
市部／清瀬市,21,0.8,24,1,-1,-0.6,-1,-2.4,0,-0.1
市部／東久留米市,43,0.9,42,1.1,2,0.3,3,1.4,-3,-1.1
市部／武蔵村山市,21,0.6,20,0.9,-1,-0.2,2,0.4,0,-0.3
市部／多摩市,14,0.2,23,0.4,-7,-0.5,0,-0.1,-2,-0.5
市部／稲城市,54,1.4,46,1.5,7,2.1,1,0.6,0,-0.1
市部／羽村市,16,0.5,14,0.7,1,0.4,2,0.2,-1,-1.3
市部／あきる野市,21,0.5,23,0.7,-1,-0.5,2,0.7,-2,-0.9
市部／西東京市,66,0.8,34,0.5,33,5.1,-1,-0.4,-1,-0.3
市部／市部計,1554,0.8,1465,1,-220,-1.1,-263,-2,571,9.8
西多摩郡／瑞穂町,16,0.7,10,0.9,-1,-0.4,6,0.7,1,0.9
西多摩郡／日の出町,-64,-5.8,-63,-9,0,0,0,-0.1,0,-0.5
西多摩郡／檜原村,0,0.2,0,-0.2,1,7.7,0,1.1,0,-0.1
西多摩郡／奥多摩町,-1,-0.2,-1,-0.2,0,0.5,0,-0.7,0,-0.3
西多摩郡／西多摩郡計,-48,-1.2,-54,-2.3,-1,-0.2,6,0.5,1,0.2
多摩地域計,1506,0.8,1412,0.9,-220,-1,-257,-1.8,572,9.3
区部・多摩計,4838,0.7,4308,0.8,-268,-0.2,-647,-1.6,1444,6.7
