年(昭和・平成・令和),区分,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
58,地区,千代田,中央,港,新宿,渋谷,大田,台東,,,,,,,,,
58,面積(万m2),892,730,564,320,200,118,109,,,,,,,,,
59,地区,千代田,中央,港,新宿,渋谷,大田,台東,,,,,,,,,
59,面積(万m2),925,746,587,323,206,122,111,,,,,,,,,
60,地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,,,,,,,,
60,面積(万m2),954,762,607,345,214,126,113,105,,,,,,,,
61,地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,,,,,,,,
61,面積(万m2),975,768,644,353,220,129,114,108,,,,,,,,
62,地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,,,,,,,
62,面積(万m2),1006,795,698,379,233,142,128,117,100,,,,,,,
63,地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,,,,,,,
63,面積(万m2),1047,822,772,397,243,150,142,122,107,,,,,,,
64,地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,文京,,,,,,
64,面積(万m2),1109,851,822,415,269,157,153,139,120,105,,,,,,
2,地区,千代田,中央,港,新宿,渋谷,大田,台東,品川,豊島,江東,文京,,,,,
2,面積(万m2),1161,887,871,438,290,161,159,145,134,119,115,,,,,
3,地区,千代田,中央,港,新宿,渋谷,豊島,台東,大田,品川,江東,文京,,,,,
3,面積(万m2),1198,944,904,460,304,182,171,168,164,141,122,,,,,
4,地区,千代田,港,中央,新宿,渋谷,品川,豊島,台東,大田,江東,文京,,,,,
4,面積(万m2),1242,985,968,482,317,195,194,181,179,157,134,,,,,
5,地区,千代田,港,中央,新宿,渋谷,品川,豊島,台東,大田,江東,文京,,,,,
5,面積(万m2),1268,1025,1001,531,339,234,210,201,201,181,143,,,,,
6,地区,千代田,港,中央,新宿,渋谷,品川,江東,豊島,台東,大田,文京,目黒,世田谷,,,
6,面積(万m2),1319,1109,1035,558,373,281,232,227,219,217,158,108,106,,,
7,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
7,面積(万m2),1358,1169,1062,581,412,319,273,258,242,239,173,117,115,103,,
8,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
8,面積(万m2),1377,1225,1108,625,428,344,287,264,247,243,181,130,118,105,,
9,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,目黒,世田谷,墨田,,
9,面積(万m2),1390,1249,1159,692,450,365,328,262,251,245,187,136,135,106,,
10,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
10,面積(万m2),1397,1288,1167,696,477,375,350,266,254,248,191,146,139,125,,
11,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
11,面積(万m2),1396,1327,1174,694,497,380,349,268,255,254,215,148,139,126,,
