順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,倶知安－２,北海道,南３条東１丁目１６番９外,21000,28000,33.3
2,倶知安－３,北海道,字山田８３番２９,38000,50000,31.6
3,倶知安－１,北海道,北７条西４丁目１番３３,13500,17000,25.9
4,那覇－１９,沖縄県,おもろまち３丁目６番１１,230000,270000,17.4
5,浦添－６,沖縄県,西原５丁目６８１番１０,98000,115000,17.3
6,那覇－３,沖縄県,天久１丁目７番１４外,228000,265000,16.2
7,北谷－３,沖縄県,字伊平伊礼原２６０番７,125000,141000,12.8
8,中城－２,沖縄県,字南上原中坂田原８４０番７,97200,109000,12.1
9,那覇－２３,沖縄県,首里金城町１丁目１９番６,108000,121000,12
10,福岡東－４２,福岡県,千早４丁目２８７２番外,158000,177000,12
