区市町村名,宅地計／個人(千m2),宅地計／法人(千m2),宅地計／合計(千m2),住宅地区／個人(千m2),住宅地区／法人(千m2),住宅地区／合計(千m2),商業地区／個人(千m2),商業地区／法人(千m2),商業地区／合計(千m2),工業地区／個人(千m2),工業地区／法人(千m2),工業地区／合計(千m2),その他の宅地／個人(千m2),その他の宅地／法人(千m2),その他の宅地／合計(千m2)
千代田区,1100,2555,3655,240,254,495,860,2301,3161,0,0,0,0,0,0
中央区,1557,2376,3934,758,582,1340,778,1701,2479,21,94,115,0,0,0
港区,3924,5392,9315,3111,2973,6084,800,2219,3019,13,199,213,0,0,0
新宿区,6378,3501,9879,5952,2638,8590,373,824,1197,53,38,91,0,0,0
文京区,4187,1689,5876,3823,1269,5092,326,408,734,37,12,50,0,0,0
台東区,2867,1668,4535,1491,545,2035,1376,1123,2499,0,0,0,0,0,0
墨田区,4737,2112,6849,3817,1394,5211,211,249,461,709,469,1178,0,0,0
江東区,6399,8213,14612,6038,4004,10042,109,602,711,252,3608,3859,0,0,0
品川区,7496,3146,10643,7140,2228,9369,288,511,799,68,407,475,0,0,0
目黒区,7131,1990,9121,6974,1816,8790,157,174,331,0,0,0,0,0,0
大田区,18124,6640,24764,17903,4503,22406,143,172,315,78,1965,2043,0,0,0
世田谷区,29102,5740,34841,28968,5654,34622,133,86,219,0,0,0,0,0,0
渋谷区,5233,2889,8122,4879,1977,6855,355,913,1267,0,0,0,0,0,0
中野区,8417,1662,10079,8325,1577,9903,91,85,176,0,0,0,0,0,0
杉並区,18843,2801,21644,18721,2740,21461,122,61,183,0,0,0,0,0,0
豊島区,6003,1799,7801,5574,1281,6855,429,518,946,0,0,0,0,0,0
北区,6824,2735,9559,6548,2193,8741,114,90,204,162,452,615,0,0,0
荒川区,4089,1294,5382,3598,907,4505,98,62,160,393,324,717,0,0,0
板橋区,13711,4356,18068,13480,3109,16590,64,93,157,167,1154,1321,0,0,0
練馬区,25416,3085,28502,25370,3061,28431,47,24,71,0,0,0,0,0,0
足立区,21952,5393,27346,20945,4130,25075,192,163,355,816,1100,1916,0,0,0
葛飾区,13771,2818,16589,13287,2342,15629,241,169,410,243,307,550,0,0,0
江戸川区,18593,4523,23117,18314,3619,21933,214,126,340,65,779,844,0,0,0
区部計,235854,78379,314232,225255,54797,280052,7522,12672,20195,3076,10909,13985,0,0,0
八王子市,30908,7660,38568,27908,4070,31978,217,380,596,23,1486,1509,2760,1724,4484
立川市,7838,3029,10868,7624,1437,9061,213,496,710,1,1096,1097,0,0,0
武蔵野市,5101,1224,6325,4745,791,5535,350,263,613,7,170,177,0,0,0
三鷹市,7261,1444,8705,7057,1034,8091,193,118,310,4,292,296,7,0,7
青梅市,10453,2217,12670,9247,957,10204,45,138,183,219,987,1207,942,134,1076
府中市,9840,3167,13007,9233,1400,10633,222,76,299,385,1690,2075,0,0,0
昭島市,5200,2381,7581,5067,848,5915,49,463,511,84,1071,1155,0,0,0
調布市,8465,1795,10260,8167,1547,9714,229,73,302,70,175,245,0,0,0
町田市,24120,4355,28475,23100,3412,26512,331,352,684,194,385,579,494,206,700
小金井市,5123,656,5778,4986,598,5584,136,52,188,0,6,6,0,0,0
小平市,8571,1752,10323,8336,1033,9369,159,97,256,76,622,698,0,0,0
日野市,8832,2504,11336,8437,971,9407,51,63,115,344,1470,1814,0,0,0
東村山市,6816,962,7778,6426,700,7127,134,57,191,255,205,460,0,0,0
国分寺市,5281,1143,6424,5231,828,6059,50,75,125,0,241,241,0,0,0
国立市,3388,749,4138,3158,600,3759,134,40,175,95,109,204,1,0,1
福生市,3102,523,3625,2920,405,3325,138,48,185,44,71,115,0,0,0
狛江市,3090,360,3450,2900,275,3174,109,58,167,81,28,108,0,0,0
東大和市,4473,723,5195,4391,443,4834,55,93,149,27,186,213,0,0,0
清瀬市,3073,605,3678,2974,490,3464,73,52,125,25,64,88,1,0,1
東久留米市,5584,1160,6744,5362,852,6214,135,127,263,39,173,212,48,8,55
武蔵村山市,4595,861,5456,4104,241,4345,163,174,338,327,446,773,0,0,0
多摩市,5982,2186,8168,5772,1225,6997,210,961,1170,0,0,0,0,0,0
稲城市,3948,1010,4958,3918,742,4660,9,170,179,11,93,105,10,5,15
羽村市,3603,1858,5461,3274,288,3562,164,25,189,156,1545,1701,8,0,8
あきる野市,7481,891,8372,6660,348,7008,73,36,108,81,313,394,668,194,862
西東京市,7751,1150,8901,7543,934,8477,194,66,260,14,149,164,0,0,0
市部計,199878,46365,246243,188541,26466,215007,3837,4553,8390,2562,13074,15635,4938,2272,7210
瑞穂町,3605,1404,5010,2260,153,2413,111,16,128,731,1168,1900,502,67,569
日の出町,2000,481,2481,1249,107,1356,96,14,110,48,141,189,606,219,825
檜原村,409,18,427,0,0,0,0,0,0,0,0,0,409,18,427
奥多磨町,778,79,857,97,32,128,0,0,0,0,0,0,681,48,729
西多摩郡計,6791,1982,8774,3606,292,3897,208,30,238,779,1309,2089,2198,351,2550
多摩地域計,206669,48347,255016,192146,26758,218904,4045,4583,8628,3341,14383,17724,7137,2623,9760
区部・多摩計,442523,126725,569248,417401,81555,498956,11568,17255,28823,6417,25292,31709,7137,2623,9760
