区市町村名,合計面積(千m2),住宅地区／面積(千m2),住宅地区／構成比(%),商業地区／面積(千m2),商業地区／構成比(%),工業地区／面積(千m2),工業地区／構成比(%),その他／面積(千m2),その他／構成比(%)
区部／千代田区,3652,480,13.2,3172,86.8,0,0,0,0
区部／中央区,3942,1373,34.8,2477,62.8,92,2.3,0,0
区部／港区,9343,6069,65,3065,32.8,209,2.2,0,0
区部／新宿区,9862,8659,87.8,1196,12.1,7,0.1,0,0
区部／文京区,5879,5115,87,716,12.2,48,0.8,0,0
区部／台東区,4534,2034,44.9,2500,55.1,0,0,0,0
区部／墨田区,6840,5608,82,475,6.9,758,11.1,0,0
区部／江東区,14946,10418,69.7,784,5.2,3744,25.1,0,0
区部／品川区,11502,9353,81.3,785,6.8,1364,11.9,0,0
区部／目黒区,9113,8796,96.5,317,3.5,0,0,0,0
区部／大田区,25015,22413,89.6,316,1.3,2285,9.1,0,0
区部／世田谷区,35086,34857,99.3,229,0.7,0,0,0,0
区部／渋谷区,8122,6857,84.4,1266,15.6,0,0,0,0
区部／中野区,10068,9892,98.3,176,1.7,0,0,0,0
区部／杉並区,21647,21472,99.2,175,0.8,0,0,0,0
区部／豊島区,7787,6868,88.2,919,11.8,0,0,0,0
区部／北区,9545,8821,92.4,202,2.1,523,5.5,0,0
区部／荒川区,5367,4496,83.8,161,3,710,13.2,0,0
区部／板橋区,18087,16615,91.9,152,0.8,1319,7.3,0,0
区部／練馬区,28660,28589,99.8,71,0.2,0,0,0,0
区部／足立区,27352,25528,93.3,351,1.3,1474,5.4,0,0
区部／葛飾区,16584,15655,94.4,383,2.3,546,3.3,0,0
区部／江戸川区,23302,21886,93.9,335,1.4,1082,4.6,0,0
区部計,316236,281854,89.1,20221,6.4,14161,4.5,0,0
市部／八王子市,38691,32204,83.2,596,1.5,1479,3.8,4412,11.4
市部／立川市,10905,9091,83.4,705,6.5,1097,10.1,12,0.1
市部／武蔵野市,6333,5576,88.1,579,9.1,177,2.8,0,0
市部／三鷹市,8627,8013,92.9,311,3.6,295,3.4,8,0.1
市部／青梅市,12441,10291,82.7,182,1.5,901,7.2,1066,8.6
市部／府中市,13061,10681,81.8,299,2.3,2081,15.9,0,0
市部／昭島市,7688,5938,77.2,536,7,1214,15.8,0,0
市部／調布市,10324,9769,94.6,322,3.1,233,2.3,0,0
市部／町田市,28629,26677,93.2,676,2.4,578,2,698,2.4
市部／小金井市,5801,5607,96.7,187,3.2,6,0.1,0,0
市部／小平市,10414,9464,90.9,252,2.4,697,6.7,0,0
市部／日野市,11399,9492,83.3,107,0.9,1798,15.8,2,0
市部／東村山市,7817,7167,91.7,190,2.4,461,5.9,0,0
市部／国分寺市,6501,6136,94.4,125,1.9,240,3.7,0,0
市部／国立市,4147,3721,89.7,175,4.2,249,6,2,0
市部／福生市,3642,3340,91.7,187,5.1,115,3.2,0,0
市部／狛江市,3470,3295,94.9,175,5.1,0,0,0,0
市部／東大和市,5231,4869,93.1,149,2.8,213,4.1,0,0
市部／清瀬市,3731,3520,94.4,124,3.3,85,2.3,1,0
市部／東久留米市,6790,6201,91.3,321,4.7,212,3.1,56,0.9
市部／武蔵村山市,5517,4391,79.6,336,6.1,789,14.3,0,0
市部／多摩市,8227,7051,85.7,1176,14.3,0,0,0,0
市部／稲城市,5082,4784,94.1,179,3.5,105,2.1,15,0.3
市部／羽村市,5481,3583,65.4,189,3.5,1700,31,8,0.1
市部／あきる野市,8444,7064,83.7,99,1.2,422,5,859,10.2
市部／西東京市,8971,8549,95.3,265,3,157,1.8,0,0
市部計,247361,216474,87.5,8442,3.4,15307,6.2,7138,2.9
西多摩郡／瑞穂町,5169,2502,48.4,360,7,1741,33.7,566,10.9
西多摩郡／日の出町,2490,1362,54.7,110,4.4,189,7.6,828,33.3
西多摩郡／檜原村,420,0,0,0,0,0,0,420,100
西多摩郡／奥多摩町,836,126,15.1,0,0,0,0,710,84.9
西多摩郡計,8914,3990,44.8,471,5.3,1930,21.7,2523,28.3
多摩地域計,256276,220464,86,8913,3.5,17237,6.7,9661,3.8
区部･多摩計,572512,502318,87.7,29134,5.1,31398,5.5,9661,1.7
