区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
八王子市／100m2未満,10813,10,772743,3,306,10,14494,0,11119,10,787237,2
八王子市／200m2未満,64256,57,9518244,31,524,16,79586,1,64780,55,9597830,25
八王子市／300m2未満,22405,20,5207818,17,364,11,88257,1,22769,19,5296074,14
八王子市／500m2未満,7772,7,2910629,9,517,16,200552,3,8289,7,3111181,8
"八王子市／1,000m2未満",4698,4,3246096,11,581,18,415423,6,5279,5,3661519,10
"八王子市／2,000m2未満",2340,2,3152040,10,391,12,545058,7,2731,2,3697098,10
"八王子市／5,000m2未満",1136,1,3295621,11,272,9,844439,12,1408,1,4140060,11
"八王子市／10,000m2未満",146,0,917449,3,122,4,854080,12,268,0,1771529,5
"八王子市／10,000m2以上",90,0,1757547,6,115,4,4294043,59,205,0,6051590,16
八王子市／計,113656,100,30778186,100,3192,100,7335932,100,116848,100,38114118,100
立川市／100m2未満,6530,22,482084,6,158,13,9118,0,6688,21,491202,5
立川市／200m2未満,17161,57,2236919,29,286,23,41464,1,17447,55,2278383,21
立川市／300m2未満,2764,9,665099,8,165,13,40883,1,2929,9,705982,7
立川市／500m2未満,1781,6,664181,8,193,16,74460,3,1974,6,738641,7
"立川市／1,000m2未満",986,3,690172,9,186,15,131808,4,1172,4,821980,8
"立川市／2,000m2未満",627,2,892742,11,117,9,163094,5,744,2,1055836,10
"立川市／5,000m2未満",413,1,1285291,16,81,7,231831,8,494,2,1517123,14
"立川市／10,000m2未満",78,0,524952,7,24,2,172672,6,102,0,697624,6
"立川市／10,000m2以上",17,0,387715,5,26,2,2107272,71,43,0,2494987,23
立川市／計,30357,100,7829155,100,1236,100,2972602,100,31593,100,10801758,100
武蔵野市／100m2未満,5041,23,349467,7,144,14,9567,1,5185,23,359034,6
武蔵野市／200m2未満,10288,47,1439220,28,260,26,38429,3,10548,46,1477649,23
武蔵野市／300m2未満,3150,14,761192,15,150,15,36571,3,3300,14,797763,13
武蔵野市／500m2未満,1967,9,737646,14,187,18,72451,6,2154,9,810098,13
"武蔵野市／1,000m2未満",811,4,553902,11,116,11,79414,7,927,4,633316,10
"武蔵野市／2,000m2未満",315,1,437766,9,85,8,120358,10,400,2,558123,9
"武蔵野市／5,000m2未満",146,1,428771,8,36,4,105980,9,182,1,534751,8
"武蔵野市／10,000m2未満",30,0,224268,4,18,2,123677,10,48,0,347945,6
"武蔵野市／10,000m2以上",13,0,188235,4,15,1,606117,51,28,0,794352,13
