順位,標準地番号,都道府県,標準地の所在地,価　　格,変動率
1,中央－５－２２,東京都,銀座４丁目２番４　　　　　　　　　　　　　　　　　　　　　　,57200000,3.1
2,中央－５－４１,東京都,銀座５丁目１０３番１６　　　　　　　　　　　　　　　　　　　,49100000,4.5
3,中央－５－２９,東京都,銀座２丁目２番１９外　　　　　　　　　　　　　　　　　　　　,42600000,4.9
4,中央－５－２３,東京都,銀座７丁目１番２外　　　　　　　　　　　　　　　　　　　　　,42000000,4.7
5,千代田－５－２,東京都,丸の内２丁目２番１外　　　　　　　　　　　　　　　　　　　　,36800000,3.1
6,新宿－５－３５,東京都,新宿３丁目８０７番１外　　　　　　　　　　　　　　　　　　　,36000000,5.9
7,新宿－５－２４,東京都,新宿３丁目３０番１３外　　　　　　　　　　　　　　　　　　　,35200000,6
8,中央－５－２,東京都,銀座６丁目４番１３外　　　　　　　　　　　　　　　　　　　　,31200000,7.2
9,中央－５－１８,東京都,銀座４丁目１０３番１外　　　　　　　　　　　　　　　　　　　,29500000,5
10,千代田－５－２１,東京都,大手町２丁目４番２外　　　　　　　　　　　　　　　　　　　　,28500000,3.6
